Date,Year,Month,Max,Min,Precip
1960.03,1960,3,30,23,233.6999969
1960.04,1960,4,30,23,225.8999939
1960.05,1960,5,30,23,230
1960.06,1960,6,30,23,347.2999878
1960.07,1960,7,30,22,131.8000031
1960.08,1960,8,31,22,171.6999969
1960.09,1960,9,31,22,72.19999695
1960.1,1960,10,33,22,72.5
1960.11,1960,11,32,22,80.40000153
1960.12,1960,12,32,23,193.1999969
1961.01,1961,1,32,23,205.1000061
1961.02,1961,2,31,23,311.7999878
1961.03,1961,3,30,23,286.7999878
1961.04,1961,4,30,22,318.1000061
1961.05,1961,5,30,23,205.6000061
1961.06,1961,6,31,23,321.5
1961.07,1961,7,30,23,306.2000122
1961.08,1961,8,30,22,105.9000015
1961.09,1961,9,32,22,46.90000153
1961.1,1961,10,33,22,19.5
1961.11,1961,11,34,23,51
1961.12,1961,12,32,23,120.0999985
1962.01,1962,1,32,23,143.6000061
1962.02,1962,2,31,22,301.8999939
1962.03,1962,3,30,22,399.2999878
1962.04,1962,4,30,23,348.2000122
1962.05,1962,5,30,23,281.8999939
1962.06,1962,6,30,23,322.1000061
1962.07,1962,7,30,23,289
1962.08,1962,8,31,22,109.6999969
1962.09,1962,9,31,23,71
1962.1,1962,10,33,22,47.40000153
1962.11,1962,11,34,23,19.10000038
1962.12,1962,12,33,23,111.5
1963.01,1963,1,31,23,149.5
1963.02,1963,2,32,23,150.6999969
1963.03,1963,3,30,23,282.1000061
1963.04,1963,4,30,22,223.6999969
1963.05,1963,5,30,22,262.3999939
1963.06,1963,6,30,22,291.2999878
1963.07,1963,7,31,23,248.6999969
1963.08,1963,8,31,22,135.6999969
1963.09,1963,9,33,22,46.09999847
1963.1,1963,10,34,23,26.60000038
1963.11,1963,11,34,23,53
1963.12,1963,12,34,24,117.6999969
1964.01,1964,1,32,23,213.6000061
1964.02,1964,2,31,23,225.1000061
1964.03,1964,3,31,24,166.1000061
1964.04,1964,4,31,24,180.1999969
1964.05,1964,5,31,23,388.7000122
1964.06,1964,6,31,23,287.7999878
1964.07,1964,7,30,23,290.2000122
1964.08,1964,8,31,22,128.6000061
1964.09,1964,9,32,22,73.69999695
1964.1,1964,10,33,22,90
1964.11,1964,11,33,23,63.20000076
1964.12,1964,12,32,23,137.5
1965.01,1965,1,32,23,189.8000031
1965.02,1965,2,31,22,287.6000061
1965.03,1965,3,30,23,228.3999939
1965.04,1965,4,30,23,227
1965.05,1965,5,30,22,461.2000122
1965.06,1965,6,30,23,251.6000061
1965.07,1965,7,31,23,272.2999878
1965.08,1965,8,32,23,85.69999695
1965.09,1965,9,32,23,61.90000153
1965.1,1965,10,33,23,19.79999924
1965.11,1965,11,34,23,38.29999924
1965.12,1965,12,34,24,139.1999969
1966.01,1966,1,32,23,96.90000153
1966.02,1966,2,31,23,182.3000031
1966.03,1966,3,31,23,257.7999878
1966.04,1966,4,31,23,162.3000031
1966.05,1966,5,31,23,208.6000061
1966.06,1966,6,31,23,254.8000031
1966.07,1966,7,31,23,310.7000122
1966.08,1966,8,31,23,147.8000031
1966.09,1966,9,32,23,117
1966.1,1966,10,33,22,102.1999969
1966.11,1966,11,32,23,105.3000031
1966.12,1966,12,34,23,35.70000076
1967.01,1967,1,32,23,285.3999939
1967.02,1967,2,31,23,194.5
1967.03,1967,3,29,23,309.3999939
1967.04,1967,4,29,23,232.6000061
1967.05,1967,5,30,23,333.7999878
1967.06,1967,6,30,23,404.5
1967.07,1967,7,30,23,192.8000031
1967.08,1967,8,31,23,115.5
1967.09,1967,9,32,23,35.79999924
1967.1,1967,10,33,22,13.10000038
1967.11,1967,11,34,23,12.60000038
1967.12,1967,12,33,23,33.59999847
1968.01,1968,1,32,23,122.4000015
1968.02,1968,2,32,23,123.8000031
1968.03,1968,3,30,23,255.1000061
1968.04,1968,4,30,23,191.3000031
1968.05,1968,5,30,22,469.2999878
1968.06,1968,6,30,22,299
1968.07,1968,7,29,22,358.2999878
1968.08,1968,8,31,23,129.3999939
1968.09,1968,9,32,22,94.19999695
1968.1,1968,10,33,22,63.70000076
1968.11,1968,11,32,23,197.8999939
1968.12,1968,12,33,23,48.09999847
1969.01,1969,1,31,23,217.6000061
1969.02,1969,2,31,23,185.3999939
1969.03,1969,3,30,23,268.7999878
1969.04,1969,4,31,23,182.6000061
1969.05,1969,5,31,23,287.6000061
1969.06,1969,6,31,24,439.1000061
1969.07,1969,7,31,23,297.2999878
1969.08,1969,8,32,23,96.09999847
1969.09,1969,9,31,22,90.59999847
1969.1,1969,10,33,22,61.79999924
1969.11,1969,11,34,24,33.29999924
1969.12,1969,12,33,23,74.09999847
1970.01,1970,1,33,24,102.0999985
1970.02,1970,2,32,23,176.1999969
1970.03,1970,3,31,22,323.7999878
1970.04,1970,4,30,23,296.7000122
1970.05,1970,5,30,23,342.7000122
1970.06,1970,6,30,23,381.7000122
1970.07,1970,7,31,23,193.3000031
1970.08,1970,8,31,23,131.6000061
1970.09,1970,9,31,23,75.69999695
1970.1,1970,10,33,22,62.90000153
1970.11,1970,11,32,23,96.90000153
1970.12,1970,12,33,23,90.30000305
1971.01,1971,1,31,23,217.6000061
1971.02,1971,2,32,23,132.1999969
1971.03,1971,3,29,23,277.2000122
1971.04,1971,4,29,22,324.7999878
1971.05,1971,5,29,23,359
1971.06,1971,6,29,23,395
1971.07,1971,7,30,23,308.7000122
1971.08,1971,8,30,23,160.6999969
1971.09,1971,9,31,23,62.5
1971.1,1971,10,32,22,49.59999847
1971.11,1971,11,32,23,46.59999847
1971.12,1971,12,32,23,186.1999969
1972.01,1972,1,31,23,238.6999969
1972.02,1972,2,32,23,99.5
1972.03,1972,3,29,22,258.8999939
1972.04,1972,4,29,22,374.7000122
1972.05,1972,5,30,23,211.6999969
1972.06,1972,6,30,23,287.6000061
1972.07,1972,7,30,23,182.6999969
1972.08,1972,8,31,23,132.6999969
1972.09,1972,9,31,23,76.30000305
1972.1,1972,10,32,22,62.29999924
1972.11,1972,11,32,23,82.80000305
1972.12,1972,12,33,23,116.8000031
1973.01,1973,1,32,24,136.3999939
1973.02,1973,2,32,24,173.1000061
1973.03,1973,3,30,23,200.3999939
1973.04,1973,4,30,24,275.7999878
1973.05,1973,5,31,24,301.5
1973.06,1973,6,30,24,249.8999939
1973.07,1973,7,29,23,423
1973.08,1973,8,31,23,104.9000015
1973.09,1973,9,30,23,146.1000061
1973.1,1973,10,32,23,114.9000015
1973.11,1973,11,31,23,82.80000305
1973.12,1973,12,32,24,191.8000031
1974.01,1974,1,31,24,262.7999878
1974.02,1974,2,30,22,220.3999939
1974.03,1974,3,30,23,287.7000122
1974.04,1974,4,29,22,255.5
1974.05,1974,5,29,22,227.8000031
1974.06,1974,6,30,23,453.6000061
1974.07,1974,7,30,22,233
1974.08,1974,8,30,23,176.8000031
1974.09,1974,9,30,22,79.59999847
1974.1,1974,10,32,22,41.5
1974.11,1974,11,31,23,90.69999695
1974.12,1974,12,32,23,56.29999924
1975.01,1975,1,31,24,195.6000061
1975.02,1975,2,30,23,280.3999939
1975.03,1975,3,29,23,313.2999878
1975.04,1975,4,29,23,328.2999878
1975.05,1975,5,30,23,376.2000122
1975.06,1975,6,30,23,294.3999939
1975.07,1975,7,30,23,271.3999939
1975.08,1975,8,30,23,127.8000031
1975.09,1975,9,29,22,182.6000061
1975.1,1975,10,31,22,60.79999924
1975.11,1975,11,32,23,54.40000153
1975.12,1975,12,32,23,66.40000153
1976.01,1976,1,32,23,114.9000015
1976.02,1976,2,31,23,201.8000031
1976.03,1976,3,29,22,290.6000061
1976.04,1976,4,30,22,419.5
1976.05,1976,5,29,22,381.6000061
1976.06,1976,6,30,23,225.5
1976.07,1976,7,30,23,140.6000061
1976.08,1976,8,30,22,82.19999695
1976.09,1976,9,31,22,49.5
1976.1,1976,10,33,22,44.40000153
1976.11,1976,11,34,23,34.20000076
1976.12,1976,12,33,23,109.9000015
1977.01,1977,1,32,23,147.8000031
1977.02,1977,2,31,23,200.8000031
1977.03,1977,3,31,23,199.1000061
1977.04,1977,4,30,22,259.3999939
1977.05,1977,5,30,22,311.2999878
1977.06,1977,6,30,22,278.2999878
1977.07,1977,7,30,22,246.8999939
1977.08,1977,8,31,22,109.5
1977.09,1977,9,32,23,38.09999847
1977.1,1977,10,33,23,44.40000153
1977.11,1977,11,32,23,92.5
1977.12,1977,12,32,23,204.1999969
1978.01,1978,1,32,24,78.90000153
1978.02,1978,2,31,23,255.1999969
1978.03,1978,3,30,23,300.6000061
1978.04,1978,4,30,23,249.1999969
1978.05,1978,5,30,23,364.7000122
1978.06,1978,6,30,23,275.5
1978.07,1978,7,30,22,267.6000061
1978.08,1978,8,31,22,92
1978.09,1978,9,31,22,117.9000015
1978.1,1978,10,32,22,57.20000076
1978.11,1978,11,32,23,133.3999939
1978.12,1978,12,33,23,122.5999985
1979.01,1979,1,32,23,64.09999847
1979.02,1979,2,31,23,154.3000031
1979.03,1979,3,30,23,276.6000061
1979.04,1979,4,30,23,198.5
1979.05,1979,5,30,23,336.2999878
1979.06,1979,6,30,23,334.6000061
1979.07,1979,7,31,23,270.6000061
1979.08,1979,8,30,23,91.09999847
1979.09,1979,9,32,23,22.10000038
1979.1,1979,10,33,23,102.3000031
1979.11,1979,11,33,23,90.5
1979.12,1979,12,33,23,207.8999939
1980.01,1980,1,32,23,138.3999939
1980.02,1980,2,31,23,237.1999969
1980.03,1980,3,30,23,184.3999939
1980.04,1980,4,32,24,103.9000015
1980.05,1980,5,31,23,269.3999939
1980.06,1980,6,31,23,289.8999939
1980.07,1980,7,31,23,117.5
1980.08,1980,8,31,23,130.8000031
1980.09,1980,9,31,22,69.90000153
