BCC-CSM2_370,CanESM5-CanOE_370,CNRM-CM6-1_370,CNRM-CM6-1-HR_370,CNRM-ESM2-1_370,GFDL-ESM4_370,INM-CM4-8_370,INM-CM5-0_370,IPSL-CM6A-LR_370,MRI-ESM2-0_370,BCC-CSM2_585,CanESM5-CanOE_585,CNRM-CM6-1_585,CNRM-CM6-1-HR_585,CNRM-ESM2-1_585,GFDL-ESM4_585,INM-CM4-8_585,INM-CM5-0_585,IPSL-CM6A-LR_585,MRI-ESM2-0_585
34.7,41.7,28.9,28.9,31.2,30.1,26.6,26.6,27.8,28.9,35.9,39.4,28.9,27.8,28.9,30.1,26.6,26.6,28.9,28.9
35.9,40.5,30.1,28.9,32.4,31.2,27.8,27.8,27.8,30.1,38.2,39.4,31.2,28.9,31.2,30.1,27.8,27.8,30.1,28.9
35.9,40.5,28.9,30.1,32.4,31.2,27.8,27.8,27.8,30.1,37,40.5,31.2,28.9,31.2,31.2,27.8,27.8,30.1,28.9
34.7,34.7,28.9,28.9,30.1,30.1,27.8,27.8,27.8,30.1,34.7,37,31.2,27.8,31.2,30.1,27.8,27.8,30.1,28.9
35.9,31.2,27.8,27.8,30.1,28.9,26.6,26.6,27.8,30.1,34.7,32.4,28.9,27.8,30.1,30.1,27.8,26.6,28.9,28.9
34.7,31.2,28.9,28.9,30.1,30.1,26.6,26.6,28.9,31.2,34.7,34.7,31.2,27.8,30.1,28.9,26.6,26.6,28.9,30.1
37,33.6,31.2,28.9,32.4,31.2,26.6,26.6,30.1,31.2,38.2,37,33.6,28.9,32.4,31.2,26.6,26.6,28.9,28.9
39.4,34.7,34.7,30.1,37,34.7,28.9,30.1,30.1,31.2,40.5,40.5,35.9,30.1,35.9,33.6,30.1,31.2,30.1,31.2
40.5,38.2,35.9,31.2,39.4,35.9,31.2,31.2,30.1,32.4,40.5,42.8,39.4,30.1,39.4,35.9,31.2,30.1,31.2,32.4
39.4,41.7,32.4,30.1,34.7,37,28.9,28.9,31.2,30.1,39.4,44,33.6,30.1,38.2,37,30.1,30.1,30.1,33.6
34.7,37,30.1,28.9,32.4,31.2,28.9,27.8,30.1,30.1,37,44,30.1,28.9,31.2,34.7,27.8,27.8,28.9,31.2
35.9,37,28.9,28.9,30.1,28.9,27.8,27.8,28.9,28.9,35.9,41.7,28.9,28.9,28.9,30.1,26.6,27.8,28.9,30.1
37,37,28.9,27.8,30.1,28.9,27.8,26.6,28.9,28.9,37,41.7,28.9,28.9,30.1,28.9,26.6,27.8,28.9,28.9
37,40.5,30.1,28.9,30.1,31.2,27.8,27.8,28.9,28.9,37,41.7,30.1,28.9,30.1,28.9,27.8,27.8,27.8,30.1
37,37,30.1,28.9,31.2,30.1,27.8,27.8,28.9,30.1,38.2,40.5,30.1,28.9,31.2,30.1,27.8,27.8,28.9,30.1
35.9,32.4,30.1,28.9,31.2,28.9,27.8,27.8,28.9,30.1,35.9,34.7,30.1,28.9,30.1,30.1,27.8,27.8,28.9,28.9
33.6,30.1,28.9,28.9,30.1,28.9,27.8,26.6,28.9,30.1,33.6,32.4,27.8,28.9,28.9,28.9,27.8,27.8,28.9,31.2
32.4,32.4,30.1,28.9,30.1,28.9,26.6,26.6,28.9,30.1,34.7,33.6,28.9,28.9,30.1,30.1,26.6,26.6,28.9,30.1
37,33.6,32.4,30.1,32.4,30.1,26.6,26.6,30.1,31.2,38.2,37,31.2,31.2,32.4,30.1,27.8,26.6,28.9,30.1
39.4,37,35.9,31.2,34.7,33.6,30.1,31.2,30.1,31.2,38.2,39.4,34.7,32.4,35.9,34.7,28.9,30.1,30.1,31.2
40.5,40.5,38.2,33.6,37,34.7,31.2,31.2,31.2,31.2,40.5,42.8,38.2,34.7,39.4,35.9,32.4,31.2,30.1,32.4
39.4,41.7,37,30.1,33.6,33.6,27.8,28.9,32.4,30.1,41.7,44,34.7,31.2,37,35.9,31.2,28.9,28.9,31.2
37,41.7,31.2,28.9,30.1,31.2,27.8,27.8,28.9,30.1,34.7,42.8,31.2,28.9,31.2,31.2,27.8,27.8,28.9,30.1
35.9,37,28.9,28.9,28.9,28.9,26.6,26.6,28.9,30.1,34.7,40.5,28.9,28.9,30.1,28.9,27.8,27.8,27.8,28.9
37,37,28.9,27.8,28.9,28.9,26.6,26.6,28.9,28.9,37,39.4,28.9,28.9,28.9,28.9,27.8,26.6,28.9,28.9
38.2,39.4,31.2,27.8,30.1,28.9,26.6,27.8,30.1,30.1,37,41.7,30.1,28.9,31.2,28.9,27.8,27.8,27.8,30.1
37,39.4,30.1,28.9,30.1,30.1,27.8,27.8,28.9,30.1,37,38.2,30.1,28.9,31.2,31.2,27.8,27.8,28.9,30.1
34.7,37,28.9,27.8,30.1,28.9,27.8,27.8,28.9,30.1,34.7,31.2,28.9,28.9,30.1,30.1,27.8,27.8,28.9,30.1
33.6,31.2,27.8,27.8,28.9,28.9,26.6,27.8,28.9,28.9,32.4,30.1,27.8,27.8,28.9,28.9,27.8,26.6,28.9,31.2
33.6,31.2,30.1,27.8,30.1,30.1,26.6,26.6,28.9,28.9,35.9,31.2,28.9,27.8,31.2,28.9,26.6,26.6,28.9,30.1
38.2,33.6,32.4,28.9,32.4,31.2,26.6,26.6,28.9,28.9,37,33.6,32.4,28.9,33.6,31.2,26.6,26.6,30.1,30.1
40.5,35.9,35.9,30.1,35.9,34.7,30.1,30.1,30.1,31.2,40.5,37,34.7,30.1,35.9,33.6,30.1,28.9,30.1,32.4
41.7,39.4,35.9,31.2,38.2,35.9,30.1,31.2,30.1,31.2,39.4,41.7,38.2,30.1,39.4,35.9,30.1,32.4,32.4,32.4
38.2,42.8,32.4,30.1,34.7,34.7,30.1,28.9,30.1,31.2,35.9,44,32.4,30.1,34.7,35.9,30.1,28.9,31.2,31.2
