BCC-CSM2_370,CanESM5-CanOE_370,CNRM-CM6-1_370,CNRM-CM6-1-HR_370,CNRM-ESM2-1_370,GFDL-ESM4_370,INM-CM4-8_370,INM-CM5-0_370,IPSL-CM6A-LR_370,MRI-ESM2-0_370,BCC-CSM2_585,CanESM5-CanOE_585,CNRM-CM6-1_585,CNRM-CM6-1-HR_585,CNRM-ESM2-1_585,GFDL-ESM4_585,INM-CM4-8_585,INM-CM5-0_585,IPSL-CM6A-LR_585,MRI-ESM2-0_585
22.42,33.07,21.87,21.8,23.54,24,22.53,23.32,23.99,24.71,24.44,31.84,22.09,21.35,23.09,23.13,22.89,23.35,24.7,24.57
23.12,31.4,22.26,21.51,24.1,24.57,23.54,23.18,24.05,24.8,24.04,30.26,22.17,21.62,22.9,24.06,22.96,23.52,24.73,24.11
23.2,31.84,22.65,21.78,24.05,24.59,23.97,23.46,24.34,25,24.33,32.36,23.05,21.8,23.34,23.99,23.76,24.29,25.01,24.7
23.51,27.94,22.26,21.66,23.23,23.9,24.27,24.18,24.25,25.61,23.86,29.18,23.23,21.73,23.49,23.61,24.16,24.15,25.41,24.72
23.7,26.28,21.72,21.34,22.58,23.37,23.85,23.78,24.26,24.98,24.14,26.75,22.3,21.4,22.81,23.89,24.1,23.6,24.74,24.34
23.23,25.26,21.2,20.92,22.1,22.15,22.32,22.32,24.14,23.42,23.52,26.53,21.19,21.13,21.9,22.61,22.32,22.13,24.37,22.94
23.96,25.08,20.18,21.07,21.14,20.87,20.35,20.18,23.78,22.83,25,28.73,21.77,21.64,21.03,21.44,20.68,20.26,24.05,21.63
25.55,26.47,21.36,21.55,22.57,23.25,20.83,21.49,23.66,22.82,26.14,30.23,22.6,21.41,22.5,23.01,20.98,21.2,23.88,22.64
25.59,28.71,23.62,22.35,24.41,25.63,22.31,22.51,24.34,24.04,25.51,32.63,24.51,21.95,23.52,24.86,22.53,22.04,24.74,24.03
25.88,31.31,23.59,22.15,25.29,26.47,22.12,23.16,24.37,25.4,25.07,33.19,24.38,21.87,25.88,26.68,22.88,23.07,24.92,25.3
24.37,29.22,22.66,21.76,23.74,24.19,22.56,24.19,24.38,25.57,25.39,33.15,22.63,22.04,23.09,26.25,23.47,23.26,24.3,25.3
24.35,28.46,22.43,21.65,22.44,23.15,23.32,23.6,24.38,24.78,24.3,32.81,22.34,21.84,22.72,23.89,23.17,23.7,24.01,25.14
24.35,28.66,22.53,22.15,22.56,22.5,22.87,23.3,24.33,24.85,24.49,33.11,21.79,21.76,22.57,23.44,22.81,23.3,24.42,24.86
24.13,30.91,22.74,22.43,22.8,23.23,23.59,23.39,24.1,24.96,25.45,32.89,22.13,21.91,22.67,22.82,23.25,23.34,24.5,24.96
24.56,29.13,22.64,22.5,23.12,23.49,23.96,24.26,24.72,25.06,25.37,31.56,22.69,22.19,23.23,23.38,24.05,24.16,24.66,25.63
24.06,26.57,22.72,22.78,23.37,22.81,24.26,24.44,24.7,25.46,24.3,28.52,22.27,22.12,23,23.22,24.45,24.48,24.64,25.08
23.81,25.26,22.41,22.12,22.95,22.65,23.84,23.89,24.59,24.76,23.57,26.29,21.7,21.9,22.24,22.86,23.66,24.44,24.42,23.56
23.55,24.62,21.16,21.73,22.23,21.75,22.17,22.09,24.18,22,23.69,26.31,20.65,20.85,21.19,21.12,21.76,22.51,24.33,22.83
24.19,25.3,20.88,21.55,22.12,20.14,19.65,20.38,24.2,23.01,24.56,27.42,19.66,20.59,20.32,20.67,21.16,20.6,24.52,22.23
25.38,27,21.62,21.72,22.12,22.22,21.42,21.72,24.12,23.02,25.26,29.42,21.47,21.86,22.02,22.97,21.32,21.29,23.81,23.55
