BCC-CSM2_370,CanESM5-CanOE_370,CNRM-CM6-1_370,CNRM-CM6-1-HR_370,CNRM-ESM2-1_370,GFDL-ESM4_370,INM-CM4-8_370,INM-CM5-0_370,IPSL-CM6A-LR_370,MRI-ESM2-0_370,BCC-CSM2_585,CanESM5-CanOE_585,CNRM-CM6-1_585,CNRM-CM6-1-HR_585,CNRM-ESM2-1_585,GFDL-ESM4_585,INM-CM4-8_585,INM-CM5-0_585,IPSL-CM6A-LR_585,MRI-ESM2-0_585
0.54698,0.97927,3.6135,7.1717,7.4906,5.1215,6.5272,10.1,7.0567,10.498,1.8577,1.8928,7.0585,7.5569,6.9616,3.9873,6.12,10.756,6.6942,13.494
1.341,2.4574,2.8134,4.6221,5.9705,3.6991,9.0872,7.0519,7.6078,7.904,0.74212,2.7417,4.2798,5.2525,3.1161,4.4653,6.9172,8.7331,7.1011,14.696
1.9861,6.5149,5.0336,4.1176,6.8175,6.1551,10.416,10.266,7.2246,12.345,1.3265,3.4865,4.235,7.6065,3.8348,5.1139,9.4219,11.004,5.3568,19.138
3.1215,8.4602,7.358,5.7106,6.7972,9.8111,12.718,10.222,7.6734,14.309,3.6464,13.4,8.2096,7.957,3.9041,10.155,11.015,10.287,7.2389,15.596
2.3267,13.194,7.8422,5.6962,5.5999,9.1508,9.942,10.535,7.3371,11.616,2.2033,11.784,5.5986,9.523,8.7493,8.0987,12.832,9.5598,7.1588,14.503
2.0925,3.0295,2.3138,3.633,1.9199,2.8488,5.3592,5.5037,6.2255,0.63002,2.4835,2.4978,0.46417,2.7412,2.0345,2.8725,5.7488,5.0911,6.9753,1.5623
0.98738,1.0013,0.36088,3.63,1.2229,0.055931,2.2993,1.5273,4.2656,0.794,0.98205,0.57797,0.087421,3.7736,0.1897,0.26889,2.2984,1.744,4.655,0.96037
0.92262,0.4407,0.060893,2.3758,0.1614,0.14877,2.1337,2.4462,3.8583,1.8235,0.19101,2.1171,0.14126,1.3509,0.09798,0.18906,1.6678,2.1308,3.4509,0.49465
0.96779,0.14621,0.67965,2.688,0.34295,0.083185,4.6999,6.4175,4.8179,3.58,1.1499,1.0661,0.13071,2.9774,0.010498,0.20236,4.078,5.118,4.1627,1.3981
1.9012,0.023089,1.3906,4.3505,2.1033,3.8346,5.7315,8.137,5.3412,12.554,4.2539,0.79855,1.8502,5.9254,0.66503,0.22659,6.2939,5.9588,3.8457,1.4771
6.8054,0.65691,3.739,6.8453,6.804,5.1556,7.1717,8.829,6.1126,16.11,1.8307,2.8614,6.772,4.8118,8.5468,3.1029,8.7781,9.0983,4.5174,9.7586
1.4225,0.18659,6.4695,9.1447,8.5301,9.5765,8.0196,12.875,6.7427,15.838,2.3008,3.6022,9.4804,5.8533,9.0971,9.0984,7.6054,7.6833,6.3296,15.619
0.76903,0.67584,8.1848,7.5121,3.0762,7.4866,7.3876,10.189,6.6516,10.606,0.89077,2.4706,5.2898,8.094,3.7823,11.375,7.3706,8.8432,6.6946,14.977
1.2908,0.95417,6.1227,6.1176,1.6992,1.57,9.8532,8.3743,6.8341,13.767,2.3364,1.3346,4.4834,4.7735,5.5272,11.474,7.8823,8.474,5.9459,11.924
2.6609,2.2153,6.2122,9.7574,4.5048,5.945,10.353,7.9653,7.3251,15.517,1.0457,3.9088,5.1882,7.0878,3.4094,6.706,9.4295,9.7502,6.8688,12.653
1.4869,12.566,5.4473,7.4809,3.1685,9.3643,11.884,12.303,6.5892,14.448,1.9609,8.7213,4.0199,6.7754,5.3131,10.444,10.816,13.181,7.0856,16.846
10.718,5.9551,7.0035,6.6489,6.4722,9.3033,10.003,11.902,7.2679,10.656,2.5582,11.482,5.1703,4.8525,8.2996,11.977,8.151,13.686,9.4319,2.2318
3.934,1.2075,1.519,3.9818,7.1564,1.9777,5.1637,5.426,6.6502,2.2042,2.3942,2.0643,3.9581,1.4143,2.6855,0.4995,3.7978,5.0213,6.8638,0.55407
1.4008,1.5133,0.67841,0.98708,2.2061,0.24172,1.3442,1.1773,3.4934,1.0901,0.82966,0.76198,0.2249,0.50373,0.071254,0.31919,2.6795,2.1867,5.625,0.25507
0.81791,1.7023,0.05305,0.52548,0.59336,0.1534,3.0804,3.0127,3.4846,2.0799,1.2982,2.0703,0.078743,0.57,0.041515,0.24518,2.8897,2.6629,4.2905,0.17914
0.75788,0.34786,0.029914,0.47219,0.15763,0.17311,3.9854,6.3532,4.8683,6.063,0.87913,0.32219,0.076239,0.2945,0.0076981,0.04002,3.7585,4.3923,4.6825,3.1887
2.0064,0.29409,1.5334,6.1931,2.6036,2.122,9.52,5.1018,4.986,9.9015,0.36117,0.081545,2.1476,4.1891,1.3881,0.66715,5.0979,8.4178,4.4087,9.663
5.4305,1.6829,4.8867,5.4287,6.8671,7.3021,7.6647,7.3781,5.6045,17.444,6.6017,0.048466,6.9153,5.3235,6.2704,7.4882,9.0683,8.7043,5.75,15.096
1.6117,1.5098,6.546,6.4276,9.655,8.2887,8.1765,10.386,6.2329,13.18,1.6045,0.23102,8.7201,7.6193,8.1917,8.5344,7.0802,12.787,6.2562,14.161
0.72522,1.02,5.313,8.4352,5.734,7.3038,5.9567,9.3363,7.2993,12.981,0.73083,0.42378,5.9231,8.6309,10.813,6.9359,6.632,8.7691,7.5005,12.645
2.1023,0.7478,7.2316,8.2389,2.0735,5.8736,8.8509,10.927,5.8463,11.024,2.2218,1.0933,7.6832,4.6681,3.2841,6.8003,8.5544,7.8727,6.7377,9.88
1.3122,2.4786,5.5207,6.3752,6.6384,7.7544,9.709,10.382,6.6238,15.792,1.7385,1.8604,5.3075,7.7709,3.0329,2.756,9.4936,10.315,7.3429,13.704
3.5306,13.472,5.6595,7.9422,8.285,7.6954,11.278,10.55,6.9413,14.979,3.987,5.9394,5.2964,6.9537,5.4952,10.941,11.22,8.2434,7.7211,16.016
3.905,4.2493,6.0973,5.3914,8.1528,7.6675,12.534,10.612,8.1708,15.166,11.858,1.5503,6.9819,8.2738,8.8037,10.186,13.075,12.153,9.9953,7.3387
2.0963,0.60663,1.7105,4.3079,3.371,0.79775,6.1337,5.5429,5.1744,1.9132,1.457,0.48305,2.6696,6.4782,1.3468,3.767,7.6728,5.356,6.8023,2.1217
1.2148,1.1415,0.46524,1.074,0.51314,0.47828,1.4782,2.432,4.6407,0.80802,1.3072,0.25051,0.88348,3.6384,0.07845,0.4642,1.625,2.8676,5.5022,0.31372
0.38775,0.72853,0.13514,1.441,0.075179,0.21171,2.1129,1.9046,2.9955,2.2177,0.41174,0.16224,0.27795,1.4275,0.033973,0.11376,1.6029,1.5205,4.7588,0.37919
0.43874,0.28468,0.20955,2.0332,1.037,0.059916,5.6933,4.8226,5.0772,4.3439,4.2392,0.14626,2.467,2.6755,0.0247,0.11755,5.1324,4.5943,5.6655,2.5273
2.57,0.2256,3.1559,6.1241,7.9116,2.1463,4.814,7.8437,5.0582,9.5121,3.8763,0.04786,2.4787,6.9458,2.107,0.27504,6.1972,7.3603,4.5759,11.17
2.284,0.68793,5.4352,4.8344,7.1773,4.6259,8.0886,8.0974,5.5169,10.99,1.5459,0.14267,5.1978,5.3852,3.7003,7.8896,8.3081,9.057,5.5201,15.074
6.0503,3.9999,7.2257,9.4469,5.8101,5.3905,7.5754,8.0196,7.4646,17.14,1.1368,0.66789,5.4016,6.646,6.8009,12.963,7.0846,8.3573,6.892,20.691
1.6186,4.2669,7.8467,7.774,6.1365,5.8868,6.4801,9.413,6.6895,8.1184,1.4187,1.537,7.6289,8.9086,7.4963,8.2272,8.0468,7.2771,6.2083,17.728
1.4538,2.9176,5.5045,6.1377,3.2362,2.7274,8.1214,7.883,7.7317,14.512,0.52851,1.3571,5.0631,8.0149,1.3363,5.3332,6.6866,9.3303,6.4687,14.049
2.1662,10.467,3.3983,5.8297,1.8875,5.7249,11.398,10.552,5.7758,15.505,0.63032,1.9912,3.5492,7.5478,0.79042,6.1018,9.4567,9.2692,5.499,15.077
4.2254,10.069,8.089,5.7371,6.2202,18.101,12.244,9.3626,6.5727,18.501,4.3184,10.866,7.83,7.8087,3.4061,13.096,14.08,14.785,7.4923,15.806
3.4962,8.5543,6.5444,6.9994,7.0538,9.0434,11.98,11.208,6.7822,12.029,5.9217,7.3492,8.8423,8.1864,6.843,11.208,10.705,10.772,8.039,8.6276
2.3513,1.3967,0.79079,3.5516,3.247,1.5388,5.4155,6.1715,5.3981,1.9582,7.0903,1.657,2.4137,4.5166,1.0115,0.85327,6.0348,3.6925,5.2885,2.3382
1.1215,0.98619,0.19525,0.92634,0.83002,0.82191,1.9084,1.2913,3.6844,0.32219,1.4909,1.3578,0.48229,1.7858,0.12081,0.20374,1.4023,1.4164,3.8489,0.62719
0.47474,3.3987,0.073373,1.7378,0.41347,0.47986,2.837,2.3952,4.1439,1.1254,1.0341,1.7752,0.179,0.53589,0.028109,0.21997,2.9313,2.8854,2.8961,1.8041
1.0111,1.2059,0.1255,1.7095,0.10509,0.0039852,5.6893,5.4184,3.9576,2.6935,1.4361,0.2364,0.38128,3.8978,0.085798,0.19657,3.9941,4.6691,3.596,2.4552
10.954,0.30579,2.2061,5.03,1.6437,0.056606,6.2956,6.4026,5.6873,1.1877,0.95923,0.088612,1.8628,6.8499,1.7499,0.2154,5.1535,7.6675,5.1199,3.3526
2.2459,0.61692,5.9589,6.9589,4.0975,1.0804,7.4151,9.6826,5.907,9.0989,5.9078,0.023816,4.184,6.0544,4.7484,2.665,7.6926,8.1601,6.2918,7.6409
1.1275,3.9773,5.9992,5.084,8.7571,5.8008,5.756,8.1826,7.0477,15.31,4.9868,0.69179,7.5806,6.3854,7.5357,6.5464,6.9941,10.279,6.7471,17.18
1.4577,1.9291,7.897,7.4518,6.4682,3.5108,6.9722,10.61,6.6502,9.4476,1.3996,0.88937,2.9082,9.1071,6.9617,5.2421,7.3968,9.4221,6.7264,11.61
1.1712,1.3209,3.2269,8.3005,5.6134,8.0088,9.3198,9.5903,6.1103,11.687,1.5677,2.6561,4.6488,9.1675,5.0989,2.6474,8.7775,8.4545,6.8933,20.874
1.3689,6.3246,3.5404,6.4579,2.4836,6.0951,10.733,9.0268,6.2872,9.6058,5.5409,1.7257,7.6249,6.1257,4.7739,3.5516,9.108,9.6711,6.2225,17.87
