Date,Year,Month,Max,Min,Precip
1960.04,1960,4,33,23,127.8000031
1960.05,1960,5,32,22,193.3999939
1960.06,1960,6,32,21,119.6999969
1960.07,1960,7,31,20,84.5
1960.08,1960,8,27,16,56
1960.09,1960,9,29,16,21.5
1960.1,1960,10,30,16,11.60000038
1960.11,1960,11,32,17,83.30000305
1960.12,1960,12,34,21,26.5
1961.01,1961,1,34,22,105.9000015
1961.02,1961,2,33,22,86.40000153
1961.03,1961,3,34,23,107.0999985
1961.04,1961,4,33,23,139.1000061
1961.05,1961,5,33,23,166.8000031
1961.06,1961,6,33,22,95
1961.07,1961,7,32,21,91.69999695
1961.08,1961,8,30,19,71.59999847
1961.09,1961,9,28,15,51.70000076
1961.1,1961,10,30,15,11.5
1961.11,1961,11,35,19,3.700000048
1961.12,1961,12,35,22,17.79999924
1962.01,1962,1,35,23,153
1962.02,1962,2,34,23,87.19999695
1962.03,1962,3,33,23,136.5
1962.04,1962,4,33,23,114.8000031
1962.05,1962,5,33,23,81.09999847
1962.06,1962,6,33,22,142.3999939
1962.07,1962,7,31,20,77.59999847
1962.08,1962,8,29,17,46.09999847
1962.09,1962,9,28,15,28.20000076
1962.1,1962,10,27,13,5.5
1962.11,1962,11,33,17,27.60000038
1962.12,1962,12,35,22,33.29999924
1963.01,1963,1,34,21,54.70000076
1963.02,1963,2,36,24,30.79999924
1963.03,1963,3,33,23,169.6000061
1963.04,1963,4,33,23,121
1963.05,1963,5,32,23,201.5
1963.06,1963,6,33,22,80
1963.07,1963,7,32,21,70.59999847
1963.08,1963,8,29,18,41.09999847
1963.09,1963,9,29,16,68.69999695
1963.1,1963,10,31,16,19
1963.11,1963,11,35,20,11
1963.12,1963,12,35,21,13.69999981
1964.01,1964,1,37,24,19.70000076
1964.02,1964,2,35,23,108.5999985
1964.03,1964,3,34,24,74.40000153
1964.04,1964,4,34,24,133.5
1964.05,1964,5,33,23,158.8999939
1964.06,1964,6,32,21,139.6000061
1964.07,1964,7,33,21,43.5
1964.08,1964,8,30,19,42.70000076
1964.09,1964,9,28,16,44.70000076
1964.1,1964,10,29,15,12.89999962
1964.11,1964,11,34,19,37.70000076
1964.12,1964,12,33,21,69.90000153
1965.01,1965,1,33,21,92.5
1965.02,1965,2,34,22,96.19999695
1965.03,1965,3,33,22,114.3000031
1965.04,1965,4,32,23,187.3999939
1965.05,1965,5,33,23,65.59999847
1965.06,1965,6,31,21,120.8000031
1965.07,1965,7,32,20,54.79999924
1965.08,1965,8,30,18,63.59999847
1965.09,1965,9,31,18,19.89999962
1965.1,1965,10,30,16,89.19999695
1965.11,1965,11,34,18,20.70000076
1965.12,1965,12,34,21,27.20000076
1966.01,1966,1,35,23,78.5
1966.02,1966,2,35,23,57.70000076
1966.03,1966,3,33,22,108.4000015
1966.04,1966,4,34,24,109.4000015
1966.05,1966,5,33,23,189.1000061
1966.06,1966,6,33,22,91.5
1966.07,1966,7,32,20,39.90000153
1966.08,1966,8,29,18,119.3000031
1966.09,1966,9,30,17,59.90000153
1966.1,1966,10,31,16,5
1966.11,1966,11,32,16,10.39999962
1966.12,1966,12,34,20,40.40000153
1967.01,1976,1,35,23,113.1999969
1967.02,1976,2,35,24,80.40000153
1967.03,1976,3,34,23,76.40000153
1967.04,1976,4,34,23,191.1999969
1967.05,1976,5,33,23,165.6999969
1967.06,1976,6,32,22,88.59999847
1967.07,1976,7,33,21,43
1967.08,1976,8,33,20,30.70000076
1967.09,1976,9,26,14,104.8000031
1967.1,1976,10,30,16,42
1967.11,1976,11,33,18,40.79999924
1967.12,1976,12,35,21,24.10000038
1968.01,1968,1,36,24,44.29999924
1968.02,1968,2,34,23,94.09999847
1968.03,1968,3,34,23,108.5
1968.04,1968,4,33,23,211.6999969
1968.05,1968,5,32,23,140.8999939
1968.06,1968,6,32,21,59.70000076
1968.07,1968,7,31,19,30.5
1968.08,1968,8,28,17,21.70000076
1968.09,1968,9,29,16,18.79999924
1968.1,1968,10,31,17,9.800000191
1968.11,1968,11,33,18,65.90000153
1968.12,1968,12,33,19,43.59999847
1969.01,1969,1,35,23,38.20000076
