BCC-CSM2_370,CanESM5-CanOE_370,CNRM-CM6-1_370,CNRM-CM6-1-HR_370,CNRM-ESM2-1_370,GFDL-ESM4_370,INM-CM4-8_370,INM-CM5-0_370,IPSL-CM6A-LR_370,MRI-ESM2-0_370,BCC-CSM2_585,CanESM5-CanOE_585,CNRM-CM6-1_585,CNRM-CM6-1-HR_585,CNRM-ESM2-1_585,GFDL-ESM4_585,INM-CM4-8_585,INM-CM5-0_585,IPSL-CM6A-LR_585,MRI-ESM2-0_585
25.13,29.79,23.1,22.32,22.58,24.19,23.46,23.92,23.62,24.86,25.82,25.19,22.8,23.25,23.33,23.71,25.08,23.82,24.3,25.06
24.78,26.42,21.7,22.1,22.75,23.81,23.05,23.54,23,25.48,23.66,25.13,22.6,21.62,23.75,24.81,24.13,24.11,23.98,23.91
23.67,25.45,21.38,20.9,22.23,21.91,22,22,22.8,24.79,23.73,24.03,20.63,19.74,21.91,23.16,19.74,22.42,23.13,23.83
21.85,22.13,19.89,18.6,20.37,20.46,18.75,19.03,21.84,22.21,21.64,20.1,21.53,19.29,22.35,21.7,19.77,18.75,21.5,20.48
21.97,19.18,16.9,17.67,19.12,16.78,15.26,16.53,19.05,18.48,18.78,20.02,18.02,19.03,17.94,19.59,17.39,16.09,19.62,20.55
17.35,17.68,16.94,17.13,17.07,15.26,14.88,11.82,15.73,17.98,15.13,19.8,16.24,17.81,15.77,14.93,13.75,13.41,16.54,14.51
15.25,14.21,17.15,16.33,15.18,14.58,12.01,12.68,13.02,16.8,17.58,20.38,18.34,18.61,16.2,19.18,11.97,10.47,16.17,11.82
17.88,18.71,19.71,19.1,21.62,16.93,16.54,13.59,14,20.23,19.56,18.01,16.56,21.68,17.75,20.47,15.59,13,14.41,18.85
20.24,19.79,20.32,19.36,22.38,21.97,18.26,20.02,19.3,21.36,21.24,23.92,20.8,20.17,21.75,22.16,17.49,17.44,20.79,22.54
24.03,26.12,21.75,22.2,21.12,21.87,22.45,22.53,25.38,21.31,21.92,27.44,20.82,21.73,25.77,22.38,20.97,23.29,23.63,23.94
24.4,27.01,23.24,21.33,24.06,22.8,25.8,25.38,25.13,22.67,23.71,29.29,23.55,21.85,24.32,23.34,22.78,22.8,23.48,23.89
25.32,26.02,22.49,22.65,23.24,22.79,23.83,23.75,24.86,24.96,24.03,28.04,23.56,21.38,24.21,23.78,26.44,23.24,23.84,24.33
25.36,24.4,22.19,22.02,24.18,22.65,24.37,24.03,23.59,25.01,24.01,25.01,22.56,21.11,24.2,23.37,24.7,23.44,23.74,24.27
26.09,24.55,21.82,22.28,23.05,22.41,23.6,22.95,23.29,24.89,25.32,25.17,21.63,22.72,22.82,22.91,24.27,23.75,23.6,25.25
23.86,23.64,21.68,21.12,23.09,21.57,22.13,21.72,23.05,24.15,24.6,23.79,21.55,20.94,23.08,21.24,22.72,20.47,22.54,23.92
23.33,21.34,19.42,21.17,20.89,19.43,18.62,20.32,21.99,23.63,22.69,23.53,20.87,20.47,20.94,19.36,19.7,17.57,21.61,21.12
17.37,17.73,17.68,18.3,17.37,15.24,17.1,18.51,19.96,19.8,18.86,19.81,17.66,21.43,17.49,16.26,16.57,16.43,19.54,17.76
14.16,17.2,16.65,19.5,14.33,12.82,12.74,15.82,18.02,18.63,19.69,15.35,13.76,20.04,17.19,13.07,12.58,14.32,16.14,16.25
15.63,17.56,15.09,18.08,16.01,15.87,13.69,13.97,15.1,16.88,13.75,15.99,12.94,20.99,17.19,13.13,12.79,17.28,15.38,16.21
15.63,17.52,17.1,18.04,16.49,17.2,15.33,14.89,19.22,17.49,17.51,21.44,15.91,19.01,19.71,19.33,13.82,14.95,14.28,16.9
19.16,22.46,20.88,22.49,20.18,21.29,19.33,19.16,21.94,20.43,18.3,21.27,18.99,22.32,21.56,21.86,19.03,16.95,17.63,22.57
22.31,27.54,24.16,23.51,21.58,24.29,22.13,20.95,22.26,21.42,22.73,26.42,20.31,21.95,26.93,23.12,24.33,21.29,23.63,22.98
24.1,26.75,23.13,21.46,21.41,21.54,24.73,25.79,23.23,23.94,21.86,28.48,22.41,24.26,22.97,22.82,26.23,23.16,24.28,24.06
26.83,24.93,22.8,20.87,22.94,22.19,24.44,24.91,24.23,24.58,23.41,26.87,21.83,22.34,24.32,22.86,23.89,23.75,24.36,26.85
24.92,24.94,23.96,21.31,22.81,21.21,23.6,24.98,24.08,25.14,24.45,26.43,23.11,22.35,23.85,23.01,25.06,23.64,24.51,24.92
25.51,24.92,22.48,21.28,22.21,21.53,23.2,23.53,23.31,23.99,25.97,24.33,23.04,22.95,23.94,21.53,23.79,23.7,24.45,24.95
24.38,23.57,21.18,22.21,22.34,21.03,21.32,19.48,22.95,23.91,23.29,25.15,22.48,20.35,22.56,21.79,22.75,22.21,23.51,24.07
23.29,23.13,19.81,21.26,19.11,19.51,19.4,18.34,21.21,21.82,22.98,22.74,20.68,19.76,21.72,19.18,20.63,18.78,22.61,21.79
19.16,18.19,17.98,19.22,17.01,17.17,16.43,15.24,19.15,19.43,19.26,19.38,20.22,15.89,19.04,15.55,18.37,13.04,21.55,19.37
16.48,13.68,18.25,15.59,15.43,14.42,10.32,14.28,17.38,14.58,17.41,16.75,17.01,14.71,16.55,13.94,11.76,13.03,16.13,14.88
13.23,17.53,16.97,18.59,15.04,14.29,12.45,12.74,13.73,14.82,15.28,18.54,17.56,14.14,16.65,16.39,12.1,10.96,14.26,15.02
18.34,19.71,19.69,17.59,16.39,18.62,13.49,13.51,15.17,16.47,20.45,20.85,19.64,18.91,18.37,18.75,18.07,13.18,15.94,18.91
20.32,23.74,19.42,19.42,19.34,23.38,17.23,16.62,21.03,19.18,21.14,20.59,21.9,21.43,21.48,25.28,20.99,18.57,19.29,22.49
22.15,27.02,21.27,19.74,22.85,20.95,22.96,21.66,22.6,23.74,23.33,26.36,22.19,23.11,21.56,26.82,24.8,22.23,22.56,23.54
24.78,26.62,21.73,20.82,23.16,24.91,22.57,22.1,25.09,25.53,24.06,26.83,22.31,20.94,23.08,25.41,24.45,23.6,24.41,23.54
24.34,24.25,22.29,22.45,21.11,22.85,25.38,25.3,23.55,24.65,24.87,26.69,22.97,22.12,22.6,23.33,24.19,24.6,23.96,25.13
25.22,24.63,22.56,22.23,22.67,22.91,25.58,24.86,24.07,25.18,25.91,25.73,22.12,22.06,22.57,22.43,22.94,24.01,24.63,24.95
24.34,24.52,22.51,23.16,22.56,22.66,24.11,23.37,24.28,24.69,23.85,24.22,22.5,21.68,22.88,21.55,23.82,23.29,24.21,24.95
24.64,24.95,20.01,21.93,19.96,22.78,20.95,21.6,24.03,23.73,23.75,24.78,20.99,20.57,22.98,21.56,21.36,22.95,23.91,23.18
22.13,20.44,21.32,21.57,19.95,21.17,19.54,17.9,22.69,23.78,20.13,22.72,19.74,19.4,21.42,20.21,20.41,16.78,22.73,20.36
20,19.04,20.35,18.03,18.62,18.4,17.85,15.03,18.71,18.7,18.15,20.43,18.39,18.13,17.5,17.54,15.19,16.46,20.92,18.07
16.5,17.27,15.4,18.86,15.79,15.87,10.61,13.94,17.46,14.85,16.12,18.26,15.61,16.75,14.6,16.48,16.17,13.67,15.99,15.44
14.91,16.49,13.68,18.25,17.98,17.74,11.75,12.29,15.32,16.25,17.75,16.23,16.27,17.13,16.06,14.96,10.88,14.07,14.69,17.52
20.17,20.67,14.82,17.46,18.82,19.55,14.55,11.83,16.62,16.62,17.48,18.68,17.46,18.54,18.61,13.76,14.33,14.8,16.84,16.19
19.56,19.63,18.22,18.22,20.54,20.37,19.5,18.13,19.85,22.29,18.66,21.05,21.7,21.04,18.63,20.68,21.97,20.68,20.51,17.75
19.5,25.38,20.15,21.71,24.91,22.76,23.7,21.86,27.13,24.42,24.76,28.86,21.19,20.94,24.66,26.63,22.87,21.29,22.48,22.24
24.76,30.47,23.24,22.31,24.95,22.6,23.98,24.59,25.13,24.65,25.18,27.86,23.34,21.98,26.86,25.36,27.48,23.25,23.53,24.48
24.35,29.1,22.68,22.07,24.66,22.09,25.61,23.22,25.22,25.11,25.73,25.94,22.07,20.79,24.28,22.76,24.87,23.9,23.91,23.96
26.12,25.8,22.02,23.67,24.5,23.16,23.96,23.93,24.77,25.7,25.76,24.66,22.89,21.09,23.69,23.13,23.73,23.63,23.97,25.16
25.33,24.88,22.67,23.03,23.27,22.69,23.24,23.98,24.06,25.19,25.76,25.5,22.87,22.02,22.01,22.01,23.86,22.67,22.86,24.87
25.77,24.87,19.86,21.54,21.5,22.88,20.81,21.69,23.26,23.56,23.76,23.3,21.84,22.36,22.91,21.33,22.75,22.79,23.15,23.19
24.98,22.51,19.2,19.45,20.21,19.19,20.7,19.4,21.55,23.73,24.37,22.75,20.03,22.13,19.66,19.33,20.06,16.69,22.02,20.85
