BCC-CSM2_370,CanESM5-CanOE_370,CNRM-CM6-1_370,CNRM-CM6-1-HR_370,CNRM-ESM2-1_370,GFDL-ESM4_370,INM-CM4-8_370,INM-CM5-0_370,IPSL-CM6A-LR_370,MRI-ESM2-0_370,BCC-CSM2_585,CanESM5-CanOE_585,CNRM-CM6-1_585,CNRM-CM6-1-HR_585,CNRM-ESM2-1_585,GFDL-ESM4_585,INM-CM4-8_585,INM-CM5-0_585,IPSL-CM6A-LR_585,MRI-ESM2-0_585
2.8672,7.3605,9.171,3.7861,2.6929,6.1549,3.251,3.412,7.5185,14.949,7.36,9.3235,6.8018,1.2153,7.1128,5.4059,3.0106,3.4067,7.9216,10.917
1.5559,5.8139,5.5418,8.2442,2.7397,6.8109,4.3861,3.5516,10.351,8.1315,4.5784,5.9832,7.749,6.8079,6.0509,1.7053,2.6856,9.3092,8.1868,5.2876
4.6938,9.6628,0.39072,5.1736,2.7432,5.1524,4.1603,3.3409,5.0736,7.154,3.0355,4.732,4.2659,1.6036,8.0205,4.4419,2.5448,4.3723,7.9592,5.4523
0.97134,5.8679,0.59865,1.8303,0.86409,4.5294,2.5968,1.4833,4.7634,3.0856,2.4759,2.4721,1.0252,1.1146,2.6422,0.87637,1.9818,0.86995,3.7359,3.3517
0.29981,0.82237,1.1496,0.88253,0.66897,2.0214,0.68571,1.0034,0.11325,0.42545,0.88812,1.0424,0.93254,0.65384,1.2721,1.9059,0.86731,1.0413,2.2923,0.48902
0.079355,0.59278,0.40676,0.070129,0.43335,0.92322,0.70184,0.46844,0.4656,2.8538,0.062188,0.37347,0.13934,0.0042454,1.1093,0.80193,0.54784,0.15801,0.3496,0.37952
0.65225,0.32938,0.0045441,0.2436,0.71767,0.014383,0.29078,0.03507,0,0.056421,0.027286,0.091997,0.17542,0.30887,0.23532,0.0020968,0.055127,0.020196,0.098428,0.42187
0.0076773,0.030485,0.024531,0.3257,0.090794,0.057151,0.30935,0.69737,0.055067,0.36688,1.5374,0.44966,0.90433,0.040777,0.014113,0.0074582,0.035052,0.45045,6.90E-05,0.039071
2.7012,0.28108,4.8054,1.375,1.6793,0.0029213,0.84628,1.2188,0.16316,3.7354,0.092067,0.85892,0.37931,1.4175,0.059594,0.69008,1.0286,2.197,2.1747,0.55733
1.8444,1.8569,0.51808,1.4593,3.5843,2.4745,1.8629,2.9961,1.4573,6.0644,2.6665,1.7023,2.2611,2.2312,0.11832,2.9582,0.899,2.5846,2.2969,3.1779
4.7161,3.1527,4.7953,3.0078,3.8544,2.828,3.0265,2.6076,4.4348,5.5829,7.971,3.2413,2.5596,3.8158,3.5473,2.6695,1.8996,2.7756,3.4951,5.35
2.7806,4.3378,4.7942,2.4531,3.4865,6.0373,2.8842,3.535,5.3625,7.3855,2.479,4.4654,2.8406,3.6928,3.0939,5.661,4.2689,3.5462,5.4789,13.482
3.7378,6.3359,5.2394,3.7167,6.784,3.5546,4.5038,4.3154,7.4718,7.7749,7.9275,5.3451,4.6129,2.22,4.8881,2.757,1.4589,4.4202,8.1019,12.582
13.983,6.5069,1.5481,3.4246,4.2544,7.2586,4.4695,6.8046,8.6658,4.3136,2.7232,7.246,2.4311,3.4576,4.2569,10.393,5.2166,6.1992,8.5685,7.1702
3.5144,7.9625,0.29566,1.706,6.3439,7.6722,3.3958,3.7839,9.1768,5.9611,15.407,4.8721,4.2869,2.0771,3.9335,2.9831,4.229,1.6731,6.9018,6.6106
1.722,3.0703,4.0753,1.2444,4.5534,1.5837,0.53189,0.89757,3.2121,2.4554,1.6794,3.6964,2.4979,0.89144,2.5056,1.4929,0.94006,0.83118,4.8766,1.1031
1.0379,0.87568,0.59718,0.3905,2.7007,0.87118,0.465,1.0447,0.65685,1.3935,1.2032,0.43796,2.2319,0.091126,0.89053,1.4876,0.35536,1.0428,0.95756,0.037083
0.6437,0.50314,0.52759,0.16392,0.55088,0.6973,0.3642,0.19609,0.17133,0.13797,0.12783,0.42514,0.050803,0.061191,0.14238,0.32196,0.024,0.068882,0.92869,0.45093
0.85686,0.18771,1.7338,0.50756,0.61794,0.0087995,0.13009,0.038648,0,0.34496,0.92672,0.68074,0.064557,0.085189,0.016056,0.0033008,0.11165,0.51757,0.00057427,0.14086
2.3543,0.72639,0.32447,0.061324,0.45082,0.17966,0.29229,0.17241,0.00019655,0.68134,0.42661,0.062792,0.038224,1.0387,0.0021629,0.001551,0.2718,0.706,0.012215,0.30169
0.70499,0.027651,0.15266,0.53803,3.0843,0.58928,0.88884,0.99724,0,0.51591,3.0651,3.1795,0.91496,1.4123,0.55629,0.015433,0.32967,1.9207,0.18306,2.4393
4.633,1.7216,1.5843,0.64994,2.574,1.0611,2.6172,1.9364,3.4882,2.8893,3.7405,2.3605,1.4871,2.3665,0.23563,1.0782,1.0426,1.1909,2.1859,2.3346
1.8525,5.4663,2.8245,4.5566,4.5992,9.3827,3.2102,3.5915,3.9702,2.0737,5.9558,2.3955,6.5947,0.3879,2.7269,2.7765,3.902,2.9299,5.0079,3.7783
3.3145,6.4035,2.8111,4.508,4.343,4.3857,3.1978,3.8597,7.4884,8.7895,11.401,2.871,2.6818,4.7446,3.1454,4.9393,2.8918,6.6537,6.5581,4.4047
5.4385,14.481,3.0597,5.1381,7.3255,10.226,7.5258,4.4767,9.5084,10.612,5.9434,5.4455,11.441,2.8409,2.2198,10.467,2.8869,2.9388,8.6224,17.113
2.8064,7.993,2.4046,1.0321,8.7187,4.2195,3.5843,7.532,8.0912,17.29,2.4346,5.0386,4.0659,2.1983,5.452,6.4478,7.0953,3.0466,9.8013,6.8164
3.408,7.6377,1.4049,1.5098,3.1269,1.9022,1.7207,2.4182,7.4611,12.881,2.7789,8.8672,5.3285,3.9765,4.7207,6.8606,3.7699,3.0071,4.417,11.881
0.94312,1.5733,1.6137,0.83558,4.868,2.141,1.4337,1.8955,4.1455,6.5021,1.1985,4.2059,2.0583,3.0383,0.47815,2.1227,1.2841,1.4194,1.8016,3.3268
1.5666,0.51231,0.085873,0.087356,1.5341,1.4733,0.45691,0.88807,0.75398,0.31055,0.42015,1.7911,0.86964,1.1169,0.24108,0.92202,1.0566,0.65726,0.10761,2.3545
0.58493,0.27767,0.28877,0.1334,0.234,0.33481,0.60611,0.15885,0.023944,0.71622,0.43302,0.48623,0.67028,0.9738,0.055406,0.096544,0.25209,0.094329,0.0075057,0.86778
1.9509,0.48414,0.0061296,0.94154,0.094735,0.28505,0.0054746,0.066136,0,0.36125,0.24881,0.35882,0.022996,0.13886,0.18453,0.3618,0.040425,0.047899,0.32779,0.54269
1.1992,0.045258,0.24175,0.099075,0.021078,0.0077657,0.11011,0.39696,0,0.18267,0.00167,0.097707,0.071629,0.62807,0.39451,0.013411,0.13159,0.033588,0,0.075657
3.3902,0.1581,0.055529,1.5427,0.91983,0.030964,0.94768,0.56067,0.032622,0.73798,2.9133,0.36881,1.2078,0.34494,4.1286,0.036449,0.76474,0.50249,1.2958,0.35503
4.0975,2.5992,2.3759,4.6034,0.90976,4.818,0.63246,2.2976,1.4944,1.6992,1.1772,2.343,1.2061,1.797,4.8531,0.078985,1.3135,2.131,2.8029,2.9366
3.2433,3.5423,5.6492,2.4062,0.96393,1.1384,2.4225,2.5856,5.7689,3.2761,8.6884,1.6499,6.1496,2.7848,3.043,4.9666,3.1578,2.4313,4.5076,7.0152
4.8459,8.5841,1.7515,2.6179,0.95288,5.1034,2.0119,4.5581,7.0572,5.2468,9.4628,3.6895,6.529,2.5877,6.6237,4.7697,3.6161,4.7848,5.9264,9.6105
4.9733,11.443,6.0551,1.8869,5.5323,3.9054,1.3422,5.3102,7.3562,9.9849,5.2187,5.0288,5.17,5.8223,5.5136,8.5016,4.6848,4.9214,8.7018,7.7646
7.3012,5.6454,2.4063,3.8039,5.0235,6.5843,5.0214,4.0142,10.155,12.657,6.7755,7.1656,7.0485,5.4037,8.04,11.549,5.474,6.0282,10.741,9.0738
4.0832,7.043,5.9756,2.8229,3.1181,3.5114,1.8735,2.9475,9.0888,9.6828,4.1598,6.1519,4.4726,2.5953,3.8959,8.0362,1.8847,4.2083,8.3119,5.1574
1.724,4.014,0.42128,0.56946,4.9115,1.6495,0.63806,1.9066,2.7269,3.5398,4.2889,1.0802,1.706,2.5032,1.8071,2.8545,1.6559,1.189,3.532,2.6824
0.45831,1.1289,0.41771,0.62173,1.215,0.42116,0.41971,0.78169,0.084296,0.30867,0.036591,2.1107,0.15216,0.57521,1.4987,2.191,0.86191,0.79476,0.70191,0.61415
1.4533,1.2074,0.048892,0.59328,0.11098,0.6219,0.053717,0.46926,0.11196,0.66519,0.3214,0.54667,0.37834,0.67844,0.13804,0.75811,0.27908,0.27475,5.07E-05,0.54385
1.1664,0.40126,0.055178,0.068204,0.05144,0.084809,0.0095968,0.013692,0,0.57611,0.18249,0.54612,0.25065,0.32159,0.11455,0.081322,0.4347,0.049155,0.10988,0.86872
0.16324,0.32542,0.018067,0.020178,0.80417,3.78E-05,0.083455,0.62162,0,0.8596,0.16525,0.30288,0.018881,0.68774,0.15475,0.98041,0.17991,0.13143,0,1.1907
1.0475,0.55069,0.11416,3.8107,1.7951,2.1663,0.4348,1.6753,0.28715,0.69556,1.2658,1.5656,3.0712,0.66965,1.4771,0.019733,0.47199,1.0636,0,3.3043
2.9961,0.98068,4.6695,2.1642,3.5799,0.36221,2.2232,3.3173,3.2555,3.1334,5.9231,1.0299,1.4998,1.6825,1.4611,0.22122,1.3063,4.3253,0.40256,1.286
1.6485,4.2351,1.9993,1.8428,1.1894,3.73,1.8193,3.2119,7.6127,5.6351,2.2112,3.2747,3.13,3.3519,1.4355,3.8249,2.137,2.0489,5.1589,6.8305
7.1148,6.751,2.7666,1.9386,5.1094,6.7888,3.9898,3.2644,8.3191,8.1545,4.9231,4.0073,6.0268,3.4727,5.5529,4.3054,5.5567,4.8983,5.9169,6.6412
2.2862,6.5996,3.7928,1.9136,3.1898,11.094,3.4874,3.6207,7.5818,9.0214,2.576,7.3768,10.989,4.9014,5.5785,4.2135,5.2478,4.4467,8.2324,10.627
7.0437,5.9823,3.6808,4.2093,4.1057,9.5479,4.4792,4.2143,7.6052,13.728,2.013,4.9038,11.978,1.8672,6.7694,9.1867,4.2216,4.0613,9.4578,8.9489
1.4185,5.0256,5.1997,4.4636,2.8983,6.2197,2.1054,2.0069,9.2733,5.2795,3.1576,7.569,6.2736,2.2679,9.7517,2.417,3.3114,5.1564,6.5174,7.5744
1.1168,3.6572,1.1012,0.76235,0.32529,2.0171,0.98622,0.88102,4.3697,2.5641,1.8812,6.1171,2.0442,0.72635,0.79771,2.7542,1.3529,0.92625,4.2588,3.497
0.56646,2.136,2.3914,0.81158,0.19367,2.1372,0.42915,0.56251,1.1633,1.0731,0.85975,0.66545,1.2515,0.7955,2.9275,1.126,0.31132,0.56525,0.9904,0.74691
0.023994,0.74254,0.91781,0.32838,0.0096354,0.29424,0.095781,0.44469,0.026696,0.70416,0.81424,0.66466,0.037386,0.19672,0.35442,0.18846,0.24893,0.19994,0.031649,1.3129
0.011058,0.10362,0.15723,0.056,0.10655,0.072357,0.14128,0.21282,0.039598,0.386,0.87233,0.55173,0.11721,0.078495,0.066892,0.0094795,0.024519,0.36,0.10494,0.0034155
2.9075,0.95264,0.017407,0.31316,0.026896,0.005796,0.13815,0.31563,0,0.042711,1.7527,0.014584,0.49561,0.8733,0.012906,0.0004122,0.18465,0.15659,0.0010846,1.0174
2.5481,0.80612,0.23862,2.8053,0.32179,0.046244,0.90057,1.0943,0.40759,1.5864,2.6562,0.34168,0.15337,0.15092,1.021,0.22402,1.3438,0.97431,0.55611,0.35878
1.8383,4.2212,2.232,3.3748,1.35,1.2717,1.6525,1.5012,2.7272,1.3948,3.1365,2.3823,0.11979,4.4106,6.3262,0.81443,1.546,2.0003,2.077,3.3168
2.4052,3.7662,4.0608,1.847,1.7202,5.3318,2.6275,1.6612,5.7493,2.9609,3.6321,4.2144,2.7748,1.3312,2.6764,5.0167,3.0415,3.3116,4.207,1.7097
7.7424,5.2858,4.9362,6.4186,3.3039,5.5009,2.5572,3.0948,5.6613,9.6988,3.0793,12.754,5.0582,6.3535,6.1678,5.7018,3.1977,2.9497,6.4546,8.7336
6.2444,7.9278,6.3027,1.922,3.293,5.1814,4.8898,3.5267,7.0232,6.3353,4.9705,7.9459,3.4529,3.2555,4.3349,3.6911,4.3163,3.1593,7.6209,11.71
