Date,Year,Month,Max,Min,Precip
1960.04,1960,4,29,18,44
1960.05,1960,5,29,18,59.59999847
1960.06,1960,6,26,16,382
1960.07,1960,7,26,17,153.3000031
1960.08,1960,8,25,17,72
1960.09,1960,9,23,16,73.69999695
1960.1,1960,10,22,14,58.40000153
1960.11,1960,11,23,15,36.79999924
1960.12,1960,12,24,14,4.5
1961.01,1961,1,27,16,2.900000095
1961.02,1961,2,28,17,2.700000048
1961.03,1961,3,29,17,3.599999905
1961.04,1961,4,29,17,137
1961.05,1961,5,28,16,35.5
1961.06,1961,6,28,16,193.3999939
1961.07,1961,7,26,16,71.30000305
1961.08,1961,8,25,15,73
1961.09,1961,9,23,14,105.4000015
1961.1,1961,10,22,13,100
1961.11,1961,11,23,14,29.89999962
1961.12,1961,12,25,14,11.60000038
1962.01,1962,1,27,15,8.5
1962.02,1962,2,29,16,2.5
1962.03,1962,3,29,16,8.600000381
1962.04,1962,4,29,16,39.09999847
1962.05,1962,5,29,16,19.10000038
1962.06,1962,6,28,16,51.59999847
1962.07,1962,7,27,16,50.40000153
1962.08,1962,8,25,16,98
1962.09,1962,9,22,15,159.6000061
1962.1,1962,10,22,14,132.3000031
1962.11,1962,11,23,14,34.79999924
1962.12,1962,12,24,14,21
1963.01,1963,1,27,15,2.599999905
1963.02,1963,2,28,16,23.89999962
1963.03,1963,3,28,16,83.90000153
1963.04,1963,4,28,16,31.10000038
1963.05,1963,5,28,16,56
1963.06,1963,6,27,16,150.6000061
1963.07,1963,7,26,16,62.5
1963.08,1963,8,24,15,75.30000305
1963.09,1963,9,23,15,119.5
1963.1,1963,10,22,14,31.89999962
1963.11,1963,11,23,14,20.10000038
1963.12,1963,12,24,14,25.10000038
1964.01,1964,1,28,15,4.699999809
1964.02,1964,2,29,17,33.09999847
1964.03,1964,3,28,17,196.1999969
1964.04,1964,4,27,17,138.3999939
1964.05,1964,5,27,17,186.3999939
1964.06,1964,6,26,16,141.1999969
1964.07,1964,7,25,16,129
1964.08,1964,8,24,16,165.1000061
1964.09,1964,9,22,15,133.1999969
1964.1,1964,10,22,14,148.6999969
1964.11,1964,11,23,15,115.9000015
1964.12,1964,12,23,14,57.59999847
1965.01,1965,1,27,15,7.199999809
1965.02,1965,2,28,16,16
1965.03,1965,3,29,16,44.29999924
1965.04,1965,4,28,16,102.1999969
1965.05,1965,5,29,16,76.40000153
1965.06,1965,6,28,16,114.3000031
1965.07,1965,7,26,16,153.1999969
1965.08,1965,8,25,16,83.19999695
1965.09,1965,9,22,15,139
1965.1,1965,10,22,14,64.5
1965.11,1965,11,23,15,85.80000305
1965.12,1965,12,24,15,16.60000038
1966.01,1966,1,27,17,54.79999924
1966.02,1966,2,28,17,8.800000191
1966.03,1966,3,28,17,20.20000076
1966.04,1966,4,28,17,99.09999847
1966.05,1966,5,26,17,143.3000031
1966.06,1966,6,27,17,35.29999924
1966.07,1966,7,26,17,271.1000061
1966.08,1966,8,24,17,89.09999847
1966.09,1966,9,22,16,94
1966.1,1966,10,21,15,157
1966.11,1966,11,23,14,57.20000076
1966.12,1966,12,24,15,48.20000076
1967.01,1976,1,27,16,16.60000038
1967.02,1976,2,28,17,51.09999847
1967.03,1976,3,28,17,33
1967.04,1976,4,29,17,14.39999962
1967.05,1976,5,27,17,49.59999847
1967.06,1976,6,26,16,143.3000031
1967.07,1976,7,25,17,168.8999939
1967.08,1976,8,23,17,196.6999969
1967.09,1976,9,22,15,48.40000153
1967.1,1976,10,21,14,89.40000153
1967.11,1976,11,22,14,59.59999847
1967.12,1976,12,24,14,32.70000076
1968.01,1968,1,26,15,7.400000095
1968.02,1968,2,28,16,19
1968.03,1968,3,27,16,90.09999847
1968.04,1968,4,27,16,76
1968.05,1968,5,27,16,38.20000076
1968.06,1968,6,26,16,157.1000061
1968.07,1968,7,25,16,135.1999969
1968.08,1968,8,23,16,172.3999939
1968.09,1968,9,21,14,96.40000153
1968.1,1968,10,21,14,89.69999695
1968.11,1968,11,22,14,45.70000076
1968.12,1968,12,23,14,15.30000019
1969.01,1969,1,27,16,7.699999809
1969.02,1969,2,28,17,14.39999962
1969.03,1969,3,28,17,33.59999847
1969.04,1969,4,28,17,90.30000305
1969.05,1969,5,28,17,105.9000015
1969.06,1969,6,27,17,191.8999939
1969.07,1969,7,26,17,71.80000305
1969.08,1969,8,24,16,63.59999847
1969.09,1969,9,23,16,126.3000031
1969.1,1969,10,21,15,288.1000061
1969.11,1969,11,23,14,39.29999924
1969.12,1969,12,24,15,4
1970.01,1970,1,27,16,15
1970.02,1970,2,28,16,9.199999809
1970.03,1970,3,28,17,24.39999962
1970.04,1970,4,28,17,98.80000305
1970.05,1970,5,28,17,51.90000153
1970.06,1970,6,26,17,147.8999939
1970.07,1970,7,26,16,26.20000076
1970.08,1970,8,25,16,19.60000038
1970.09,1970,9,23,15,32.59999847
1970.1,1970,10,22,14,84
1970.11,1970,11,23,15,35.20000076
1970.12,1970,12,24,15,4.199999809
1971.01,1971,1,27,16,70.80000305
1971.02,1971,2,28,16,21
1971.03,1971,3,29,17,12.69999981
1971.04,1971,4,28,17,46.90000153
1971.05,1971,5,28,16,23.79999924
1971.06,1971,6,28,16,62.79999924
1971.07,1971,7,26,16,165.8000031
1971.08,1971,8,23,16,121.3000031
1971.09,1971,9,23,15,139.6000061
1971.1,1971,10,22,14,58.40000153
1971.11,1971,11,23,14,47.79999924
1971.12,1971,12,24,14,64.5
1972.01,1972,1,26,16,31.10000038
1972.02,1972,2,28,16,2.900000095
1972.03,1972,3,28,17,9.699999809
1972.04,1972,4,28,17,46.29999924
1972.05,1972,5,27,16,105.9000015
1972.06,1972,6,27,16,101.6999969
1972.07,1972,7,26,16,94.59999847
1972.08,1972,8,24,16,133
1972.09,1972,9,22,15,211.3000031
1972.1,1972,10,23,14,29
1972.11,1972,11,23,15,116.1999969
1972.12,1972,12,24,15,13.69999981
1973.01,1973,1,27,16,17.29999924
1973.02,1973,2,29,17,5.5
1973.03,1973,3,29,17,117.8000031
1973.04,1973,4,28,18,53.90000153
1973.05,1973,5,29,17,20.5
1973.06,1973,6,28,17,140.3999939
1973.07,1973,7,26,17,120.9000015
1973.08,1973,8,25,17,85.40000153
1973.09,1973,9,23,16,141.1999969
1973.1,1973,10,23,15,43.59999847
1973.11,1973,11,24,15,48
1973.12,1973,12,24,15,67.59999847
1974.01,1974,1,27,16,54.79999924
1974.02,1974,2,29,17,4.800000191
1974.03,1974,3,29,17,14.30000019
1974.04,1974,4,28,17,142.5
1974.05,1974,5,27,16,153.1000061
1974.06,1974,6,26,17,275.2000122
1974.07,1974,7,25,16,206.6000061
1974.08,1974,8,23,16,117
1974.09,1974,9,22,15,87.30000305
1974.1,1974,10,21,14,76.09999847
1974.11,1974,11,23,14,22.29999924
1974.12,1974,12,24,14,18.89999962
1975.01,1975,1,27,16,11.89999962
1975.02,1975,2,27,16,93.5
1975.03,1975,3,28,17,49.70000076
1975.04,1975,4,28,17,46.79999924
1975.05,1975,5,28,16,48.29999924
1975.06,1975,6,27,16,122.1999969
1975.07,1975,7,26,16,163.3000031
1975.08,1975,8,23,16,189.8999939
1975.09,1975,9,22,15,196.6999969
1975.1,1975,10,21,14,296.3999939
1975.11,1975,11,22,14,39
1975.12,1975,12,23,14,53.70000076
1976.01,1976,1,27,16,13.5
1976.02,1976,2,28,16,4.099999905
1976.03,1976,3,27,16,25.89999962
1976.04,1976,4,28,16,23
1976.05,1976,5,27,16,195
1976.06,1976,6,26,16,67
1976.07,1976,7,25,16,69.69999695
1976.08,1976,8,25,16,70.09999847
1976.09,1976,9,23,15,42.09999847
1976.1,1976,10,22,13,24.89999962
1976.11,1976,11,24,14,6.699999809
1976.12,1976,12,25,15,54.79999924
1977.01,1977,1,26,16,94.59999847
1977.02,1977,2,27,16,40.5
1977.03,1977,3,28,17,38.29999924
1977.04,1977,4,27,17,133.1999969
1977.05,1977,5,27,17,34.20000076
1977.06,1977,6,28,17,58.79999924
1977.07,1977,7,26,17,102.3000031
1977.08,1977,8,24,16,191.5
1977.09,1977,9,22,16,219.6999969
1977.1,1977,10,21,15,185
1977.11,1977,11,23,14,40.90000153
1977.12,1977,12,24,15,13.30000019
1978.01,1978,1,26,16,20.89999962
1978.02,1978,2,28,17,8.100000381
1978.03,1978,3,28,17,81.5
1978.04,1978,4,28,17,16.89999962
1978.05,1978,5,27,17,202.3000031
1978.06,1978,6,26,17,288.7000122
1978.07,1978,7,26,17,99.69999695
1978.08,1978,8,24,17,132.1999969
1978.09,1978,9,22,15,111
1978.1,1978,10,22,15,103.1999969
1978.11,1978,11,23,14,31.70000076
1978.12,1978,12,23,14,42.59999847
1979.01,1979,1,27,16,8.5
