BCC-CSM2_370,CanESM5-CanOE_370,CNRM-CM6-1_370,CNRM-CM6-1-HR_370,CNRM-ESM2-1_370,GFDL-ESM4_370,INM-CM4-8_370,INM-CM5-0_370,IPSL-CM6A-LR_370,MRI-ESM2-0_370,BCC-CSM2_585,CanESM5-CanOE_585,CNRM-CM6-1_585,CNRM-CM6-1-HR_585,CNRM-ESM2-1_585,GFDL-ESM4_585,INM-CM4-8_585,INM-CM5-0_585,IPSL-CM6A-LR_585,MRI-ESM2-0_585
22.27,25.47,20.06,18.1,20.44,21.26,21.91,22.09,21.73,22.12,22.42,24.7,19.95,18.4,21.36,20.36,22.27,21.91,22.14,21.47
22.12,25.6,20.18,18.32,20.8,20.84,22.36,22.64,22,21.65,22.32,24.42,20.62,18.48,20.98,20.58,22.68,22.67,22.37,21.44
22.64,25.15,20.5,19.13,21.02,20.89,23.25,22.98,22.32,22.14,22.68,24.33,20.65,18.91,21.39,21.4,23.22,22.95,22.91,21.42
22.68,24.78,20.32,18.24,20.79,20.91,22.39,22.6,22.32,21.78,22.46,24.93,20.85,18.59,21.03,20.57,23.02,22.85,23.04,21.2
21.18,23.2,18.97,17.71,20.13,19.67,21.8,21.14,21.36,20.8,21.29,23.59,19.15,17.15,20.48,20.36,22.06,21.68,21.61,20.07
20.65,22.13,18.45,17.19,18.38,18.2,20.22,19.82,19.29,19.82,20.55,22.45,17.74,16.55,18.31,18.49,19.12,20.01,20.8,19.28
19.74,21.41,17.21,16.02,17.61,17.06,18.35,19.82,18.49,19.21,20.32,21.86,16.91,15.79,17.85,17.34,18.4,18.05,20.3,18.68
20.4,20.96,17.08,15.77,17.64,16.31,17.89,18.68,18.98,18.92,20.46,21.48,17.42,15.19,17.5,16.76,17.29,17.45,20.02,18.45
20.83,21.61,17.69,15.85,17.88,17.05,18.1,19.05,20.02,20.31,21.14,21.71,17.48,15.5,18.03,16.94,17.07,18.17,20.7,19.21
21.5,22.5,18.51,15.96,18.52,17.86,18.48,20.44,21.07,21.48,21.23,22.58,18.61,16.23,19.04,17.61,19.32,19.5,21.85,20.38
22.37,23.84,19.93,16.95,20.23,19.21,20.73,20.99,22.14,21.77,22.01,23.34,20.33,17.81,20.88,20.18,20.21,20.67,22.46,21.55
22.48,24.81,20.19,18.03,20.61,19.95,21.76,21.4,21.66,22.34,22.29,24.74,19.47,17.96,21.09,21.09,21.21,21.95,22.38,22.9
22.07,24.99,20.15,17.66,20.03,20.6,21.94,22.31,21.79,22.34,22.1,24.78,19.89,17.83,20.57,21.38,22.49,22.23,21.94,22.94
21.95,24.52,20.89,18.67,20.72,20.18,22.5,22.85,21.85,22.48,22.42,25,19.87,18.37,20.76,20.22,22.85,22.48,22.02,21.88
22.17,24.55,20.76,19.63,21.48,20.7,23.13,22.89,22.5,22.39,22.69,25.1,20.5,18.79,20.88,20.77,23.08,23.15,22.15,22.49
21.8,24.41,20.29,19.32,20.68,20.28,22.58,22.56,22.65,22.37,22.12,24.58,19.99,19.04,19.78,20.58,22.56,22.94,22.63,21.71
21.21,22.63,18.54,18.37,20.32,18.9,21.83,20.75,22.04,20.7,21.35,23.54,18.96,18.09,19.77,19.21,21.56,22.3,21.68,20.19
19.85,21.72,17.9,16.29,19.55,17.02,20.15,19.69,20.6,19.07,19.91,22.58,17.56,16.5,18.33,17.08,20.11,21.01,20.51,18.98
19.26,20.99,16.84,16.07,18.47,16.63,19.04,19.34,19.28,19.22,18.54,21.58,16.77,15.26,17.54,16.47,19.47,19.62,19.08,18.73
19.06,20.63,17.01,15.84,17.95,15.9,17.01,18.51,19.16,18.54,19.82,21.46,16.75,15.41,17.44,16.06,18.66,18.92,19.76,18.24
19.29,20.91,17.81,15.98,18.39,15.69,17.91,18.47,20.28,18.9,21.2,21.34,17.14,15.62,17.3,16.57,17.66,19.64,20.76,18.63
20.02,21.78,18.71,16.55,18.68,17.22,19.13,19.59,21.06,20.39,21.9,22.09,18.6,16.98,19.15,17.5,18.2,19.22,21.38,19.55
20.58,23.2,20.03,17.3,20.11,19.08,20.66,20.98,21.49,21.56,21.4,23.52,19.98,17.09,20.25,19.22,20.41,20.8,21.79,20.91
21.61,24.16,20.67,17.2,21.01,19.5,21.71,21.72,22,23.03,22.56,24.67,20.18,17.74,20.92,20.45,21.92,21.5,22.05,22.26
22.56,23.99,20.22,18.04,21.33,20.31,22.15,22.41,21.83,22.65,22.59,24.16,19.92,18.24,20.23,20.66,22.36,22.38,22.2,22.65
22.79,24.42,20.33,18.69,21.03,20.62,22.49,22.67,22.22,22.41,22.63,24.69,20.57,18.91,20.6,20.02,22.66,22.89,22.65,22.42
22.51,24.85,20.09,18.81,20.69,20.28,23.25,23.23,22.82,22.32,23.05,24.84,20.54,19.06,21.14,20.82,23.1,22.98,22.89,22.14
22.42,24.4,19.56,18.6,20.54,19.82,22.72,22.48,22.44,21.55,22.37,24.34,19.78,19.11,20.13,20.31,22.86,22.91,23.34,21.92
21.7,23.24,18.55,16.55,19.47,18.64,21.64,21.41,22.17,20.68,21.65,23.75,18.94,18.47,19.49,18.66,22.66,21.79,22.57,20.59
20.55,22.73,18.05,16.16,18.81,17.64,20.1,20.48,20.51,19.47,21.06,22.85,17.29,17.44,18.75,17.81,20.98,20.43,21.06,19.79
20.04,21.2,17.61,14.77,17.17,16.44,19.23,19.29,19.42,18.44,20.3,21.24,16.68,16.69,17.42,16.77,18.12,19.41,20.4,18.96
19.99,21.01,17.26,14.71,17.54,16.73,17.88,18.37,19.5,18.38,19.62,21.06,16.99,15.68,16.84,16.36,17.97,17.93,19.54,18.61
20.6,21.04,18.3,15.6,17.98,16.79,18.93,18.29,20.26,18.84,21.24,21.93,17.72,16.26,18.08,16.65,17.87,18.26,20.87,19.23
21.01,22.44,18.61,16.99,19.49,18.16,19.26,19.05,20.9,20.22,21.28,22.82,18.51,17.36,19.48,17.79,19.93,19.48,21.13,20.74
21.94,23.67,20.24,16.87,21.03,19.64,20.66,20.7,22.26,21.56,22.15,23.75,20.23,17.3,21.5,19.82,20.41,20.62,21.97,21.66
22.02,24.57,20.36,17.76,20.83,21.49,21.54,21.63,23.4,22.09,22.3,24.65,21.03,17.57,21.7,21.6,22.13,21.55,22.29,22.34
21.58,24.52,20.22,17.76,20.73,20.6,22.2,21.61,22.28,22.83,22.04,24.6,20.75,18.27,21.19,21.47,22.58,22.49,22.15,21.85
22.26,24.29,20.57,18.29,20.96,20.91,22.63,22.69,22.67,22.29,22.2,24.57,20.69,18.53,21.1,20.96,22.9,22.58,22.41,21.82
22.17,24.99,20.9,19.18,20.91,21.94,23.27,22.88,23.02,22.32,22.09,25.15,20.89,18.89,21.2,21.56,23.32,22.88,22.83,22.14
22,24.69,20.03,19.03,20.94,20.68,23.25,22.74,22.95,21.77,22.49,25.08,20.83,18.68,21.2,21.19,22.79,22.88,22.64,21.46
21.36,23.07,19.37,17.48,20.17,19.1,21.78,21.39,22.52,20.61,21.25,23.64,19.35,18.07,19.96,20.83,21.53,21.72,21.77,19.88
19.81,22.31,17.27,16.43,19.41,18,19.92,19.58,20.81,19.62,19.38,22.26,18.26,16.77,18.02,18.25,20.81,20.72,20.46,19.14
19.25,21.44,17.57,15.84,17.43,17.58,19.08,18.85,20.3,18.85,19.19,22.07,16.97,15.26,17.27,17.24,18.29,18.26,20.09,18.78
19.2,20.84,16.47,16.16,17.94,17.63,17.89,19.38,20.59,18.66,19.45,21.51,17.28,15.99,17.17,16.75,18.34,17.61,20.1,18.57
20.18,21.39,17.9,16.47,18.31,17.67,18.66,19.01,21.16,19,20.15,21.87,17.73,16.32,17.8,16.44,18.49,17.35,21.1,19.42
19.95,22.65,19.1,16.78,19.62,18.26,19.45,19.36,22.26,19.88,20.37,22.78,18.96,16.73,19.51,17.73,18.82,19.38,21.47,20.83
20.99,23.41,19.89,16.71,20.67,19.57,20.6,21.23,22.97,21.46,21.09,23.98,20.01,17.24,20.75,18.96,20.43,20.29,22.01,21.4
22.21,23.97,19.58,17.97,21.14,20.62,21.71,21.36,23.61,23.34,22.5,24.64,20.74,17.56,21.77,21.35,21.63,22.3,22.08,22.53
22.5,24.33,20.19,18.12,21.07,20.51,21.68,21.84,22.73,22.89,22.44,24.72,20.3,17.88,21.71,21.55,21.88,22.72,21.91,22.69
22.48,24.57,20.31,18.48,20.82,20.72,22.45,22.95,22.68,22.52,22.91,24.82,20.73,18.88,21.33,21.19,22.31,22.81,22.04,22.16
22.98,25,20.74,19.21,21.1,21.06,23.25,23.39,23.01,22.63,22.58,24.96,21.09,19.21,21.42,21.18,23.12,22.78,22.83,22.27
22.57,24.43,20.21,19.08,20.79,20.91,22.86,23.2,22.63,21.9,22.63,24.64,21.01,18.89,20.88,20.4,23.55,22.56,22.94,21.55
21.57,23.96,19.33,18.19,20.06,19.92,21.49,21.97,20.8,20.66,21.42,23.27,19.71,18.41,20.14,19.47,22.17,21.38,21.98,20.73
21.09,22.96,17.96,17.58,18.85,17.65,20.17,20.75,20.46,19.54,20.58,22.48,19.35,16.56,18.66,18.32,19.87,20.18,20.91,19.65
20.66,21.78,17.08,16.35,17.87,16.65,19.23,18.51,19.48,18.48,20.1,21.57,17.01,16.32,17.95,17.48,18.68,19.96,19.98,18.7
20.59,22.05,16.51,16.41,17.46,16.61,17.27,18.29,19.78,18.29,20.36,20.69,17.37,15.9,17.32,16.65,17.67,17.78,20.01,18.57
20.91,22.38,17.97,16.25,18.2,16.78,18.82,19.19,19.92,18.94,20.9,21.01,17.87,15.98,18.37,17.39,18.51,18.71,20.6,18.68
22.08,22.9,20.21,16.7,19.48,18.49,18.85,19.42,21.04,19.73,21.92,21.86,18.6,16.38,19.45,17.87,19.35,19.3,21.63,20.63
22.9,23.76,20.22,17.48,20.73,20.57,20.08,20.82,21.6,21.25,22.59,23.46,19.71,17.65,20.8,20.13,20.29,20.15,22.66,21.53
22.89,24.93,20.95,17.78,21.35,20.89,21.24,21.72,22.27,22.86,22.36,24.63,20.39,17.8,21.44,21.17,21.24,21.43,22.69,22.91
22.98,25.29,20.02,18.18,21.05,20.17,22.16,22.34,21.99,23.4,22.21,24.87,20.22,18.76,21.06,20.65,21.69,22.1,22.52,23.26
22.01,25.67,20.23,18.55,21.09,20.69,22.73,22.96,22.22,22.29,22.27,24.85,20.5,20,21.26,20.73,22.61,23.05,22.9,23.24
23.09,25.77,20.33,19.77,20.91,20.95,23.1,23.34,22.52,22.66,22.06,24.89,20.67,19.58,21.39,20.83,23.18,23.18,23.48,22.56
23.13,26.16,19.98,18.81,20.91,20.57,23.22,22.57,22.35,21.9,22.1,24.69,19.62,18.98,21.25,21.01,22.94,23.16,23.3,22.53
21.64,25.17,19.29,18.27,19.92,18.56,21.49,22.17,21.82,20.94,21.47,23.47,19.3,17.13,20,19.48,21.71,22.02,22.07,21.21
19.65,23.57,18.6,17.06,18.48,17.85,19.77,20.81,20.85,19.89,19.88,22.78,17.97,16.29,19.35,17.87,20.61,20.54,20.46,20.18
19.29,22.76,16.6,16.38,17.6,16.19,19.35,19.07,19.98,19.33,18.82,22,16.9,16.83,18.32,17.07,19.29,19.89,20.18,19.56
19.38,22.26,17.52,15.74,17.52,16.44,18.51,18.05,19.66,19.32,19.38,21.46,17,16.13,18,16.25,18.46,18.16,20.13,18.85
19.8,22.59,17.97,16.75,18.15,16.56,18.82,18.33,20.02,19.81,20.25,21.87,16.86,16.49,18.89,16.91,17.27,18.54,21.1,19.19
20.75,23.18,19.01,17.17,19.96,17.95,19.54,19.14,21.17,20.79,20.79,22.61,17.82,17,20.16,18.25,18.39,18.66,22.23,20.45
20.72,24.66,19.45,17.37,20.66,19.87,20.91,20.92,22,21.62,21.19,23.51,19.41,17.43,21.87,19.01,20.36,20.7,22.42,21.2
21.31,25.73,19.89,18.66,21.38,21.09,21.69,21.79,22.21,22.52,21.68,24.41,19.92,17.96,21.56,20.75,21.4,21.91,22.29,22.1
22.43,25.25,20.44,18.09,21.09,20.62,22.59,21.95,22.67,22.35,22.54,24.86,20.07,18.64,21.2,20.84,22.02,22.27,22.02,21.94
22.8,25.02,20.15,18.56,21.21,21.1,22.97,22.82,22.82,22.52,23.51,24.62,20.01,18.19,21.1,20.29,22.71,22.83,22.06,21.54
22.65,25.25,20.62,18.92,21.46,20.09,23.22,23,23.23,22.31,23.1,25.04,20.17,18.69,21.41,20.92,23.25,22.93,22.6,21.51
22.37,24.4,20.33,19.4,21.13,20.85,23.02,22.69,23.45,21.75,22.85,24.98,20.25,19.08,19.55,20.59,22.97,22.76,22.48,21.17
21.63,23.31,19.29,18.34,20.3,19.71,21.86,22.14,22.09,20.51,21.79,23.83,18.48,18.48,19.85,19.28,22.44,21.87,21.69,19.99
20.88,22.76,18.07,16.56,19.23,18.19,20.89,20.92,20.89,19.4,21.27,22.49,18.03,18.24,18.46,17.74,20.19,19.63,20.88,18.94
20.25,21.28,17,16.51,17.85,17.5,19.16,19.43,20.83,19.42,20.73,21.92,18.1,16.47,17.79,17.28,18.82,19.38,20.13,18.52
20.68,20.75,16.61,16.41,18.25,16.88,17.73,18.41,20.8,19.41,20.8,21.4,17.64,16.77,17.34,16.49,18.62,18.78,20.13,18.67
21.36,21.05,17.71,15.3,18.9,17.43,18.1,19.03,21.16,19.8,21.23,21.85,17.72,16.2,17.44,16.88,18.55,19.11,21.21,19.59
21.94,22.41,18.66,16.48,20.39,18.33,20.57,19.07,22.2,20.73,22.49,22.95,19.42,17.17,19.5,18.38,19.16,19.08,21.46,20.96
22.76,22.97,19,17.66,21.18,19.69,20.79,20.92,23.56,21.33,23.07,23.6,20.15,17.78,21.17,19.84,20.87,20.83,22.2,21.55
22.27,24.47,19.51,18.35,21.2,20.59,21.16,21.78,22.63,21.95,22.44,24.28,21.11,17.57,22.22,21.55,21.42,21.76,21.86,22.17
21.64,24.94,19.56,19.1,20.72,20.43,21.49,22.66,22.89,22.93,21.84,24.28,20.83,18.24,20.92,22.22,22.1,22.05,22.01,22.24
22,24.85,20.4,19.27,20.97,21.11,22.41,22.9,22.89,22.66,22.5,24.73,21.24,19.16,21.14,21.54,22.91,22.72,22.48,22.61
22.46,24.37,20.26,19.77,20.95,21.61,23.33,23.05,23.48,22.64,22.56,24.93,21.28,19.32,21.13,22.28,23.48,23.05,22.65,22.66
22.13,25.02,20.14,19.52,20.52,21.36,23.25,23.3,23.44,22.16,21.71,25.02,21.12,18.88,20.18,21.49,23.34,22.8,22.53,22.07
21.35,23.99,19.13,18.6,19.91,19.73,22.36,22.2,22.61,20.5,21.17,24.45,19.8,17.59,18.59,20.3,22.28,20.97,21.79,20.84
19.25,22.51,18.1,17.01,18.88,17.61,20.75,20.62,22.02,19.15,20.18,23.13,18.91,17.13,18.25,18.64,20.69,19.98,21.39,19.76
18.86,21.92,17.32,15.76,17.29,16.97,19.26,19.25,20.97,18.79,19.65,22.13,17.43,15.19,16.86,17.42,19.27,19.35,20.36,18.59
18.85,21.39,17.12,15.94,17.06,16.58,17.86,17.93,20.4,18.29,20.33,21.51,17.46,15.23,16.93,16.82,18.63,18,20.41,18.85
19.05,21.75,17.94,16.93,18.37,17.02,18.83,17.63,21.58,18.27,21.12,22.72,18.11,15.76,17.71,16.97,17.91,18.59,21.21,19.26
19.7,22.66,19.3,17.6,20.22,18.73,19.15,18.9,22.42,19.64,21.34,23.15,18.93,16.62,18.99,18.68,18.67,18.97,22.16,20.54
20.63,23.48,20.62,17.61,21.53,19.63,20.61,20.59,23.69,20.83,21.55,24.35,19.86,17.51,20.62,20.38,20.89,20.97,23.22,21.12
21.29,24.64,20.43,17.87,20.94,21.42,21.83,21.79,23.03,22.48,22.32,25.36,20.35,17.51,20.54,20.16,21.54,21.8,22.06,23.46
21.98,24.85,20.95,18.1,20.74,20.24,22.32,22.27,22.72,22.14,22.41,25.65,20.33,18.03,20.81,20.26,22.42,22.3,22.52,24.05
23.02,25.03,20.38,17.89,21.58,20.67,22.66,22.57,23.11,22.14,23.03,25.19,20.85,18.55,21.13,20.81,22.71,22.75,22.6,23.04
22.78,24.79,21.1,18.96,21.41,21.12,22.42,23.12,22.95,22.19,23.04,25.24,20.79,19.12,21.33,20.61,23.3,23.07,23.11,23.16
22.45,24.13,20.33,19.18,21.04,21.27,22.87,22.85,23.29,21.88,22.82,25.36,20.39,18.85,20.53,19.96,23.17,22.93,23.05,22.61
21.84,23.35,19.49,18.13,19.54,19.48,21.71,22.48,22.12,20.51,21.8,24.18,19.29,17.91,20.01,18.48,22.13,21.36,21.43,21.76
20.97,21.98,17.9,16.76,18.51,18.24,19.72,19.89,20.68,19.71,21.12,23.13,18.29,16.76,18.52,17.68,20.79,20.02,21.14,20.54
20.57,21.29,16.88,15.74,18.33,17.42,17.95,19.08,19.67,19.01,20.36,22.68,16.03,15.95,17.63,16.62,19.63,19.71,20.53,19.82
20.53,20.83,17.04,16.09,18,16.99,17.48,19.19,19.49,18.59,20.48,21.79,16.97,15.66,17.72,16.43,18.81,18.88,20.13,19.08
21.39,21.48,18.19,16.23,18.69,17.14,18.59,18.96,20.82,19.57,21.31,22.09,17.68,16.41,18.37,16.36,18.23,18.23,20.74,19.7
21.77,22.32,18.92,17.16,20.28,18.99,18.4,19.72,21.6,20.67,21.53,22.74,18.91,16.16,19.65,17.85,19.01,19.74,22.37,20.54
22.73,23.26,20.63,17.42,21.31,19.71,21.09,20.76,23.18,21.49,22.29,23.83,19.5,17.42,21.41,20.11,20.46,21.28,22.98,21.73
22.16,24.94,20.69,18.15,21.46,20.66,21.86,21.7,22.15,22.74,22.53,24.91,20.24,18.26,22.39,21.29,20.76,21.82,22.73,22.34
22.13,25.31,20.59,18.98,21.43,20.43,22.27,22.24,22.08,22.78,22.26,25.3,20.33,19.25,22.1,20.8,21.54,22.74,22.57,22.48
22.81,25.44,20.58,19.06,21.29,20.1,22.74,22.97,22.38,22.3,22.01,24.95,20.26,19.62,22.52,20.57,22.5,22.67,22.79,22.04
