BCC-CSM2_370,CanESM5-CanOE_370,CNRM-CM6-1_370,CNRM-CM6-1-HR_370,CNRM-ESM2-1_370,GFDL-ESM4_370,INM-CM4-8_370,INM-CM5-0_370,IPSL-CM6A-LR_370,MRI-ESM2-0_370,BCC-CSM2_585,CanESM5-CanOE_585,CNRM-CM6-1_585,CNRM-CM6-1-HR_585,CNRM-ESM2-1_585,GFDL-ESM4_585,INM-CM4-8_585,INM-CM5-0_585,IPSL-CM6A-LR_585,MRI-ESM2-0_585
5.9892,9.1164,9.4775,2.8235,4.3348,7.4565,8.6677,8.9855,12.989,3.9807,7.6178,9.9859,7.1151,3.262,8.9625,12.728,7.2646,8.0958,14.64,5.3053
5.8675,13.663,12.287,6.1976,12.893,9.5236,10.201,5.9602,15.338,4.237,6.7339,9.6222,11.953,8.4301,11.769,7.3295,10.262,8.7779,15.09,5.4745
7.8768,6.0233,15.372,10.262,12.305,18.173,12.939,12.803,15.776,1.4554,16.527,7.9009,17.744,15.841,17.061,11.281,11.412,9.2149,11.865,2.3458
9.0104,4.5822,13.642,4.2829,8.8058,4.3963,5.7363,7.1766,18.499,0.2225,11.28,2.7585,2.4861,8.2079,9.2307,8.8921,12.161,7.4241,15.507,0.62803
4.3197,1.0837,4.5551,4.4463,4.3013,3.856,6.1625,5.7004,2.7603,0.14373,2.6305,1.1269,4.7953,4.1097,9.2652,2.9949,8.3245,7.0198,10.966,0.24408
1.1233,0.62995,1.9208,1.8941,2.0465,1.7159,2.7405,6.1454,2.4568,0.22901,0.83287,0.74196,1.6778,3.1182,1.9145,1.4694,2.1683,3.203,0.7769,0.2831
1.002,0.76047,1.0363,1.159,1.7962,1.6982,2.3116,3.1466,0.18193,0.20239,0.31556,0.5882,1.7154,1.3871,1.4919,1.169,2.8109,2.736,0.19811,0.60085
0.24531,0.60129,1.2542,2.2484,1.3048,1.2379,2.5384,2.7109,0.47547,0.14294,0.17104,0.61993,0.77564,0.69415,0.9242,0.93571,2.5651,2.3319,0.43399,0.49188
0.21403,0.50755,0.7157,0.21455,0.70368,0.94544,1.7897,2.8752,0.33658,0.033158,0.4255,0.38692,0.5702,0.20035,0.73503,0.55547,1.4414,2.6407,0.062515,0.10598
0.14403,0.29302,0.82777,0.18648,0.58406,0.74618,0.75516,2.7291,0.73486,0.082035,0.26333,0.33179,0.56912,0.47683,0.26847,0.33727,1.5297,1.4448,0.21124,0.056499
0.88218,0.20783,0.28311,0.15398,1.2593,2.3406,2.0607,4.5002,1.8271,0.19978,0.50625,0.2043,0.29528,0.46547,0.90642,0.52838,2.7706,2.3383,1.0424,0.058335
4.0053,0.3189,1.0613,2.7796,4.5699,1.2377,7.1299,9.0657,8.5755,3.2555,2.3225,1.1246,2.0649,4.3201,3.4077,0.36766,4.6049,6.6118,8.0755,0.30833
9.7255,8.9256,4.9291,1.9556,5.3927,5.6564,5.3602,10.87,14.159,5.784,5.4123,15.399,8.2728,2.6742,11.449,5.5712,15.805,7.45,12.548,9.5109
7.0254,15.54,3.3919,2.6285,7.6267,17.15,8.8293,12.408,16.68,14.095,11.02,14.32,12.688,8.4164,11.713,11.885,10.025,8.5941,15.657,3.3776
10.513,6.9004,9.6801,9.0423,15.2,7.0471,8.441,11.386,22.282,5.7364,6.4995,7.9742,10.041,12.04,12.037,9.6122,9.2624,8.536,17.857,8.1979
10.679,2.0544,6.473,10.673,13.459,7.5415,5.6225,8.6918,14.661,2.3114,8.6816,5.9236,8.2884,10.274,6.5001,6.3607,7.3727,8.9456,12.643,5.0955
16.4,0.56201,5.7802,5.053,4.7653,2.1281,6.9114,5.1549,12.658,0.70178,3.7261,3.0437,7.9135,9.1742,9.1974,1.2538,4.7487,5.2794,8.9956,0.83453
1.7691,0.61059,1.9227,1.387,4.2744,1.4264,3.7279,4.6835,1.4512,0.53198,1.2726,1.1113,2.109,1.1498,2.4315,1.0531,3.8716,5.6806,3.6589,0.35661
0.28491,0.60246,1.1451,1.583,2.5238,1.7446,3.1676,3.8154,0.71842,0.45441,0.22442,1.025,1.7941,0.80369,1.8464,1.3442,3.4039,3.455,1.8505,0.79951
0.28374,0.58475,0.66836,0.98988,1.4577,1.2319,1.4647,2.628,0.22585,0.42407,0.69777,0.95869,1.5666,0.56264,1.2811,0.94266,3.1759,3.6539,1.2911,0.77299
0.11785,0.47761,1.2639,0.60147,0.79966,0.83083,1.923,1.6546,0.21119,0.14043,0.32208,0.47401,0.97645,0.24184,0.63951,1.0355,1.7384,3.0166,0.95198,0.41679
0.2234,0.30705,0.36779,0.31725,0.72164,0.55198,1.0351,0.26283,0.20071,0.073271,0.26756,0.38836,0.57763,0.34051,0.70579,0.52841,0.92391,1.2312,0.79153,0.1307
1.1169,0.28262,0.5647,0.22997,0.77148,1.9828,2.8721,3.3387,2.681,0.035545,1.6894,0.27076,0.29183,2.0839,0.26507,0.58664,1.6812,1.388,2.4173,0.048148
3.3191,0.16519,2.062,1.024,7.8099,2.1181,6.1114,5.6194,9.5038,1.6522,3.3438,0.51573,1.9494,2.6223,5.8444,0.31907,5.9979,5.8117,6.6017,0.25347
17.517,7.8035,3.6752,1.9561,10.173,9.7884,8.3983,12.538,13.232,3.8823,5.5236,8.8349,9.003,4.0631,9.5107,5.8598,8.2121,10.701,13.133,0.78712
7.15,5.9105,10.695,8.3664,12.177,17.086,9.5229,11.749,12.106,11.18,6.2709,11.478,7.8449,8.1198,7.3668,7.2028,7.994,8.2859,12.663,4.4314
5.6832,11.964,15.324,9.3187,9.2562,8.1501,11.231,8.9288,14.412,12.204,8.8066,10.281,16.958,4.457,14.695,15.555,8.1584,6.9363,15.043,6.2035
12.044,3.5681,11.271,5.0675,10.285,5.118,7.305,9.5575,21.392,2.5745,4.972,2.1413,11.056,6.849,9.7332,6.2157,8.7002,11.13,16.752,1.7331
3.8214,0.70086,6.1521,3.0032,5.6341,1.497,4.5417,7.7957,9.9597,0.82552,1.9273,0.87539,9.4589,8.1341,4.17,2.0494,11,5.5844,12.028,0.23971
0.97384,0.61881,1.7007,2.6918,1.6313,1.6331,2.8182,3.6986,2.3412,0.5738,0.63495,0.60042,2.0038,4.0392,3.0703,1.1026,3.577,4.2655,3.7653,0.32037
0.20141,0.7851,1.4934,0.9982,1.4153,1.1004,3.4834,2.9274,0.24759,0.7646,0.74391,0.63683,1.8733,4.0557,1.5101,0.95139,2.1074,3.4974,2.4136,0.73484
0.19334,0.56933,1.6171,0.58735,1.3849,1.2219,1.8897,3.2738,0.099711,0.41824,0.11416,0.79162,1.1517,0.76864,0.62495,1.3924,2.5098,2.6186,1.2325,0.56101
0.10562,0.52817,0.52402,0.21823,0.42224,0.55206,3.7044,3.2012,0.16374,0.33885,0.44911,0.33599,0.42911,0.43419,0.66404,0.92961,1.2509,2.0488,1.1136,0.16984
0.080748,0.18829,1.1228,1.1864,0.44379,0.41902,0.57342,0.76885,0.35512,0.10008,0.18803,0.3481,0.74568,0.93772,0.36268,0.24754,1.6297,2.0551,0.28349,0.67075
0.53875,0.16804,1.1703,0.26693,0.36977,0.29512,3.1354,1.2173,1.2346,0.11196,1.283,0.4034,1.2234,0.92394,0.88663,0.26082,2.2555,4.6866,1.0592,0.039596
3.844,1.0479,5.7281,1.5166,0.86023,3.5664,4.9619,5.9595,9.2091,0.8133,4.1909,0.14379,0.60052,0.96355,2.9257,1.1772,8.0879,5.2214,5.843,0.48029
