Date,Year,Month,Max,Min,Precip
1960.04,1960,4,34,21,87.19999695
1960.05,1960,5,32,20,99.40000153
1960.06,1960,6,28,16,128.3999939
1960.07,1960,7,25,13,69.09999847
1960.08,1960,8,21,8,29.20000076
1960.09,1960,9,20,8,12.69999981
1960.1,1960,10,19,4,5.900000095
1960.11,1960,11,23,7,7.699999809
1960.12,1960,12,26,10,1.700000048
1961.01,1961,1,28,14,120.5999985
1961.02,1961,2,31,17,61.20000076
1961.03,1961,3,34,20,111
1961.04,1961,4,34,20,74.30000305
1961.05,1961,5,30,20,111.4000015
1961.06,1961,6,28,16,199.3000031
1961.07,1961,7,25,14,187.8000031
1961.08,1961,8,23,11,27.79999924
1961.09,1961,9,18,5,7.099999905
1961.1,1961,10,20,5,6
1961.11,1961,11,26,9,2.099999905
1961.12,1961,12,26,10,2.200000048
1962.01,1962,1,28,15,43
1962.02,1962,2,31,18,52.29999924
1962.03,1962,3,34,20,80.40000153
1962.04,1962,4,33,19,79.69999695
1962.05,1962,5,32,20,94.90000153
1962.06,1962,6,31,18,34.20000076
1962.07,1962,7,24,13,64.69999695
1962.08,1962,8,21,9,24.20000076
1962.09,1962,9,19,4,2.599999905
1962.1,1962,10,16,2,11
1962.11,1962,11,24,6,0.800000012
1962.12,1962,12,28,11,1
1963.01,1963,1,28,13,40.70000076
1963.02,1963,2,33,19,47.90000153
1963.03,1963,3,33,19,123.3000031
1963.04,1963,4,33,20,162.3999939
1963.05,1963,5,30,20,114.9000015
1963.06,1963,6,27,17,138.1000061
1963.07,1963,7,28,16,27.29999924
1963.08,1963,8,22,11,34
1963.09,1963,9,19,8,41.79999924
1963.1,1963,10,20,8,41
1963.11,1963,11,24,7,1.700000048
1963.12,1963,12,23,10,16.39999962
1964.01,1964,1,26,13,19.60000038
1964.02,1964,2,28,15,79.90000153
1964.03,1964,3,32,19,64.90000153
1964.04,1964,4,34,20,50.59999847
1964.05,1964,5,32,20,94.90000153
1964.06,1964,6,25,16,168.6999969
1964.07,1964,7,24,14,63.09999847
1964.08,1964,8,23,13,13.10000038
1964.09,1964,9,17,5,22.20000076
1964.1,1964,10,19,3,2.299999952
1964.11,1964,11,24,5,0.800000012
1964.12,1964,12,27,10,5.099999905
1965.01,1965,1,26,13,79.40000153
1965.02,1965,2,31,17,25.5
1965.03,1965,3,32,18,39.20000076
1965.04,1965,4,33,19,107.6999969
1965.05,1965,5,33,20,75.69999695
1965.06,1965,6,29,15,72.30000305
1965.07,1965,7,26,12,25.29999924
1965.08,1965,8,21,8,32.29999924
1965.09,1965,9,22,10,5.900000095
1965.1,1965,10,20,5,6.400000095
1965.11,1965,11,23,7,7.5
1965.12,1965,12,25,8,5.199999809
1966.01,1966,1,30,15,48.09999847
1966.02,1966,2,31,17,106.8000031
1966.03,1966,3,30,18,85.30000305
1966.04,1966,4,32,20,196.3999939
1966.05,1966,5,29,18,82.5
1966.06,1966,6,30,16,82.5
1966.07,1966,7,25,14,93.80000305
1966.08,1966,8,23,9,56.40000153
1966.09,1966,9,21,8,12.10000038
1966.1,1966,10,21,4,1.799999952
1966.11,1966,11,23,3,0.800000012
1966.12,1966,12,26,9,14.80000019
1967.01,1976,1,28,14,23.29999924
1967.02,1976,2,30,18,118.1999969
1967.03,1976,3,30,18,73
1967.04,1976,4,34,19,61.79999924
1967.05,1976,5,32,19,119.5
1967.06,1976,6,28,16,75.19999695
1967.07,1976,7,29,16,24.20000076
1967.08,1976,8,26,14,25.20000076
1967.09,1976,9,15,2,16.10000038
1967.1,1976,10,19,5,17.60000038
1967.11,1976,11,23,7,2.400000095
1967.12,1976,12,26,9,17.10000038
1968.01,1968,1,28,16,43.5
1968.02,1968,2,30,16,116.5
1968.03,1968,3,36,21,12.80000019
1968.04,1968,4,33,19,202.8000031
1968.05,1968,5,32,20,159.6000061
1968.06,1968,6,29,16,107.5999985
1968.07,1968,7,25,11,52.5
1968.08,1968,8,22,6,6.900000095
1968.09,1968,9,18,8,22.20000076
1968.1,1968,10,22,8,6
1968.11,1968,11,23,9,12.39999962
1968.12,1968,12,27,10,16.70000076
1969.01,1969,1,26,14,134.1000061
1969.02,1969,2,32,18,108.4000015
1969.03,1969,3,33,20,49.70000076
1969.04,1969,4,35,20,46.70000076
1969.05,1969,5,31,20,165.3999939
1969.06,1969,6,30,17,99.80000305
1969.07,1969,7,29,14,49.70000076
1969.08,1969,8,24,11,71.19999695
1969.09,1969,9,19,6,19.20000076
1969.1,1969,10,22,5,6.800000191
1969.11,1969,11,22,5,0.800000012
1969.12,1969,12,29,11,8.800000191
1970.01,1970,1,28,13,31.39999962
1970.02,1970,2,31,18,67.5
1970.03,1970,3,33,19,86.5
1970.04,1970,4,33,20,96.19999695
1970.05,1970,5,34,20,68.69999695
1970.06,1970,6,29,17,100.4000015
1970.07,1970,7,29,16,81.19999695
1970.08,1970,8,21,9,27.39999962
1970.09,1970,9,18,6,16.39999962
1970.1,1970,10,21,3,1.399999976
1970.11,1970,11,23,6,0.800000012
1970.12,1970,12,29,12,12
1971.01,1971,1,27,13,17.10000038
1971.02,1971,2,31,16,43.20000076
1971.03,1971,3,34,20,65.30000305
1971.04,1971,4,32,19,97
1971.05,1971,5,30,18,167.3999939
1971.06,1971,6,28,16,74.40000153
1971.07,1971,7,24,11,102.0999985
1971.08,1971,8,22,7,29.39999962
1971.09,1971,9,17,3,1.600000024
1971.1,1971,10,23,5,11.80000019
1971.11,1971,11,24,6,0.800000012
1971.12,1971,12,28,12,16.20000076
1972.01,1972,1,28,13,52.20000076
1972.02,1972,2,32,18,65.80000305
1972.03,1972,3,37,20,7.5
1972.04,1972,4,36,20,66.19999695
1972.05,1972,5,34,20,49.59999847
1972.06,1972,6,28,16,98.09999847
1972.07,1972,7,25,12,26.89999962
1972.08,1972,8,23,11,11.30000019
1972.09,1972,9,19,8,13.10000038
1972.1,1972,10,19,3,10.30000019
1972.11,1972,11,21,6,3.700000048
1972.12,1972,12,27,11,9
1973.01,1973,1,28,13,22.20000076
1973.02,1973,2,30,17,33.40000153
1973.03,1973,3,32,19,78.30000305
1973.04,1973,4,34,21,102.4000015
1973.05,1973,5,31,20,75.19999695
1973.06,1973,6,28,18,177.5
1973.07,1973,7,24,15,45.5
1973.08,1973,8,21,9,43.09999847
1973.09,1973,9,19,7,6.099999905
1973.1,1973,10,17,4,6
1973.11,1973,11,23,6,1.100000024
1973.12,1973,12,25,9,3.099999905
1974.01,1974,1,29,14,32.40000153
1974.02,1974,2,30,17,45.40000153
1974.03,1974,3,31,17,59.70000076
1974.04,1974,4,33,20,141.8000031
1974.05,1974,5,28,18,144.6000061
1974.06,1974,6,28,16,121.0999985
1974.07,1974,7,26,14,23.60000038
1974.08,1974,8,22,10,29.5
1974.09,1974,9,19,6,4.199999809
1974.1,1974,10,20,7,29.60000038
1974.11,1974,11,23,5,10.80000019
1974.12,1974,12,23,9,8.399999619
