BCC-CSM2_370,CanESM5-CanOE_370,CNRM-CM6-1_370,CNRM-CM6-1-HR_370,CNRM-ESM2-1_370,GFDL-ESM4_370,INM-CM4-8_370,INM-CM5-0_370,IPSL-CM6A-LR_370,MRI-ESM2-0_370,BCC-CSM2_585,CanESM5-CanOE_585,CNRM-CM6-1_585,CNRM-CM6-1-HR_585,CNRM-ESM2-1_585,GFDL-ESM4_585,INM-CM4-8_585,INM-CM5-0_585,IPSL-CM6A-LR_585,MRI-ESM2-0_585
17.32,14.98,16.24,18.76,16.28,20.4,20.55,20.63,17.8,20.77,20.02,13.22,17.09,20.72,16.06,19.1,20.6,20.53,19.49,22.68
16.85,14.13,17.37,18.66,16.09,19.59,20.41,19.87,19.25,21.09,15.94,13.59,17.3,18.33,18.33,18.1,21.02,19.45,19.86,19.29
15.92,13.64,14.42,14.33,15.58,15.04,17.26,18.88,17.13,18.45,15.13,10.57,13.51,15.95,15.62,15.47,14.77,17.51,17.01,17.29
10.91,9.18,10.32,12.14,11.71,12.13,12.28,14.36,12.85,13.18,13.01,7.56,11.93,11.48,13.76,12.42,14.26,12.93,12.38,13.91
10.25,4.33,5.76,9.99,9.51,8.7,7.49,10.53,10.02,10.95,8.57,5.74,7.73,10.38,8.3,8.24,9.78,8.2,6.23,13.63
8.08,1.35,5.11,6.92,5.94,4.38,5.07,5.17,5.62,9.41,7.59,3.32,3.07,7.12,4.03,3.92,3.99,7.35,3.26,6.47
4.18,-0.08,4.04,5.15,1.98,5.03,2.88,5.37,3.25,11.21,9.37,3.25,5.59,6.24,3.39,2.85,3.77,2.52,3.83,4.52
7.75,1.31,5.24,5.22,7.96,6.28,5.52,5.47,2.69,13.46,9.66,0.58,3,8.66,5.51,4.37,2.93,2.87,2.1,11.31
10.81,3.26,7.91,7.35,9.27,7.83,8.3,6.77,3.82,10.69,10.6,5.17,6.35,9.73,6.46,8.17,7.97,7.91,8.85,12.31
14.05,8.16,9.84,12.88,9.13,11.24,12.17,12.04,10.17,15.36,11.43,6.49,9,12.97,11.98,12.13,9.35,11.8,11.24,14.1
15.09,11.32,14.06,15.52,12.9,14.79,16.21,17.48,15.31,17.74,16.38,12.16,11.35,14.52,12.71,14.74,16.94,15.38,14.91,16.63
17.95,13.01,15.68,17.91,15.36,17.52,18.51,19.71,18.59,19.78,17.67,11.44,15.11,15.96,16.13,18.35,20.04,18.93,16.65,19.45
17.91,15.5,15.84,19.4,17.54,18.4,21.58,20.88,17.91,21.65,16.82,13.73,16.95,18.33,17.04,16.91,21.02,19.77,18.05,21.63
18.38,13.83,15.96,19.49,18.38,18.03,20.84,19.12,16.57,18.74,17.05,15.01,15.39,16.91,16.57,17.93,20.58,19.84,17.68,19.32
15.29,12.49,14.35,16.16,16.71,16.12,19.23,17.2,15.7,19.6,16.64,13.1,15.01,14.78,13.91,15.39,18.73,16.17,17.2,17.98
13.54,8.59,12.73,12.76,11.86,11.97,13.66,12.26,13.24,15.54,14.92,8.82,13.26,12.75,12.48,11.55,14.99,12.28,13.29,13.48
9.38,3.71,9.42,9,6.43,4.55,8.49,10.29,8.49,12.93,8.26,4.91,10.62,9.99,7.9,6.48,10.62,6.17,8.61,12.02
5.25,1.4,6.36,9.71,5.94,1.83,4.03,4.6,4.38,13.4,10.61,4.58,6.36,7.73,4.69,2.94,5.25,4.56,6.21,9.19
6.97,1.64,2.9,5.08,3.46,4.21,3.57,5.38,4.45,9.87,3.64,0.66,2.65,7.06,3.96,0.57,4.58,6.24,5.89,8.71
6.28,1.78,3.93,4.28,2.78,4.59,5.37,4.8,6.66,9.2,7.69,1.92,3.57,6.71,6.64,3.64,2.8,4.82,3.91,9.06
8.44,4.65,7.27,13.24,8.15,7.64,7.58,8.48,7.51,12.07,8.77,4.64,8.11,10.21,8.73,7.24,7.75,7.32,7.39,13.03
12.59,7.53,10.72,11.75,10.61,13.9,12.76,13.44,9.35,13.81,13.12,8.45,8.96,11.23,15.37,12,12.67,13.26,10.87,14.13
15.02,11.02,13.16,15.85,12.44,14.59,18.97,19.34,14.3,18.15,15.3,10.36,12.68,17,11.58,17.65,17.38,15.09,15.06,18.64
18.71,13.32,14.92,16.76,14.13,16.85,21.27,18.18,18.27,20.58,18.32,14.07,15.87,19.38,15.24,17.54,20.81,19.59,19.94,21.6
17.83,14.66,15.91,16.31,15.39,16.88,21.93,20.38,20.63,22.6,18.09,15.95,16.23,19.73,18.07,18.26,20.85,21.91,21.9,22.42
18.66,12.31,16.34,17.27,14.93,15.94,20.72,20.19,17.12,19.4,17.9,11.82,15.88,17.64,17.96,16.29,18.68,20.4,18.6,20.25
14.41,12.28,14.18,15.72,16.32,15.07,17.93,15.08,16.2,20.17,15.28,11.47,15.55,15.3,15.43,17.14,16.76,17.56,18.05,18.51
12.51,8.83,12.41,12.69,12.22,13.19,12.54,11.87,12.07,14.47,13.88,8.33,12.59,13.27,12.22,11.44,13.46,14.37,12.97,14.21
9.37,3,7.09,9.45,7,7.37,8.09,6.75,8.11,11.7,9.14,3.98,10.75,9.62,8.94,7.44,9.84,4.87,8.22,13.37
6.41,1.35,6.16,5.36,5.94,3.08,3.59,6.13,6.07,8.68,7.51,1.87,6.04,6.86,4.88,5.03,4.1,2.82,4.88,8.49
3.69,2.93,4.64,6.68,4.58,2.43,5.08,4.07,3.52,8.1,7.75,2.51,3.76,4.2,4.13,4.78,5.29,2.8,3.84,7.07
8.19,2.74,4.86,6.7,5.33,4.34,4.13,4.62,2.5,10.31,11.14,4.91,4.66,6.55,4.58,5.21,3.98,2.44,4,11.64
9.23,6.66,8.81,8.97,6.94,8.89,7.07,8.94,8.83,12.65,11.79,4.12,5.72,10.16,7.72,12.12,8.78,5.76,6.12,13.03
10.89,8.45,10.76,11.12,10.88,12.61,11.21,12.27,9.47,15.87,14.03,7.71,11.99,13.92,10.7,15.39,13.02,13.81,12.14,15.01
15.68,9.94,11.68,14.6,14.48,15.68,15.22,15.25,14.51,18.56,15.6,11.21,12.72,16.55,14.94,17.57,17.06,18.64,14.23,18.3
17.06,13.88,14.74,16.61,13.49,17.14,19.69,19.63,16.02,19.47,17,12.42,16.02,19.05,15.52,19.21,20.25,21.23,18.22,20.83
17.82,13.15,16.73,16.92,16.29,17.91,22.52,20.98,19.87,21.41,19.32,15.37,15.79,17.69,16.84,17.42,19.47,20.38,19.01,21.69
16.16,13.35,16.61,17.86,15.76,16.51,20.88,18.89,20.7,21.21,17.2,13.62,16.16,17.38,17.36,16.16,21.23,19.35,18.96,19.63
15.73,11.72,14.07,17.12,13.98,16.76,16.84,15.83,18.45,18.68,15.46,12.82,14.73,15.66,16.32,15.53,17.68,17.73,19.21,17.81
13.47,6.38,12.45,12.24,13.37,13.23,11.95,12.59,14.32,16.55,11.61,9.28,10.44,11.44,14.32,14.52,14.51,12.27,16.77,14.38
9,4.65,11.24,8.63,10.43,6.88,9.98,8.03,7.29,12.23,9.55,6.95,9.16,9.27,8.48,9.45,8.88,9.72,8,11.48
7.59,4.76,5.66,6.41,5.8,3.35,3.88,6.02,6.07,7.88,7.46,2.37,5.73,6.29,7.23,5.39,7.59,4.84,3.2,9.56
6.42,1.85,3.78,6.93,5.39,3.81,3.11,3.81,2.09,8.55,8.84,1.35,6.84,4.12,5.19,3.9,4.03,4.73,4.13,10.48
9.55,4.15,2.98,4.55,6.86,3.83,5.06,4.5,4.26,8.84,7.6,2.32,5.77,6.95,6.2,3.12,3.47,2.56,5.63,8.19
10.38,4.11,6.4,7.67,5.97,6.46,8.61,8.96,6.63,14.22,8.61,4.41,8.93,10.66,6.46,8.34,8.89,9.62,10,10.16
11.97,7.46,9.08,12.66,10.11,10.03,12.38,12.97,13.1,15,13.88,7.9,9.07,12.22,11.27,14.29,12.06,13.17,10.26,16.05
16.13,11.2,12.86,16.23,12.48,13.84,15.55,15.81,15.38,19.06,15.59,11.17,15.22,13.71,16.13,14.63,16.77,17.24,13.52,20.19
17.04,14.16,15.63,17.13,15.53,14.43,20.51,20.4,18.74,20.99,19.28,13.84,16.19,17.07,14.42,16.71,19.44,18.64,18.97,19.37
18.52,14.11,16.76,18.33,17.07,17.28,21.56,20.82,18.29,22.6,18.88,14.78,17.32,18.97,16.72,19.34,20.31,19.62,18.04,22.58
17.96,15.32,16.48,17.17,15.31,17.9,19.87,18.29,18.76,20.88,16.58,14.27,17.09,18.08,14.69,15.75,20.51,20.13,17.27,21.83
15.19,13.35,14.12,15.19,13.67,17.93,17.72,17.64,17.75,17.76,13.7,11.65,14.2,14.86,15.46,16.39,18.26,17.75,17.26,15.85
15.48,9.66,10.58,11.53,11.56,12.46,14.87,11.39,12.76,15.22,15.96,7.98,11.73,13.13,11.38,11.61,14.94,10.11,10.46,13.64
10.15,3.9,8.86,8.63,9.14,8.88,6.63,9.04,6.25,12.5,10.07,3.4,9.06,8.09,8.2,7.3,8.96,6.78,9.48,10.19
7.37,2.52,7.06,6.53,4.03,1.88,4.01,4.7,3.23,10.72,8.38,1.98,3.88,6.18,3.81,4.5,5.09,5.53,6.88,8.02
9.1,4.21,4.57,7.27,4.45,2.53,3.34,3.33,2.37,10.53,7.26,3.9,4.13,5.21,5.65,3.13,2.95,1.65,4.62,12.82
8.25,5.65,5.85,6.5,4.72,3.81,5.4,6.24,4.42,10.07,7.15,2.78,3.78,6.82,8.57,5.85,5.4,7.85,4.54,8.39
10,5.23,9.3,10.39,9.43,7.95,8.01,7.01,5.6,10.79,9.6,4.78,6.55,10.04,7.22,10.31,7.19,10.85,10.31,12.31
12.86,7.78,10.15,12.45,14.27,12.52,14.2,11.64,11.05,13,12.93,8.52,9.74,12.15,10.01,13.66,13.12,12.5,13.49,13.38
16.02,12.23,13.38,17.37,14.67,15.24,18.9,17.57,15.11,17.23,16.25,11.41,10.92,17.75,13.85,15.47,18.4,16.77,12.81,18.62
18.84,14.65,13.59,15.89,15.14,17.12,20.28,20.9,16.91,20.67,16.11,12.89,14.28,15.21,15.24,18.92,20.94,18.98,18.93,18.6
21.14,15.23,16.54,17.95,18.17,17.27,21.65,21.18,18.01,21.13,17.56,14.19,16.11,19.18,16.55,18.78,20.62,22.28,19.2,19.49
