BCC-CSM2_370,CanESM5-CanOE_370,CNRM-CM6-1_370,CNRM-CM6-1-HR_370,CNRM-ESM2-1_370,GFDL-ESM4_370,INM-CM4-8_370,INM-CM5-0_370,IPSL-CM6A-LR_370,MRI-ESM2-0_370,BCC-CSM2_585,CanESM5-CanOE_585,CNRM-CM6-1_585,CNRM-CM6-1-HR_585,CNRM-ESM2-1_585,GFDL-ESM4_585,INM-CM4-8_585,INM-CM5-0_585,IPSL-CM6A-LR_585,MRI-ESM2-0_585
4.8111,8.7796,3.8028,2.2254,12.342,3.6359,5.835,4.4635,3.4311,2.7262,2.7485,16.127,4.3884,1.8996,6.7971,7.9338,3.1308,4.4889,13.019,2.7931
2.5623,8.4242,3.5457,8.6603,5.4822,2.4982,3.3553,1.8967,2.4032,2.2243,8.4778,4.8673,4.5689,3.2544,5.1527,5.8801,5.0326,2.4727,13.335,2.506
3.996,5.9959,5.4389,4.8649,9.7214,4.1487,2.1349,1.7727,3.972,4.9954,3.8125,4.0085,4.6477,0.31428,3.9218,7.6683,1.1509,4.3194,5.654,5.7324
2.3653,2.5811,3.3378,4.3125,6.0805,1.4802,2.582,0.54349,4.8811,1.137,3.1724,0.95888,4.2763,0.48516,12.135,2.9175,0.43915,1.5789,3.1092,1.499
1.2856,0.076494,0.38341,5.9127,1.7119,1.2656,0.10853,0.039082,0.019913,0.22612,0.60984,0.25515,2.5178,0.87896,1.2197,0.9787,0.13827,1.9427,0.027659,2.3943
0.86637,0.57588,0.27871,0.21268,0.4837,1.4475,0.20534,0.064089,0.43679,0.44892,0.34955,0.071404,0.88618,0.060885,0.15252,1.6117,0.22883,0.054811,0.020087,1.559
1.3554,0.1521,0.35336,0.26306,0.64523,0.96882,0.11033,0.0019265,0.43266,0.35114,0.67795,0.015348,0.98265,0.06701,0.70523,0.12249,0.079256,0.31211,0.082019,1.2835
1.2051,0.0013729,0.61959,0.41997,0.30814,0.47421,0.26929,0.04019,0.0227,1.603,0.24668,0.10718,0.46875,0.00082489,0.52914,0.14768,0.019626,0.080417,0.21273,1.0275
3.7358,0.092446,0.8834,0.32141,1.9483,0.64742,0.064999,0.11626,0.015488,2.1664,0.33192,0.13382,0.026488,1.6316,2.5063,1.3869,0.76047,1.2039,1.2091,2.0993
3.324,1.072,4.3334,1.6008,4.4329,2.8623,1.8222,0.91731,0.21405,2.4172,0.82198,0.58254,6.3125,6.0736,10.176,1.2087,0.45785,0.4918,3.4846,2.3699
