"Year","Fitted_MeanShift"
"2015",-0.07194883053183
"2016",0.0808481469062772
"2017",0.235617619126385
"2018",0.392343522892939
"2019",0.551009794970387
"2020",0.711600372123175
"2021",0.874099191115749
"2022",1.03849018871256
"2023",1.20475730167804
"2024",1.37288446677666
"2025",1.54285562077284
"2026",1.71466280035475
"2027",1.88832787045787
"2028",2.06387951021763
"2029",2.24134639876948
"2030",2.42075721524887
"2031",2.60214063879123
"2032",2.78552534853201
"2033",2.97094002360664
"2034",3.15841334315058
"2035",3.34797398629927
"2036",3.53965063218814
"2037",3.73272940622384
"2038",3.92665794342711
"2039",4.12170718735453
"2040",4.31814808156269
"2041",4.51625156960817
"2042",4.71628859504755
"2043",4.91853010143742
"2044",5.12324703233436
"2045",5.33071033129494
"2046",5.54119094187577
"2047",5.75495980763341
"2048",5.97238181351548
"2049",6.19342696256628
"2050",6.41777387548744
"2051",6.64510117298061
"2052",6.8750874757474
"2053",7.10741140448946
"2054",7.34175157990841
"2055",7.57778662270589
"2056",7.81519515358353
"2057",8.05365579324297
"2058",8.29441440124714
"2059",8.53867209261322
"2060",8.78604037122419
"2061",9.03613074096302
"2062",9.28855470571271
"2063",9.54292376935622
"2064",9.79884943577653
"2065",10.0559432088566
"2066",10.3138165924795
"2067",10.5720810905281
"2068",10.8303482068854
"2069",11.0897098379232
"2070",11.3513241599188
"2071",11.614902096613
"2072",11.8801545717467
"2073",12.1467925090609
"2074",12.4145268322965
"2075",12.6830684651944
"2076",12.9521283314956
"2077",13.2214173549409
"2078",13.4906464592714
"2079",13.7595265682279
"2080",14.0286727810902
"2081",14.2988547197344
"2082",14.5700150917954
"2083",14.8420966049084
"2084",15.1150419667083
"2085",15.3887938848302
"2086",15.6632950669091
"2087",15.9384882205802
"2088",16.2143160534784
"2089",16.4907212732389
"2090",16.7676465874966
"2091",17.045086900574
"2092",17.3230944266127
"2093",17.6016978379768
"2094",17.8809258070301
"2095",18.1608070061368
"2096",18.4413701076607
"2097",18.7226437839659
"2098",19.0046567074163
"2099",19.287437550376
"2100",19.5710149852088
