Date,Year,Month,Max,Min,Precip
1960.04,1960,4,32,23,0.800000012
1960.05,1960,5,33,24,2
1960.06,1960,6,33,24,34.59999847
1960.07,1960,7,32,23,129.8000031
1960.08,1960,8,32,24,123.5
1960.09,1960,9,30,23,198.8999939
1960.1,1960,10,29,23,193.6000061
1960.11,1960,11,29,22,169.5
1960.12,1960,12,30,23,300.1000061
1961.01,1961,1,31,23,128.8000031
1961.02,1961,2,32,23,6.199999809
1961.03,1961,3,32,23,1.299999952
1961.04,1961,4,32,23,7.599999905
1961.05,1961,5,33,23,0.899999976
1961.06,1961,6,34,24,9.5
1961.07,1961,7,33,23,68.69999695
1961.08,1961,8,32,24,91.90000153
1961.09,1961,9,30,23,159.8000031
1961.1,1961,10,28,22,271.7000122
1961.11,1961,11,28,21,96.69999695
1961.12,1961,12,29,22,250.3000031
1962.01,1962,1,31,23,53.29999924
1962.02,1962,2,32,23,1.399999976
1962.03,1962,3,32,23,0.699999988
1962.04,1962,4,33,23,0.600000024
1962.05,1962,5,34,23,1
1962.06,1962,6,33,24,18.20000076
1962.07,1962,7,33,24,109.1999969
1962.08,1962,8,32,23,160.8999939
1962.09,1962,9,29,23,219
1962.1,1962,10,29,23,171.6000061
1962.11,1962,11,28,22,227.8999939
1962.12,1962,12,29,22,275
1963.01,1963,1,31,23,167
1963.02,1963,2,31,23,26.60000038
1963.03,1963,3,32,23,1.100000024
1963.04,1963,4,32,23,1.5
1963.05,1963,5,33,24,14.60000038
1963.06,1963,6,33,23,20.39999962
1963.07,1963,7,33,24,89.40000153
1963.08,1963,8,32,23,109.4000015
1963.09,1963,9,31,24,171.6999969
1963.1,1963,10,30,23,261.7999878
1963.11,1963,11,29,23,314.5
1963.12,1963,12,31,23,242.3000031
1964.01,1964,1,31,23,166.6000061
1964.02,1964,2,32,23,1.600000024
1964.03,1964,3,33,23,0.899999976
1964.04,1964,4,32,23,0.899999976
1964.05,1964,5,34,24,1.600000024
1964.06,1964,6,34,24,12.60000038
1964.07,1964,7,33,24,72.09999847
1964.08,1964,8,31,23,153.1000061
1964.09,1964,9,30,23,179
1964.1,1964,10,28,22,174.1000061
1964.11,1964,11,28,21,145.6000061
1964.12,1964,12,29,22,325.8999939
1965.01,1965,1,30,22,55.70000076
1965.02,1965,2,31,23,11.39999962
1965.03,1965,3,32,23,1.100000024
1965.04,1965,4,32,23,9.399999619
1965.05,1965,5,33,23,12.60000038
1965.06,1965,6,33,24,20.39999962
1965.07,1965,7,32,23,47.59999847
1965.08,1965,8,32,23,136.8999939
1965.09,1965,9,30,23,167.6000061
1965.1,1965,10,28,23,178.8000031
1965.11,1965,11,28,22,216
1965.12,1965,12,30,22,205.1999969
1966.01,1966,1,31,23,76.59999847
1966.02,1966,2,32,23,1.200000048
1966.03,1966,3,32,23,0.5
1966.04,1966,4,32,23,3.099999905
1966.05,1966,5,34,24,1.100000024
1966.06,1966,6,33,24,9.199999809
1966.07,1966,7,33,24,95.30000305
1966.08,1966,8,32,24,137.8000031
1966.09,1966,9,30,23,230.1999969
1966.1,1966,10,30,23,141.6999969
1966.11,1966,11,29,23,208.6999969
1966.12,1966,12,30,23,246.1999969
1967.01,1976,1,31,23,84.5
1967.02,1976,2,32,23,3.299999952
1967.03,1976,3,32,23,0.899999976
1967.04,1976,4,32,22,0.600000024
1967.05,1976,5,33,24,2.299999952
1967.06,1976,6,33,24,29.29999924
1967.07,1976,7,33,24,101.9000015
1967.08,1976,8,32,23,98.5
1967.09,1976,9,30,23,167
1967.1,1976,10,28,22,146.8000031
1967.11,1976,11,28,22,163
1967.12,1976,12,29,22,273.3999939
1968.01,1968,1,31,23,106.3000031
1968.02,1968,2,32,23,3.5
1968.03,1968,3,32,23,2.400000095
1968.04,1968,4,32,22,1.5
1968.05,1968,5,33,24,4.800000191
1968.06,1968,6,33,24,49.29999924
1968.07,1968,7,33,24,143.6999969
1968.08,1968,8,32,23,136.6000061
1968.09,1968,9,30,23,197.3000031
1968.1,1968,10,29,23,245.1999969
1968.11,1968,11,29,24,334.1000061
1968.12,1968,12,30,23,238.8000031
1969.01,1969,1,32,23,72.90000153
1969.02,1969,2,32,23,2.799999952
1969.03,1969,3,33,24,0.899999976
1969.04,1969,4,33,23,1.100000024
1969.05,1969,5,34,24,1.200000048
1969.06,1969,6,33,24,15.80000019
1969.07,1969,7,34,25,85
1969.08,1969,8,33,24,149.3999939
1969.09,1969,9,30,24,178.3000031
1969.1,1969,10,29,23,192.3999939
1969.11,1969,11,29,23,205.6999969
1969.12,1969,12,30,23,220.6999969
1970.01,1970,1,31,23,158.1000061
1970.02,1970,2,32,23,19.39999962
1970.03,1970,3,33,24,0.5
1970.04,1970,4,32,24,6.900000095
1970.05,1970,5,34,25,0.899999976
1970.06,1970,6,33,24,41.79999924
1970.07,1970,7,34,24,55.59999847
1970.08,1970,8,32,23,116.6999969
1970.09,1970,9,31,23,126.5
1970.1,1970,10,29,22,145.6000061
1970.11,1970,11,29,22,176.5
1970.12,1970,12,30,23,308.7999878
1971.01,1971,1,31,23,66.40000153
1971.02,1971,2,32,23,1.399999976
1971.03,1971,3,32,23,0.5
1971.04,1971,4,32,22,0.699999988
1971.05,1971,5,32,23,7.199999809
1971.06,1971,6,32,23,24.89999962
1971.07,1971,7,33,23,33.70000076
1971.08,1971,8,32,23,142.1999969
1971.09,1971,9,30,22,167.8999939
1971.1,1971,10,29,22,179.6000061
1971.11,1971,11,27,21,209.5
1971.12,1971,12,29,22,238
1972.01,1972,1,31,22,55.40000153
1972.02,1972,2,32,23,1.5
1972.03,1972,3,32,22,1.5
1972.04,1972,4,32,23,1.200000048
1972.05,1972,5,33,23,6.800000191
1972.06,1972,6,32,23,27.70000076
1972.07,1972,7,32,23,69.19999695
1972.08,1972,8,31,23,179.5
1972.09,1972,9,29,23,130.6000061
1972.1,1972,10,29,22,148.8000031
1972.11,1972,11,28,22,159.6999969
1972.12,1972,12,30,22,208.8000031
1973.01,1973,1,31,23,74.19999695
1973.02,1973,2,32,23,1.700000048
1973.03,1973,3,32,24,2.5
1973.04,1973,4,33,23,0.600000024
1973.05,1973,5,34,25,1.200000048
1973.06,1973,6,34,24,18.20000076
1973.07,1973,7,34,24,70.09999847
1973.08,1973,8,33,24,92
1973.09,1973,9,30,23,166.8000031
1973.1,1973,10,29,22,154.3000031
1973.11,1973,11,29,22,262.3999939
1973.12,1973,12,29,22,252.1999969
1974.01,1974,1,31,23,97.19999695
1974.02,1974,2,32,23,1.100000024
1974.03,1974,3,32,23,1.299999952
1974.04,1974,4,32,22,1.899999976
1974.05,1974,5,33,23,2.200000048
1974.06,1974,6,33,23,22.39999962
1974.07,1974,7,33,23,56.90000153
1974.08,1974,8,31,23,104.5999985
1974.09,1974,9,30,23,169.3999939
1974.1,1974,10,28,22,252.3999939
1974.11,1974,11,29,22,110.5999985
1974.12,1974,12,29,22,300.8999939
1975.01,1975,1,30,22,79.69999695
1975.02,1975,2,32,23,2.5
1975.03,1975,3,32,22,0.600000024
1975.04,1975,4,33,21,0.600000024
1975.05,1975,5,32,23,13.10000038
1975.06,1975,6,33,24,24.39999962
1975.07,1975,7,32,23,115.8000031
1975.08,1975,8,31,23,125.0999985
1975.09,1975,9,30,23,156.1999969
1975.1,1975,10,28,22,252.3000031
1975.11,1975,11,27,21,116
1975.12,1975,12,29,21,284.1000061
1976.01,1976,1,31,22,87.30000305
1976.02,1976,2,31,23,2.200000048
1976.03,1976,3,32,22,1.100000024
1976.04,1976,4,32,22,0.899999976
1976.05,1976,5,32,23,11.30000019
1976.06,1976,6,32,23,9.399999619
1976.07,1976,7,32,23,66.09999847
1976.08,1976,8,31,23,165
1976.09,1976,9,29,22,187.8000031
1976.1,1976,10,28,22,116
1976.11,1976,11,28,21,117.0999985
1976.12,1976,12,29,22,129.3999939
1977.01,1977,1,29,22,202.8000031
1977.02,1977,2,31,22,24.70000076
1977.03,1977,3,32,23,0.5
1977.04,1977,4,32,24,3.200000048
1977.05,1977,5,33,24,1.299999952
1977.06,1977,6,33,24,12.60000038
1977.07,1977,7,33,25,24.29999924
1977.08,1977,8,32,24,137.1000061
1977.09,1977,9,29,23,155
1977.1,1977,10,29,22,144.1000061
1977.11,1977,11,28,22,140.8999939
1977.12,1977,12,30,22,269.2999878
1978.01,1978,1,31,23,89.59999847
1978.02,1978,2,32,23,1.100000024
1978.03,1978,3,32,23,1.200000048
1978.04,1978,4,33,24,1.399999976
1978.05,1978,5,33,24,2.200000048
1978.06,1978,6,32,23,58.59999847
1978.07,1978,7,32,23,182.1999969
1978.08,1978,8,31,23,178.6999969
1978.09,1978,9,29,23,130.6000061
1978.1,1978,10,28,21,176.6999969
1978.11,1978,11,28,22,175.6999969
1978.12,1978,12,29,22,217.1999969
1979.01,1979,1,30,23,105.8000031
1979.02,1979,2,31,23,8.899999619
1979.03,1979,3,32,24,0.600000024
1979.04,1979,4,33,24,3
1979.05,1979,5,33,24,1.100000024
1979.06,1979,6,33,24,28.20000076
1979.07,1979,7,33,24,75.40000153
1979.08,1979,8,32,23,127
1979.09,1979,9,29,23,174.6000061
1979.1,1979,10,28,23,205.5
1979.11,1979,11,29,23,236.3000031
1979.12,1979,12,30,23,208.3000031
1980.01,1980,1,31,23,100.6999969
1980.02,1980,2,32,24,23.10000038
1980.03,1980,3,32,23,0.5
1980.04,1980,4,32,24,0.800000012
1980.05,1980,5,33,24,2.299999952
1980.06,1980,6,33,24,5.800000191
1980.07,1980,7,33,24,47.79999924
1980.08,1980,8,31,23,170.8000031
1980.09,1980,9,30,24,124.4000015
1980.1,1980,10,28,22,194.3999939
1980.11,1980,11,28,22,280.3999939
1980.12,1980,12,30,23,224.3000031
1981.01,1981,1,31,23,135.8000031
1981.02,1981,2,31,23,2.799999952
1981.03,1981,3,32,21,0.899999976
1981.04,1981,4,33,22,0.699999988
1981.05,1981,5,33,25,1.200000048
1981.06,1981,6,33,24,18.10000038
1981.07,1981,7,33,25,64.90000153
1981.08,1981,8,31,24,123
1981.09,1981,9,30,24,200.6999969
1981.1,1981,10,28,23,203.6000061
1981.11,1981,11,29,23,153.5
1981.12,1981,12,30,23,206.6000061
1982.01,1982,1,32,23,58.09999847
1982.02,1982,2,32,23,1.399999976
1982.03,1982,3,33,24,0.5
1982.04,1982,4,34,22,1.799999952
1982.05,1982,5,34,24,4.699999809
1982.06,1982,6,33,24,31.60000038
1982.07,1982,7,33,25,91
1982.08,1982,8,31,24,118.9000015
1982.09,1982,9,30,24,119.9000015
1982.1,1982,10,28,23,154.1000061
1982.11,1982,11,28,22,203.8999939
1982.12,1982,12,30,23,187.3000031
1983.01,1983,1,31,23,120.6999969
1983.02,1983,2,32,23,2.700000048
1983.03,1983,3,33,24,0.5
1983.04,1983,4,33,21,0.600000024
