CanESM5-CanOE_370,CNRM-CM6-1_370,CNRM-CM6-1-HR_370,CNRM-ESM2-1_370,GFDL-ESM4_370,INM-CM4-8_370,INM-CM5-0_370,IPSL-CM6A-LR_370,MRI-ESM2-0_370,CanESM5-CanOE_585,CNRM-CM6-1_585,CNRM-CM6-1-HR_585,CNRM-ESM2-1_585,GFDL-ESM4_585,INM-CM4-8_585,INM-CM5-0_585,IPSL-CM6A-LR_585,MRI-ESM2-0_585
31.29064331,33.64226685,33.17705688,33.89855347,33.10036621,31.11333618,31.04213867,30.68337402,37.4263855,33.99782715,33.62444458,33.42901001,32.85906372,33.00423584,30.88198242,31.3538147,31.02837524,37.23568115
37.55272827,34.04088745,34.50734863,33.76488647,33.95617065,33.60918579,33.47957764,30.91729126,38.98433838,37.67043457,33.1559082,32.57537231,34.70131836,33.58483276,33.1458374,33.74303589,30.58693848,37.32723389
37.19674072,34.26320801,34.65621338,33.82683716,33.52660522,34.98769531,35.37972412,30.40569458,38.23616943,37.92574463,32.88018188,33.7071167,33.26366577,33.7086731,35.77446899,34.18215332,29.86858521,35.16674194
37.353479,32.03338013,32.3828064,33.01912842,30.89125977,36.31762085,34.32216797,29.76424561,36.2842041,34.29799805,31.80278931,32.48043213,32.2015625,32.47838745,36.69246826,32.63445435,29.56707153,35.77721558
30.93557129,32.64043579,31.8272644,30.699823,29.3756958,32.14003906,31.97271118,28.5180603,34.49685059,31.02224121,30.16668091,30.88863525,29.26726685,28.93883667,32.01723633,30.27843628,28.61486206,34.10466919
29.73342285,29.33660278,28.98150024,29.85335693,27.93999634,28.19439087,28.69429932,27.54607544,30.72985229,29.11196289,28.79320679,29.96984253,29.91292725,26.97988281,29.11000977,28.20147095,27.37084351,30.29592285
28.41277466,27.5777832,28.22924194,28.43670044,26.99300537,26.73684082,26.47405396,26.66060791,29.21618042,27.94115601,27.47020874,28.13128052,29.17492065,26.30956421,26.23522339,26.89208374,26.06548462,29.44973145
28.03588257,27.45015869,28.01778564,27.26238403,26.30419312,26.23482666,25.93673096,26.53673706,28.82125244,28.53371582,26.73516235,27.52599487,27.09694824,26.54607544,26.21349487,26.55928955,26.31722412,28.93294678
30.01641235,26.82851563,28.52370605,27.47994385,26.4717041,26.44786987,26.26064453,27.11104736,30.24160156,28.63997803,27.42861328,27.81942139,27.54406128,26.61226807,26.49419556,26.22124634,26.58132324,30.27718506
29.99596558,28.89998779,29.22167358,28.96663818,27.05947266,26.98720703,26.7204834,26.76644287,31.89818726,29.79366455,27.1324707,29.39312134,27.62401733,27.31801758,26.3991333,26.67043457,27.13775024,31.19381104
31.86751709,29.96859131,30.53005371,31.01748047,29.11116943,28.3088623,26.94091187,28.04259644,33.10476074,32.00716553,29.95787964,31.37676392,29.60262451,29.65630493,27.89742432,26.88778076,27.54500732,32.44329224
30.10411987,33.17287598,32.25759277,33.55672607,30.58822021,28.66066895,28.29763184,29.27092896,35.12722168,31.58403931,31.94924316,31.96578369,32.98235474,31.49758301,29.10750732,27.49620972,29.02648315,31.84728394
32.4074646,34.19683228,33.65664063,33.81398926,32.23513184,31.99157104,33.13469849,31.056604,37.81832275,33.84487305,33.76360474,34.21260986,33.61318359,33.34215698,32.90181885,29.33318481,30.78395996,37.06856689
39.47182617,33.36223755,34.22283325,35.00158081,34.10393677,32.45876465,32.17577515,30.39910278,37.22927246,37.19298706,34.08654175,35.32515869,33.86773071,33.62481079,32.44265137,31.63689575,30.31624756,38.06127319
36.32390747,33.13213501,34.76946411,33.84142456,34.51030884,34.14403687,35.424646,30.03188477,36.54421387,37.29070435,35.32592163,35.01345215,35.67321167,34.05880127,33.92525635,35.01009521,29.92443237,36.32903442
34.27053223,32.58886108,32.50524292,34.22695313,33.20571289,35.34624634,34.61126099,29.25545654,37.92427979,34.40657959,33.0152832,33.30413208,33.40563354,32.60552368,35.0005127,33.05449829,29.03765259,37.65776978
31.83300171,30.75893555,31.46529541,33.48290405,32.96895752,31.34673462,29.13283691,28.43572388,34.75579224,31.23397217,30.3666626,31.87359009,31.93831787,30.15212402,32.23189697,31.02349243,28.65627441,32.81917725
29.24004517,30.54052124,30.35482178,30.7109314,28.92479858,28.10756836,27.9286438,27.48339233,31.77709351,29.6604248,30.75689087,30.41344604,30.9102417,29.73677979,28.18084106,28.10259399,27.38231812,29.87737427
29.55883179,28.00457153,28.55129395,28.69136963,27.56166992,26.32009277,26.49346313,26.73818359,29.203302,27.49468384,30.0987793,27.5866333,28.3428894,26.86828003,26.71468506,26.48314819,26.34078369,29.05471191
28.50753174,27.10848389,27.99047241,28.10982666,26.57369385,26.47738037,26.31289063,26.03121338,28.85775146,27.75811157,27.309198,27.77248535,28.556604,26.18648682,26.25899658,26.33913574,26.54924927,28.81221924
28.92427979,27.10576782,28.26586304,28.28515015,26.46135864,26.6020752,26.34697876,26.6227356,30.55211792,29.15514526,27.68569336,27.92839966,27.7312561,26.49801025,26.24248657,26.69677124,26.93023071,29.88155518
30.87035522,28.24923096,28.97136841,28.61330566,27.67446289,26.59871826,26.84627686,27.37102661,32.29833374,28.9734436,28.39452515,29.7930542,29.09249268,27.4024292,26.61843262,26.68770752,27.6586853,31.08959351
31.22969971,30.38314209,31.58892212,30.28774414,29.10341797,27.06408081,27.93355713,27.86141357,33.48970947,30.57384644,30.41082153,31.19060669,30.41369019,29.51970825,27.50332031,27.11815796,27.80306396,32.74025879
29.57439575,32.25985107,33.17067871,31.98891602,30.35927734,28.03777466,29.34740601,29.1736084,35.69762573,30.08898315,34.00353394,32.15822754,33.30428467,30.45372925,28.42803345,28.26937256,28.52285156,32.1657959
33.29775391,32.51125488,34.72820435,33.93001709,33.08156738,29.82885132,32.4215332,30.81798706,37.55578003,29.8204895,33.82009277,32.88625488,33.42043457,32.84319458,30.97796021,32.31575928,30.4838501,34.32857666
38.54796753,33.18587646,34.90438232,34.25435791,34.5743042,31.08141479,33.027948,30.60909424,38.59880981,36.28655396,34.07976685,33.26744995,35.99932251,35.17666016,31.67235718,33.24535522,29.07595215,38.17910156
38.14986572,32.89083252,33.9762207,34.28395996,34.7472168,35.10216675,36.00756226,29.16091309,38.67400513,37.16188965,33.08937988,34.34703979,34.09523926,35.55510864,34.30150757,35.06289063,29.36876831,38.82637939
35.21541748,31.70665894,32.16866455,34.35610352,35.03618774,36.01400146,33.43361816,28.2633606,38.26445923,32.22695313,33.18035278,33.43145142,34.43865356,33.22860107,36.09841309,33.70617065,28.96691284,38.06957397
31.90230713,31.05080566,31.18007813,34.07888184,30.95925293,31.2953125,30.16771851,27.924646,35.05635986,32.00905762,32.45424805,32.05080566,31.62694702,32.69579468,31.46782837,30.22466431,28.58471069,35.56170044
29.44408569,27.71407471,28.83773193,31.73513184,28.17537842,28.31859741,27.0576416,27.74004517,31.83406982,28.84734497,28.66277466,28.85686646,29.67049561,27.2690979,28.44100342,29.42531738,27.56432495,30.56331787
28.12484131,28.14800415,27.60543213,27.71785889,27.4416748,26.56395874,26.56960449,26.32744751,29.81032715,28.61763916,27.41939697,27.15670166,28.53554688,27.0581604,26.72567139,27.40871582,26.33101807,29.30413208
28.59560547,27.25420532,26.97069702,28.00789795,26.21489868,26.60537109,26.22145996,26.04790649,28.51427612,27.88442383,27.08312378,27.24993286,27.08318481,26.55343018,26.52514038,26.66860352,26.38225708,30.22414551
