CanESM5-CanOE_370,CNRM-CM6-1_370,CNRM-CM6-1-HR_370,CNRM-ESM2-1_370,GFDL-ESM4_370,INM-CM4-8_370,INM-CM5-0_370,IPSL-CM6A-LR_370,MRI-ESM2-0_370,CanESM5-CanOE_585,CNRM-CM6-1_585,CNRM-CM6-1-HR_585,CNRM-ESM2-1_585,GFDL-ESM4_585,INM-CM4-8_585,INM-CM5-0_585,IPSL-CM6A-LR_585,MRI-ESM2-0_585
18.16289673,22.687677,18.91896973,22.63161621,18.17546997,21.73363647,22.00652466,17.1987854,24.09612427,17.60363159,20.82747803,20.05205688,21.09203491,19.25112305,21.58950195,22.01738892,20.98409424,22.19246826
17.1866394,23.83190308,22.5473877,23.72362671,18.71022949,22.77974854,23.14501343,22.13741455,25.53563843,20.86287842,23.24138794,21.5972229,23.36690674,22.97155151,22.64641724,22.96502075,22.48439941,24.24401245
23.65865479,24.29363403,22.97524414,24.75872192,23.83422241,23.93590698,23.86239014,23.90932617,26.19918213,23.30623779,23.67131958,22.15969238,25.05718384,24.49657593,24.41259155,23.99395142,23.46499023,26.35778198
26.32683716,23.42659912,22.14406738,23.45345459,23.5682312,24.76665649,24.86263428,24.41045532,25.85311279,25.8963562,23.58831177,22.25579224,24.93047485,24.04616699,25.05578003,23.6802002,23.73650513,27.40593872
26.03045044,23.19725952,21.96166382,22.45543823,22.27126465,23.2434021,23.23452148,23.82348022,25.32537231,25.44494019,22.699823,21.68016968,24.4605957,23.05556641,23.61742554,22.94411621,23.88674316,26.74755249
24.51665649,22.16140137,20.88378296,21.89071045,22.55019531,22.12731323,22.76177368,23.14794312,24.26784668,24.88933716,22.23970947,21.43554077,22.36873779,23.03060303,22.3102356,22.619104,23.00975952,25.09685669
24.11187134,21.89650879,20.66021118,21.19506226,22.59612427,22.63390503,22.7741333,23.37493286,23.61678467,24.40007935,21.38094482,20.68081055,21.53301392,22.29720459,22.67922363,22.83068237,22.90007935,24.18282471
24.15856323,21.58999023,20.91060791,21.06282959,21.84777222,22.65508423,23.10595093,23.17220459,23.63781128,24.02276001,21.50594482,20.6897522,21.57351074,22.2791687,22.6350647,22.90392456,22.84105835,23.4364563
24.08843384,21.62069092,20.98494873,21.14550171,21.54747925,22.88720093,22.86605225,23.1539856,24.0659729,24.22026978,21.3911377,20.89452515,21.9303833,22.08071289,22.83199463,22.9026123,23.10167847,23.85753784
24.3527771,21.91188965,21.13182983,21.67913208,21.76860962,22.62474976,22.42559204,23.03896484,25.10967407,24.04744873,21.68132935,20.83736572,22.35405884,22.23760376,22.44539795,22.65841064,22.90465698,24.34008179
21.54561768,21.4293457,20.23638306,21.13518677,21.95519409,20.87416992,20.49559937,22.15429077,24.2546936,21.16311035,20.97005615,20.85238037,21.63173828,20.32012329,20.13070068,21.71282349,22.19353638,23.51830444
18.18853149,19.94344482,20.7338501,20.06307373,18.72399292,21.7734314,19.83538208,20.58522949,22.92608032,17.7993103,20.10091553,20.79335938,19.86095581,18.16512451,20.53643188,22.3114563,20.73781738,21.47930298
16.52971802,22.38833008,19.45934448,21.69262085,17.79009399,20.47634277,21.38182983,19.71782837,23.86306152,16.52749023,21.59526978,22.41323242,21.65419922,19.1539856,21.45238647,20.92241821,19.37197266,23.01925049
17.75823364,23.31084595,22.50423584,24.29351196,21.94939575,21.82909546,22.97313843,21.24074707,24.85521851,20.35006104,23.00856934,23.31206665,24.39956055,21.31185303,22.48656616,21.81316528,21.50240479,24.40865479
22.85830078,23.51641235,23.33858643,24.44884644,22.60460815,23.65685425,24.23751221,23.38048706,26.19750366,25.04158936,23.99471436,23.46022949,23.78469238,23.41643677,23.34398804,24.24962769,22.71865234,26.67562256
26.01061401,23.07720337,22.1920105,23.55187378,24.23598633,25.06276855,23.85057983,23.97844849,26.87160645,25.26555786,23.37255249,22.81325684,23.30419312,24.50725708,24.3064209,23.84835205,24.2015625,26.38677368
25.00652466,22.08953247,21.35665283,22.96621094,24.81798706,23.07903442,23.34838257,23.70119629,26.04763184,25.48201904,22.47646484,22.13741455,22.02822266,23.35845337,23.64425049,23.41137085,23.51555786,25.47020874
24.54174194,21.4097229,21.20284424,23.33748779,23.43425903,22.2434021,22.55291138,22.84368286,24.9706665,24.59765015,21.75756226,21.18044434,21.80516968,23.68096313,22.20870361,22.75921021,23.21352539,24.74651489
24.04494629,21.26223145,20.59099731,21.47069702,22.82442627,22.50634155,22.65059814,23.38839111,23.84249268,24.17342529,21.37929688,20.73708496,21.62993774,22.19765625,22.52581177,22.59377441,23.11956177,24.28881226
24.02251587,20.97683105,20.69817505,21.70946655,22.14394531,22.69606934,22.60891113,23.11132202,23.64824829,24.13497314,21.08815918,20.45845947,22.01757202,22.1458374,22.75606689,22.80446777,22.71291504,23.73528442
