CanESM5-CanOE_370,CNRM-CM6-1_370,CNRM-CM6-1-HR_370,CNRM-ESM2-1_370,GFDL-ESM4_370,INM-CM4-8_370,INM-CM5-0_370,IPSL-CM6A-LR_370,MRI-ESM2-0_370,CanESM5-CanOE_585,CNRM-CM6-1_585,CNRM-CM6-1-HR_585,CNRM-ESM2-1_585,GFDL-ESM4_585,INM-CM4-8_585,INM-CM5-0_585,IPSL-CM6A-LR_585,MRI-ESM2-0_585
0.00018661,0.25585,0.68349,0.41482,0.0025212,2.0266,2.047,0.97621,1.03E-07,6.18E-05,0.37181,0.47741,0.057157,0.032772,2.3885,2.6462,1.7795,0.038672
0.00032784,0.92454,1.0371,1.8126,0.041794,1.4444,1.1895,2.8894,0.43299,0.0042659,0.66284,1.9703,1.7913,0.70269,1.4037,2.1087,1.6611,0.34481
1.7489,3.0347,1.9663,2.4345,1.4775,1.7334,1.3464,4.1808,1.7316,1.2282,2.0736,2.4195,1.7469,1.3344,1.3534,1.7746,5.8315,1.119
3.242,3.0624,5.5571,3.7238,3.2511,1.0884,1.5693,5.8602,1.2423,1.9406,2.8653,4.0338,1.4473,5.7161,0.89028,3.4752,4.499,0.38386
3.244,3.8302,4.8399,5.7624,4.9017,2.2819,3.7585,6.523,6.6354,10.088,2.4056,5.4501,6.0096,9.6027,3.2275,3.1805,6.9864,3.074
9.7526,4.2715,6.8305,7.2402,7.6777,5.1748,2.8536,8.8318,4.8124,11.382,3.8167,9.2868,4.4662,9.2887,5.6169,5.2615,8.3973,6.0746
12.896,9.4298,4.8088,6.3418,8.0869,8.0423,8.2884,8.5243,2.9415,7.5502,7.75,7.1588,8.5562,14.389,10.879,11.2,16.195,4.8263
15.755,10.171,8.2049,8.3012,10.397,9.8435,12.666,10.296,3.5682,9.4821,8.9219,8.2269,9.7992,5.4302,9.0469,10.568,12.814,3.9187
9.2277,7.4804,8.9078,8.8536,3.5752,8.7237,9.3335,13.79,1.5998,8.1158,7.4913,9.5879,10.198,6.7128,6.7525,10.292,8.2089,2.0109
7.2293,6.0739,9.3363,4.5473,12.162,2.0913,2.4713,8.1018,0.64683,6.3886,7.338,6.1697,4.024,13.222,2.4042,3.4035,7.5432,1.6725
6.9453,1.9054,3.5991,2.1677,1.3271,0.90822,1.8883,4.3464,2.925,3.7681,2.5511,0.85186,1.4565,0.58803,0.46301,1.8339,4.9988,1.0915
0.00081108,0.91959,0.72575,0.46948,0.034012,1.6485,0.58548,0.59921,0.11826,0.00074898,0.53408,0.85803,0.13528,0.00081607,1.5844,2.4923,1.2845,4.50E-18
0.000071067,0.51989,0.26048,0.816,0.012533,1.8536,2.2274,1.01,1.38E-16,5.51E-05,0.44363,0.29009,1.0895,0.0078701,1.1265,1.5511,1.5229,3.49E-18
0.37785,1.6672,0.89208,0.77868,0.61907,1.8438,2.9859,3.5867,0.0012469,1.1768,1.2703,0.50103,0.55082,0.46523,2.085,2.4047,3.5774,0.03315
2.5813,3.71,2.7516,2.7593,0.97622,1.5981,1.5072,3.9012,1.4436,2.8603,3.1054,1.0651,2.1403,1.4361,1.8728,1.81,5.5966,0.66833
3.5802,5.6736,5.632,1.8084,1.7254,1.4764,2.5992,4.9231,0.92685,2.3465,3.6273,4.571,2.9386,1.9937,2.0504,2.9048,4.8124,2.0501
7.5938,3.6337,3.6415,2.1304,2.4853,3.2618,3.885,6.5175,4.0738,10.315,3.7885,3.2247,3.3876,4.351,1.9574,4.1847,6.0202,4.7422
6.6162,5.794,3.5038,5.3275,8.6412,5.6906,8.6327,9.5561,2.8511,8.5153,4.9586,4.9949,4.3792,5.7344,4.9511,5.7616,8.9203,4.1241
19.815,8.4674,6.3215,9.1041,17.712,10.628,7.2197,12.565,2.7565,17.119,5.9201,8.7967,5.8958,10.123,8.097,8.1621,8.9807,4.8541
9.0759,10.68,7.0083,8.4577,5.5356,9.6817,13.215,17.379,3.389,8.7517,6.7764,7.4884,6.9111,8.4926,10.273,11.9,8.4045,4.4045
10.324,9.0164,11.404,9.4485,5.9859,6.492,5.999,7.1525,1.8837,7.5696,11.052,8.2828,10.752,8.9039,7.8527,7.5977,8.2078,3.4174
4.2276,7.8763,5.6851,5.4237,8.8625,3.8542,2.4313,8.8746,2.8453,5.7803,4.48,5.1967,5.8065,12.767,2.8872,2.7526,7.7114,0.91091
2.5445,1.0734,1.1043,1.5777,1.078,1.2671,1.6453,3.6416,2.4589,3.3196,1.9067,1.6442,1.7915,4.6301,1.7562,0.99057,6.4561,0.73479
0.0016071,0.73535,0.55066,1.0058,0.00018004,1.6196,1.0544,7.33E-28,1.05E-09,0.0043595,1.2988,1.0391,0.92098,0.00057825,0.93048,1.9001,1.7349,0.0054992
0.00010079,0.83675,0.39013,0.75731,0.0026857,2.2611,2.8609,2.2592,3.96E-18,2.65E-05,0.22545,1.5936,0.52767,1.69E-07,2.2835,1.0099,0,4.21E-09
