Date,Year,Month,Max,Min,Precip
1960.04,1960,4,35,18,197
1960.05,1960,5,38,21,238
1960.06,1960,6,37,23,174.6000061
1960.07,1960,7,35,24,169.1999969
1960.08,1960,8,33,24,1.200000048
1960.09,1960,9,31,22,0.800000012
1960.1,1960,10,29,22,0.800000012
1960.11,1960,11,29,22,0
1960.12,1960,12,30,22,3.599999905
1961.01,1961,1,32,21,30.79999924
1961.02,1961,2,34,19,73.09999847
1961.03,1961,3,35,19,86.90000153
1961.04,1961,4,35,19,83.09999847
1961.05,1961,5,37,19,246.1999969
1961.06,1961,6,37,23,186.1000061
1961.07,1961,7,35,25,121.4000015
1961.08,1961,8,34,23,11.10000038
1961.09,1961,9,30,22,0.800000012
1961.1,1961,10,28,22,0.800000012
1961.11,1961,11,28,21,0
1961.12,1961,12,29,21,1.100000024
1962.01,1962,1,32,21,55.20000076
1962.02,1962,2,34,19,379.7000122
1962.03,1962,3,34,17,272.2999878
1962.04,1962,4,35,17,197.6999969
1962.05,1962,5,37,20,155.8999939
1962.06,1962,6,37,23,220.3000031
1962.07,1962,7,35,25,165.6000061
1962.08,1962,8,33,23,36.29999924
1962.09,1962,9,30,22,1.100000024
1962.1,1962,10,29,22,0.800000012
1962.11,1962,11,28,21,0
1962.12,1962,12,29,21,4.5
1963.01,1963,1,31,22,77.90000153
1963.02,1963,2,33,20,153.3000031
1963.03,1963,3,34,18,212.8999939
1963.04,1963,4,36,18,254.8999939
1963.05,1963,5,37,22,154.1999969
1963.06,1963,6,36,22,137.1999969
1963.07,1963,7,35,25,149.1000061
1963.08,1963,8,33,24,57.09999847
1963.09,1963,9,31,22,0.899999976
1963.1,1963,10,29,22,0.800000012
1963.11,1963,11,29,22,0
1963.12,1963,12,30,22,0.600000024
1964.01,1964,1,31,22,1.899999976
1964.02,1964,2,34,19,215.1000061
1964.03,1964,3,35,17,155.6000061
1964.04,1964,4,35,19,157.6000061
1964.05,1964,5,37,20,242.8999939
1964.06,1964,6,38,23,262.3999939
1964.07,1964,7,36,25,185.1999969
1964.08,1964,8,33,23,3.200000048
1964.09,1964,9,30,22,0.800000012
1964.1,1964,10,28,21,3.099999905
1964.11,1964,11,27,21,0
1964.12,1964,12,29,21,0.899999976
1965.01,1965,1,31,21,3.700000048
1965.02,1965,2,33,19,83.19999695
1965.03,1965,3,34,19,126.0999985
1965.04,1965,4,35,19,45.20000076
1965.05,1965,5,36,21,190.8000031
1965.06,1965,6,37,22,208.8000031
1965.07,1965,7,35,24,110.0999985
1965.08,1965,8,33,23,8.600000381
1965.09,1965,9,30,22,0.800000012
1965.1,1965,10,29,22,0.800000012
1965.11,1965,11,28,22,0
1965.12,1965,12,29,21,8
1966.01,1966,1,32,22,26.70000076
1966.02,1966,2,34,19,101.9000015
1966.03,1966,3,34,17,185.6999969
