BCC-CSM2_370,CanESM5-CanOE_370,CNRM-CM6-1_370,CNRM-CM6-1-HR_370,CNRM-ESM2-1_370,GFDL-ESM4_370,INM-CM4-8_370,INM-CM5-0_370,IPSL-CM6A-LR_370,MRI-ESM2-0_370,BCC-CSM2_585,CanESM5-CanOE_585,CNRM-CM6-1_585,CNRM-CM6-1-HR_585,CNRM-ESM2-1_585,GFDL-ESM4_585,INM-CM4-8_585,INM-CM5-0_585,IPSL-CM6A-LR_585,MRI-ESM2-0_585
16.91,15.38,18,20.01,20.6,18.34,12.44,15.48,16.9,19.54,16.84,14.35,18.62,19.22,19.58,15.81,13.66,17,17.58,20.32
18.75,15.87,21.34,22.42,22.88,20.04,14.7,16.47,18.09,21.78,17.93,17.42,24.16,23.85,21.75,18.25,16.54,20.92,20.89,22.97
22.6,18.1,25.99,24.44,26.33,25.31,23.3,24.07,22.96,25.17,22.81,21.36,23.26,24.03,26.25,23.16,23.71,23.75,23.69,26.56
24.64,26.48,25.67,24.86,27.19,26.35,24.96,24.67,24.7,28.07,24.56,26.69,25.95,25.68,26.56,26.01,25.76,25.16,25.1,27.95
25.13,26.05,24.05,24.47,25.76,24.14,24.18,24.29,24.18,27.57,24.98,24.95,24.82,24.52,25.41,25.17,23.49,23.9,24.72,25.58
24.81,25.31,23.26,23.99,25.18,23.98,22.85,22.94,23.66,25.45,23.84,24.71,24.27,23.07,24.69,23.86,23.47,23.3,24.3,24.54
23.6,24.65,22.54,22.9,23.62,23.01,22.41,22.93,23.41,24.84,23.74,24.16,22.94,22.12,22.85,22.67,22.73,22.61,23.62,24.19
23.82,24.57,22.48,22.39,22.54,22.69,22.49,22.85,23.07,24.69,23.71,24.67,22.05,21.82,22.44,22.43,22.83,22.79,23.77,24.05
24.16,24.84,21.88,22.19,22.24,23.13,23.07,23.11,23.53,25.59,23.68,24.66,21.86,21.83,22.29,22.96,23.11,22.9,23.79,25.13
23.73,24.01,21.64,22.32,22.28,23.09,23.6,23.38,22.79,26.17,23.37,25.11,21.82,21.86,22.16,23.1,23.18,23.04,23.48,25.87
21.42,18.73,19.37,22.31,19.73,19.98,17.54,23.3,20.82,23.13,21.29,20.98,19.94,19.15,18.38,22.48,21.32,18.19,21.31,23.61
18.89,15.46,16.83,19.15,16.05,17.81,15.58,17.82,18.26,18.78,19.08,16.17,16.73,17.65,17.24,17.91,15.91,14.85,18.62,20.33
17.31,13.84,18.27,20.72,18.78,16.36,11.7,12.38,17.49,19.5,18.24,15.74,18.35,17.98,18.93,16.58,14.79,12.66,16.36,20.61
19.5,15.36,23.08,22.66,20.79,18.49,17.65,17.52,17.13,23.79,20.33,18.16,20.32,20.57,22.78,20.73,19.62,16.88,17.42,21.99
22.49,19.86,25.25,25.48,25.57,23.64,25.37,24.12,22.58,26.18,23.86,20.8,25.8,26.16,25.35,23.83,20.85,23.27,22.48,26.11
24.27,24.59,26.12,25.4,27.61,26.01,24.77,23.49,24.88,28.78,23.99,26.29,25.66,25.53,25.87,25.41,24.66,23.93,25.21,28.39
24.71,25.6,25.63,23.99,26.54,23.99,23.47,23.66,24.59,27.3,25.3,25.28,24.58,24.81,24.42,23.96,23.77,23.86,24.95,26.06
23.91,24.62,25.45,23.09,24.47,23.48,23.13,22.95,24.58,25.51,24.98,24.63,22.54,23.13,23.93,23.73,23,22.93,23.99,25.5
23.69,23.84,23.33,22.13,24.1,22.48,22.17,22.75,23.99,25.53,23.81,24.42,21.92,21.78,22.82,23.09,22.61,22.46,23.6,24.76
23.48,23.85,21.86,21.57,22.66,21.99,22.64,22.76,23.51,24.73,23.53,24.62,21.93,22.29,22.46,22.37,23.12,22.72,23.88,24.32
23.55,24.27,22.17,21.54,22.22,22.57,23.08,23.31,23.62,25.52,23.83,24.84,21.82,22.06,22.27,22.53,23.18,23.37,24.04,25.15
24.15,24.28,21.63,21.58,22.02,23.2,23.4,23.75,22.75,25.96,23.9,25,22.02,21.69,21.87,22.46,23.2,23.49,23.08,26.14
21.58,20,19.76,17.23,20.62,21.83,20.48,22.26,21.68,24.38,22.56,21.06,20.21,21.31,17.98,19.12,18.99,21.91,22.35,22.91
19.48,15.29,16.65,16.33,18.42,18.09,13.04,15,18.81,19.37,20,15.22,16.24,17.28,14.71,16.9,10.23,11.88,17.63,18.91
18.09,14.35,20.17,17.88,21.11,19.54,16.58,14.58,16.95,20.69,18.35,13.86,18.12,23.71,17.98,17.14,11.71,12.58,19.67,21.47
18.82,16.97,21.57,20.72,23.79,21.01,13.31,17.19,19.04,24.45,21.73,17.31,23.54,24.6,22.85,19.3,15.26,20.45,22.39,23.86
21.63,21.66,21.05,24.22,24.32,24.28,21.94,23.03,22.85,26.57,21.32,20.75,22.21,25.61,26.5,24.99,20.5,24.82,23.3,25.68
24.72,24.95,25.72,25.21,25.99,24.3,24.15,25.5,25.41,27.68,25.41,26.04,25.47,26.38,26.41,25.14,25.43,25.11,25.51,28.26
24.87,25.83,24.88,23.53,25.91,25.01,23.75,24.16,25.57,26.84,25.32,25.65,23.81,25.24,25.51,23.53,24.15,24.21,25.62,26.76
24.25,24.47,23.99,23.19,25.52,23.44,22.64,22.71,24.52,25.59,24.49,24.74,22.65,23.52,25.28,23.97,22.96,22.96,25.06,26.27
23.98,24.1,22.48,22.71,23.24,23.54,22.36,22.59,23.74,25.13,23.39,24.47,21.99,22.87,23.37,23.44,22.78,22.9,24.28,25.06
23.18,24.05,21.71,22.08,22.39,22.91,22.63,22.94,23.54,25.22,22.81,24.29,22.28,22.1,22.53,22.44,22.75,22.66,24.58,24.29
23.32,24.64,21.95,21.7,22.2,22.88,22.96,22.95,23.56,25.68,23.66,24.52,22.1,21.78,22.31,22.52,23.32,23.16,24.18,25.23
23.92,24.05,21.75,21.61,22.21,23.32,23.12,23.64,23.41,26.55,22.98,24.47,21.57,22.02,22.56,23.3,23.38,23.99,23.86,26.04
21.78,21.1,20.32,21.29,20.72,19.74,21.27,22.52,21.63,22.9,20.19,20.21,21.44,21.25,20.23,21.12,19.77,19.78,22.41,23.4
18.33,16.6,17.75,18.96,16.26,16.29,11.04,17.46,18.89,19.19,18.39,17.14,19.86,18.33,19.54,15.79,15.15,14.94,19.51,20.21
17.9,14.8,20.37,17.96,17.61,18.78,11.69,16.57,18.18,20.91,17.75,15.43,20.16,19.57,19.19,17.53,13.09,15.14,17.56,20.68
22.17,16.01,21.12,22.38,20.97,22.48,20.43,16.39,23.26,22.39,19.04,17.19,22.85,19.54,23.47,21.65,16.41,18.41,18.64,23.31
22.51,22.56,25.94,24.99,26.2,26.68,24.48,23.03,24.91,26.64,19.65,19.72,24.3,25.59,25.73,24.85,23.69,20.79,22.22,26.64
25.1,24.58,25.21,25.72,26.29,27.38,24.7,24.48,25.19,27.67,24.82,25.02,26.18,25.66,26.64,25.1,25.41,23.98,25.29,27.36
25.19,25.35,25.76,24.43,25.6,25.28,24.29,24.32,25.39,27.36,25.31,25.97,25.4,24.81,26.19,25.17,23.84,23.25,25,25.87
24.19,24.64,25.14,23.07,25.8,23.33,22.9,22.51,24.98,25.9,24.65,24.98,24.23,23.78,24.96,23.83,23.27,22.57,24.92,25.61
23.61,24.5,23.11,22.64,23.51,23.52,22.37,22.73,24.79,25.54,24.25,24.37,23.03,22.24,23.67,23.18,22.57,22.76,23.82,25.11
23.54,24.21,22.22,21.64,22.34,22.12,22.54,22.89,24.47,24.64,24.14,24.63,21.95,22.05,22.38,22.74,22.75,22.6,24.14,24.35
23.75,24.59,22.06,21.66,22.61,22.89,22.64,23,24.62,25.36,23.94,25.1,22.22,21.57,23.02,22.66,23.6,22.98,23.93,25.33
23.84,24.74,22.45,22.24,22.44,23.04,23.27,23.79,23.86,25.23,23.94,24.81,22.32,22.13,23.05,23.01,23.41,23.6,23.46,25.28
21.91,19.89,21.12,21.58,19.32,20.32,21.29,20.32,21.93,24.99,20.97,19.67,20.23,21.65,21.84,19.18,20.55,22.69,21.57,22.27
18.42,15.85,16.94,18.55,15.72,18.41,12.16,13.44,18.26,19.78,19.48,14.79,16.98,19.15,16.82,15.97,12.76,14.72,17.95,19.01
17.22,14.98,18.89,23.46,18.51,18.76,10.45,12.41,18.2,20.13,19.47,15.26,18.91,20.74,18.26,19.85,10.91,16.02,17.26,20.45
19.4,17.45,20.18,24.66,24.15,20.35,19.06,20.07,19.48,21.43,22.05,18.79,22.98,22.75,22.51,21.62,13.63,18.71,18.85,22.53
24.72,25.83,25.23,25.02,26.61,24.88,24.82,22.61,23.6,25.75,24.14,23.71,24.99,25.55,26.46,24.07,23.17,24.76,21.78,26.95
26.24,25.63,25.81,26.33,26.14,26.26,25.21,25.09,24.19,28.01,25.72,26.46,26.83,25.28,26.95,24.51,26.77,24.19,24.7,27.22
25.6,25.72,24.89,25.3,25.68,24.96,24.04,24.05,25.38,27.3,25.13,25.28,24.66,25.03,25.61,25.73,24.22,23.66,24.72,26.17
24.93,25.33,24.18,23.49,25.15,24.12,22.87,22.74,23.94,25.81,24.18,24.89,23.89,23.32,24.81,23.99,23.02,22.72,24.38,25.21
24.16,24.89,23.16,22.53,23.63,23.16,22.64,22.73,23.94,25.15,23.18,24.36,23.15,22.14,23.57,23.41,22.59,22.53,24.33,24.64
23.89,25.06,21.68,22.05,22.56,22.64,22.71,22.63,23.73,24.64,22.98,24.57,22.66,21.95,22.78,22.65,22.8,22.53,24.15,24.23
24.05,25.3,21.94,21.88,22.34,22.51,23.16,23.05,23.6,25.69,23.94,24.88,22.1,21.94,22.41,22.86,23.18,23.08,24.29,25.33
23.81,24.92,21.72,22.82,22.73,23.26,23.31,24.08,23.49,25.54,23.55,24.74,22.1,21.84,22.85,23.23,23.32,24.28,23.16,26.54
22.63,20.52,21.06,23.54,22.26,20.6,22.82,22.43,21.26,25.03,21.79,21.35,21.09,21.31,21.99,21.84,19.81,23.33,22.31,24.42
18.76,14.54,19.92,19.06,20.04,17.35,12.49,18.96,19.87,20.47,18.66,16.23,16.79,17.22,20.24,16.41,15.65,14,19.57,21.25
17.83,14.88,18.4,18.12,18.49,18.2,12.8,16.44,17.86,19.73,17.59,15.38,17.12,19.13,19.69,17.75,11.77,10.4,18.27,21.35
18.99,18.56,22.06,24.06,25.06,20.17,16.24,20.28,19.29,20.75,19.95,18.41,22.61,24.25,23.37,19.27,17.3,20.52,20.55,21.99
22.67,20.95,24.32,25.68,24.74,24.82,24.98,24.25,23.91,25.98,21.95,23.34,24.01,25.14,26.57,24,24.03,23.62,24.27,26.35
24.81,27.09,25.25,25.52,25.94,25.04,25.21,24.14,24.58,28.16,25.48,25.01,25.58,26.4,26.16,25.39,25.96,24.6,25.51,28.55
25.58,25.47,24.12,25.38,25.7,24.48,24.91,23.67,24.82,27.09,25.75,26.13,24.85,24.62,24.94,25.61,24.14,23.91,25.26,27.68
24.85,25.6,24.2,24.41,26.03,24,23.01,22.88,24.54,26.09,24.38,24.89,23.66,23.88,24.7,23.44,22.87,23.13,24.86,25.58
