BCC-CSM2_370,CanESM5-CanOE_370,CNRM-CM6-1_370,CNRM-CM6-1-HR_370,CNRM-ESM2-1_370,GFDL-ESM4_370,INM-CM4-8_370,INM-CM5-0_370,IPSL-CM6A-LR_370,MRI-ESM2-0_370,BCC-CSM2_585,CanESM5-CanOE_585,CNRM-CM6-1_585,CNRM-CM6-1-HR_585,CNRM-ESM2-1_585,GFDL-ESM4_585,INM-CM4-8_585,INM-CM5-0_585,IPSL-CM6A-LR_585,MRI-ESM2-0_585
0.0093611,0.00013136,0.0012771,0.0083042,0.0099363,7.56E-06,0.044542,0.080799,0.11577,0.0010453,0.0053218,0.00038074,3.47E-05,0.00019513,0.0079561,1.06E-07,0.086099,0.66544,0.018442,3.45E-18
0.17638,0.00028579,0.05018,0.017459,0.036995,0.0006487,0.18107,0.45024,0,8.32E-10,0.0027192,0.00057423,0.0054778,0.11955,0.017799,0.00019324,0.32122,1.1858,0,0.0015237
1.5542,0.3021,0.12721,0.071734,0.017615,0.17271,1.3259,0.84459,0.66106,0.028707,0.87965,0.51127,0.088942,0.31161,0.09368,0.030498,1.0418,2.6828,1.3011,0.26679
1.456,2.451,0.61303,0.64347,0.13903,2.0541,2.1355,2.3934,1.8408,2.0828,1.0764,4.2672,0.23595,0.07017,1.6068,1.0643,2.1975,1.9163,2.3508,1.898
2.0053,15.413,0.61376,0.80698,1.1762,5.5981,1.2148,2.5015,4.1219,4.535,3.38,9.6093,0.989,1.7751,2.0082,6.0967,2.2914,5.032,2.9424,8.1719
3.687,7.3256,2.6429,1.8377,4.0076,7.6598,2.4275,2.9821,5.168,8.4007,16.881,12.966,3.2041,4.1406,2.9862,12.639,3.3528,4.0636,4.8935,10.756
12.106,11.47,7.4729,3.611,4.4884,16.69,2.9408,4.0336,6.4869,6.6891,8.3628,8.5782,4.1464,3.9417,6.4451,12.859,6.7969,4.9816,6.2184,4.9176
5.3743,9.2242,8.776,3.8292,10.667,14.96,7.8347,8.3332,7.8758,6.0632,5.2322,9.333,6.7343,6.5359,10.911,13.563,6.2472,7.0258,9.047,7.5531
9.7109,6.4997,6.1015,3.5875,8.1824,6.1117,3.4972,4.7228,6.7591,3.7552,8.7125,10.913,8.5307,5.9758,7.626,16.496,8.2615,4.1663,6.3753,4.4882
8.9862,8.815,4.2896,2.9612,1.5006,6.4811,2.8463,4.2818,4.0543,1.9398,2.1983,6.9188,5.4307,1.6846,5.0475,8.886,2.3229,2.4521,3.8606,3.4141
0.97745,1.5409,0.076502,0.32884,0.0302,0.29789,0.44201,3.5591,0.37537,0.069181,1.2846,1.6928,0.215,0.19955,0.24515,0.1574,1.3817,0.40456,0.52913,0.53421
0.33241,0.013589,0.0004181,0.0036063,0.0060346,0.0015087,0.13744,0.64576,0,0.00080078,0.28837,0.012286,0.021317,0.0032818,0.002703,6.36E-06,0.26006,0.089128,7.81E-08,0.0012522
0.04308,0.00074684,0.0067071,0.0065321,0.0052052,1.21E-07,0.045264,0.053934,0,4.01E-18,0.015352,0.0095258,0.0049882,0.00086622,0.00060609,1.80E-07,0.17677,0.043972,0,3.40E-18
0.33375,0.00043286,0.039906,0.0066628,0.015871,0.001071,0.39709,0.68446,0.33483,0.01277,0.60179,0.00082365,0.14892,0.0044369,0.21145,0.0004962,0.46268,0.34417,0,3.90E-18
