"Year","Fitted_MeanShift"
"2015",-0.0387110543944498
"2016",-0.229561543264127
"2017",-0.422845978036914
"2018",-0.618569177855856
"2019",-0.816735961863998
"2020",-1.01735114920439
"2021",-1.22041955902006
"2022",-1.42594601045408
"2023",-1.63393532264947
"2024",-1.8443923147493
"2025",-2.05732180589659
"2026",-2.27273397515626
"2027",-2.49062968039842
"2028",-2.7109997589739
"2029",-2.93383504823355
"2030",-3.15912638552823
"2031",-3.38686460820876
"2032",-3.617040553626
"2033",-3.84964505913079
"2034",-4.08466896207397
"2035",-4.32210309980639
"2036",-4.5619383096789
"2037",-4.80430789752273
"2038",-5.0493134997991
"2039",-5.2968984498038
"2040",-5.54700608083267
"2041",-5.79957972618151
"2042",-6.05456271914614
"2043",-6.31189839302236
"2044",-6.57153008110598
"2045",-6.83340111669283
"2046",-7.09745483307871
"2047",-7.36363456355944
"2048",-7.63181087137231
"2049",-7.90196901822409
"2050",-8.17422438511474
"2051",-8.44869235304427
"2052",-8.72548830301266
"2053",-9.0047276160199
"2054",-9.28652567306596
"2055",-9.57099785515085
"2056",-9.85825954327453
"2057",-10.148426118437
"2058",-10.4421106468754
"2059",-10.7396003559031
"2060",-11.0405218681344
"2061",-11.3445018061836
"2062",-11.6511667926651
"2063",-11.9601434501931
"2064",-12.2710584013821
"2065",-12.5835382688463
"2066",-12.8972096752001
"2067",-13.2116992430578
"2068",-13.5266335950337
"2069",-13.843268233963
"2070",-14.1628494780344
"2071",-14.4849901728924
"2072",-14.8093031641819
"2073",-15.1354012975474
"2074",-15.4628974186336
"2075",-15.7914043730852
"2076",-16.1205350065468
"2077",-16.449902164663
"2078",-16.7791186930786
"2079",-17.1077974374381
"2080",-17.4367843695818
"2081",-17.7671305406318
"2082",-18.0987564151558
"2083",-18.4315824577213
"2084",-18.7655291328958
"2085",-19.1005169052471
"2086",-19.4364662393426
"2087",-19.7732975997499
"2088",-20.1109314510368
"2089",-20.4492882577706
"2090",-20.7882884845191
"2091",-21.1279219529511
"2092",-21.4682576876757
"2093",-21.809334957671
"2094",-22.151193031915
"2095",-22.4938711793856
"2096",-22.837408669061
"2097",-23.1818447699191
"2098",-23.5272187509379
"2099",-23.8735698810954
"2100",-24.2209374293697
