species,Year,JulianDay
Stylosanthes erecta,2016,160
Stylosanthes erecta,2016,160
Stylosanthes erecta,2016,161
Stylosanthes erecta,2016,160
Stylosanthes erecta,2016,161
Stylosanthes erecta,2016,160
Stylosanthes erecta,2016,161
Stylosanthes erecta,2016,160
Stylosanthes erecta,2015,157
Stylosanthes erecta,2015,157
Stylosanthes erecta,2015,157
Stylosanthes erecta,2013,199
Stylosanthes erecta,2012,183
Stylosanthes erecta,2012,242
Stylosanthes erecta,2011,198
Stylosanthes erecta,2003,233
Stylosanthes erecta,2000,231
Stylosanthes erecta,2000,231
Stylosanthes erecta,2000,231
Stylosanthes erecta,2000,231
Stylosanthes erecta,2000,187
Stylosanthes erecta,2000,231
Stylosanthes erecta,1999,200
Stylosanthes erecta,1999,200
Stylosanthes erecta,1999,200
Stylosanthes erecta,1999,200
Stylosanthes erecta,1999,220
Stylosanthes erecta,1999,205
Stylosanthes erecta,1999,200
Stylosanthes erecta,1999,231
Stylosanthes erecta,1999,220
Stylosanthes erecta,1999,156
Stylosanthes erecta,1999,200
Stylosanthes erecta,1999,189
Stylosanthes erecta,1999,205
Stylosanthes erecta,1999,189
Stylosanthes erecta,1999,156
Stylosanthes erecta,1999,200
Stylosanthes erecta,1999,205
Stylosanthes erecta,1999,200
Stylosanthes erecta,1998,234
Stylosanthes erecta,1998,157
Stylosanthes erecta,1998,230
Stylosanthes erecta,1998,234
Stylosanthes erecta,1998,230
Stylosanthes erecta,1998,157
Stylosanthes erecta,1997,241
Stylosanthes erecta,1997,243
Stylosanthes erecta,1997,241
Stylosanthes erecta,1997,231
Stylosanthes erecta,1996,239
Stylosanthes erecta,1996,239
Stylosanthes erecta,1994,188
Stylosanthes erecta,1994,188
Stylosanthes erecta,1994,188
Stylosanthes erecta,1979,182
Stylosanthes erecta,1979,206
Stylosanthes erecta,1974,182
Stylosanthes erecta,1972,201
Stylosanthes erecta,1972,201
Stylosanthes erecta,1968,209
Stylosanthes erecta,1968,209
Stylosanthes erecta,1966,160
Stylosanthes erecta,1966,160
Stylosanthes erecta,1966,160
Stylosanthes erecta,1966,160
Stylosanthes erecta,1966,160
Stylosanthes erecta,1965,168
Stylosanthes erecta,1965,168
Stylosanthes erecta,1964,231
Stylosanthes erecta,1964,171
Stylosanthes erecta,1961,216
Stylosanthes erecta,1961,216
Stylosanthes erecta,1961,232
Stylosanthes erecta,1961,208
Stylosanthes erecta,1961,208
