"Year","Fitted_MeanShift"
"2015",0.569438449612779
"2016",0.797404326499358
"2017",1.02816644693512
"2018",1.26181463575201
"2019",1.49843871778194
"2020",1.73812851785685
"2021",1.98097386080867
"2022",2.22706457146932
"2023",2.47649047467074
"2024",2.72934139524486
"2025",2.9857071580236
"2026",3.24566159970172
"2027",3.5091109597411
"2028",3.77589366712441
"2029",4.0458481508343
"2030",4.3188128398534
"2031",4.59462616316437
"2032",4.87312654974987
"2033",5.15415242859253
"2034",5.43754222867502
"2035",5.72313437897997
"2036",6.01076730849005
"2037",6.30413354222988
"2038",6.60607889684152
"2039",6.91517173873378
"2040",7.22998043431546
"2041",7.54907334999536
"2042",7.87101885218229
"2043",8.19438530728503
"2044",8.5177410817124
"2045",8.83965454187321
"2046",9.15869405417624
"2047",9.4734279850303
"2048",9.78175552688545
"2049",10.0837850862203
"2050",10.3813988504863
"2051",10.676479007135
"2052",10.9709077436181
"2053",11.266567247387
"2054",11.5653397058934
"2055",11.8691073065887
"2056",12.1797522369245
"2057",12.4991566843524
"2058",12.8248325611914
"2059",13.1530065639593
"2060",13.4836330564057
"2061",13.8166664022801
"2062",14.1520609653321
"2063",14.4897711093114
"2064",14.8297511979673
"2065",15.1719555950497
"2066",15.5163386643079
"2067",15.8628547694916
"2068",16.2114582743503
"2069",16.5633962447182
"2070",16.9195237665134
"2071",17.2792072336115
"2072",17.6418130398881
"2073",18.0067075792189
"2074",18.3732572454795
"2075",18.7408284325455
"2076",19.1087875342925
"2077",19.4765009445962
"2078",19.8433350573321
"2079",20.208656266376
"2080",20.5738938450044
"2081",20.9408143238572
"2082",21.3092899828545
"2083",21.6791931019162
"2084",22.0503959609626
"2085",22.4227708399137
"2086",22.7961900186896
"2087",23.1705257772104
"2088",23.5456503953961
"2089",23.921436153167
"2090",24.2977553304431
"2091",24.6745812398594
"2092",25.0520132881384
"2093",25.4301128963312
"2094",25.8089414854892
"2095",26.1885604766634
"2096",26.5690312909052
"2097",26.9504153492657
"2098",27.3327740727963
"2099",27.716168882548
"2100",28.1006611995721
