"Year","Fitted_MeanShift"
"2015",-0.0592723163933103
"2016",-0.098548015978949
"2017",-0.138311162028836
"2018",-0.178575299317723
"2019",-0.219353972620364
"2020",-0.260660726711511
"2021",-0.302509106365918
"2022",-0.344912656358337
"2023",-0.387884921463521
"2024",-0.431439446456223
"2025",-0.475589776111195
"2026",-0.520349123137986
"2027",-0.565705146043475
"2028",-0.611633058298409
"2029",-0.658108073373537
"2030",-0.705105404739607
"2031",-0.752600265867369
"2032",-0.80056787022757
"2033",-0.848983431290959
"2034",-0.897822162528285
"2035",-0.947059277410295
"2036",-0.996669989407739
"2037",-1.04718806586994
"2038",-1.09902611132638
"2039",-1.15197759501801
"2040",-1.20583598618582
"2041",-1.26039475407076
"2042",-1.31544736791381
"2043",-1.37078729695594
"2044",-1.4262080104381
"2045",-1.48150297760128
"2046",-1.53646566768644
"2047",-1.59088954993455
"2048",-1.64444804252461
"2049",-1.69714206215443
"2050",-1.74925632584325
"2051",-1.80107555061029
"2052",-1.85288445347477
"2053",-1.90496775145593
"2054",-1.95761016157298
"2055",-2.01109640084515
"2056",-2.06571118629166
"2057",-2.12173923493174
"2058",-2.17883616284824
"2059",-2.2364518951998
"2060",-2.29456261261938
"2061",-2.35314449573991
"2062",-2.41217372519432
"2063",-2.47162648161557
"2064",-2.53147894563659
"2065",-2.59170729789031
"2066",-2.65228771900969
"2067",-2.71319638962765
"2068",-2.77440949037714
"2069",-2.83611342891669
"2070",-2.89845705772117
"2071",-2.96136022464796
"2072",-3.02474277755449
"2073",-3.08852456429814
"2074",-3.15262543273633
"2075",-3.21696523072646
"2076",-3.28146380612594
"2077",-3.34604100679217
"2078",-3.41061668058256
"2079",-3.47511067535451
"2080",-3.53971240298335
"2081",-3.6046517040807
"2082",-3.66990906960834
"2083",-3.73546499052807
"2084",-3.80129995780171
"2085",-3.86739446239104
"2086",-3.93372899525786
"2087",-4.00028404736399
"2088",-4.06704010967121
"2089",-4.13397767314133
"2090",-4.20107722873615
"2091",-4.26833500917568
"2092",-4.33576651391982
"2093",-4.40338113404022
"2094",-4.47118826060852
"2095",-4.53919728469635
"2096",-4.60741759737536
"2097",-4.67585858971719
"2098",-4.74452965279348
"2099",-4.81344017767587
"2100",-4.88259955543599
