species,Year,JulianDay
Tetrorchidium didymostemon,2011,102
Tetrorchidium didymostemon,2011,102
Tetrorchidium didymostemon,2011,120
Tetrorchidium didymostemon,2009,110
Tetrorchidium didymostemon,2009,111
Tetrorchidium didymostemon,2009,110
Tetrorchidium didymostemon,2008,104
Tetrorchidium didymostemon,2008,103
Tetrorchidium didymostemon,2004,106
Tetrorchidium didymostemon,2004,106
Tetrorchidium didymostemon,2004,106
Tetrorchidium didymostemon,2004,106
Tetrorchidium didymostemon,2004,106
Tetrorchidium didymostemon,2004,106
Tetrorchidium didymostemon,2001,102
Tetrorchidium didymostemon,2001,102
Tetrorchidium didymostemon,2001,102
Tetrorchidium didymostemon,2001,102
Tetrorchidium didymostemon,2001,102
Tetrorchidium didymostemon,2001,102
Tetrorchidium didymostemon,1997,93
Tetrorchidium didymostemon,1994,105
Tetrorchidium didymostemon,1993,108
Tetrorchidium didymostemon,1992,100
Tetrorchidium didymostemon,1992,107
Tetrorchidium didymostemon,1992,97
Tetrorchidium didymostemon,1992,115
Tetrorchidium didymostemon,1992,115
Tetrorchidium didymostemon,1989,112
Tetrorchidium didymostemon,1989,112
Tetrorchidium didymostemon,1988,110
Tetrorchidium didymostemon,1987,116
Tetrorchidium didymostemon,1987,116
Tetrorchidium didymostemon,1987,116
Tetrorchidium didymostemon,1987,116
Tetrorchidium didymostemon,1987,115
Tetrorchidium didymostemon,1986,97
Tetrorchidium didymostemon,1986,97
Tetrorchidium didymostemon,1986,97
Tetrorchidium didymostemon,1986,97
Tetrorchidium didymostemon,1986,97
Tetrorchidium didymostemon,1986,97
Tetrorchidium didymostemon,1986,97
Tetrorchidium didymostemon,1986,97
Tetrorchidium didymostemon,1986,97
Tetrorchidium didymostemon,1977,116
Tetrorchidium didymostemon,1977,116
Tetrorchidium didymostemon,1977,96
Tetrorchidium didymostemon,1977,116
Tetrorchidium didymostemon,1977,97
Tetrorchidium didymostemon,1977,105
Tetrorchidium didymostemon,1977,96
Tetrorchidium didymostemon,1975,108
Tetrorchidium didymostemon,1975,104
Tetrorchidium didymostemon,1974,120
Tetrorchidium didymostemon,1973,102
Tetrorchidium didymostemon,1973,102
Tetrorchidium didymostemon,1973,102
Tetrorchidium didymostemon,1973,102
Tetrorchidium didymostemon,1973,93
Tetrorchidium didymostemon,1973,102
Tetrorchidium didymostemon,1972,94
Tetrorchidium didymostemon,1972,94
Tetrorchidium didymostemon,1972,94
Tetrorchidium didymostemon,1972,104
Tetrorchidium didymostemon,1972,104
Tetrorchidium didymostemon,1967,95
Tetrorchidium didymostemon,1967,95
Tetrorchidium didymostemon,1967,95
Tetrorchidium didymostemon,1965,94
Tetrorchidium didymostemon,1962,107
Tetrorchidium didymostemon,1961,119
Tetrorchidium didymostemon,1960,98
