species,Year,JulianDay
Tricalysia pallens,2020,311
Tricalysia pallens,2020,311
Tricalysia pallens,2020,311
Tricalysia pallens,2020,311
Tricalysia pallens,2020,311
Tricalysia pallens,2020,311
Tricalysia pallens,2019,340
Tricalysia pallens,2019,331
Tricalysia pallens,2019,346
Tricalysia pallens,2018,330
Tricalysia pallens,2018,338
Tricalysia pallens,2018,19
Tricalysia pallens,2018,19
Tricalysia pallens,2018,19
Tricalysia pallens,2018,31
Tricalysia pallens,2018,31
Tricalysia pallens,2018,19
Tricalysia pallens,2018,31
Tricalysia pallens,2018,19
Tricalysia pallens,2018,31
Tricalysia pallens,2018,19
Tricalysia pallens,2017,342
Tricalysia pallens,2017,342
Tricalysia pallens,2017,342
Tricalysia pallens,2016,346
Tricalysia pallens,2016,346
Tricalysia pallens,2016,346
Tricalysia pallens,2016,346
Tricalysia pallens,2016,346
Tricalysia pallens,2016,346
Tricalysia pallens,2016,346
Tricalysia pallens,2016,346
Tricalysia pallens,2015,318
Tricalysia pallens,2015,16
Tricalysia pallens,2012,10
Tricalysia pallens,2012,323
Tricalysia pallens,2012,308
Tricalysia pallens,2012,308
Tricalysia pallens,2010,26
Tricalysia pallens,2010,26
Tricalysia pallens,2010,26
Tricalysia pallens,2010,26
Tricalysia pallens,2010,25
Tricalysia pallens,2010,359
Tricalysia pallens,2010,25
Tricalysia pallens,2010,26
Tricalysia pallens,2010,359
Tricalysia pallens,2009,352
Tricalysia pallens,2009,10
Tricalysia pallens,2009,319
Tricalysia pallens,2009,319
Tricalysia pallens,2009,319
Tricalysia pallens,2009,319
Tricalysia pallens,2009,352
Tricalysia pallens,2009,352
Tricalysia pallens,2009,352
Tricalysia pallens,2009,350
Tricalysia pallens,2009,319
Tricalysia pallens,2008,30
Tricalysia pallens,2008,30
Tricalysia pallens,2008,30
Tricalysia pallens,2008,30
Tricalysia pallens,2008,30
Tricalysia pallens,2008,30
Tricalysia pallens,2008,344
Tricalysia pallens,2008,30
Tricalysia pallens,2008,30
Tricalysia pallens,2008,30
Tricalysia pallens,2008,30
Tricalysia pallens,2008,30
Tricalysia pallens,2008,341
Tricalysia pallens,2008,30
Tricalysia pallens,2008,30
Tricalysia pallens,2007,316
Tricalysia pallens,2007,316
Tricalysia pallens,2007,321
Tricalysia pallens,2007,316
Tricalysia pallens,2007,321
Tricalysia pallens,2007,321
Tricalysia pallens,2007,321
Tricalysia pallens,2007,324
Tricalysia pallens,2007,316
Tricalysia pallens,2007,321
Tricalysia pallens,2007,316
Tricalysia pallens,2007,316
Tricalysia pallens,2007,324
Tricalysia pallens,2007,316
Tricalysia pallens,2007,321
Tricalysia pallens,2006,346
Tricalysia pallens,2006,346
Tricalysia pallens,2006,346
Tricalysia pallens,2006,346
Tricalysia pallens,2006,346
Tricalysia pallens,2006,346
Tricalysia pallens,2005,306
Tricalysia pallens,2005,344
Tricalysia pallens,2005,306
Tricalysia pallens,2005,344
Tricalysia pallens,2004,316
Tricalysia pallens,2004,316
Tricalysia pallens,2003,346
Tricalysia pallens,2003,345
Tricalysia pallens,2003,330
Tricalysia pallens,2002,13
Tricalysia pallens,2002,11
Tricalysia pallens,2002,343
Tricalysia pallens,2002,333
Tricalysia pallens,2002,333
Tricalysia pallens,2002,333
Tricalysia pallens,2002,353
Tricalysia pallens,2002,354
Tricalysia pallens,2002,358
Tricalysia pallens,2002,333
Tricalysia pallens,2002,13
Tricalysia pallens,2002,11
Tricalysia pallens,2002,333
Tricalysia pallens,2002,358
Tricalysia pallens,2002,354
Tricalysia pallens,2002,353
Tricalysia pallens,2002,317
Tricalysia pallens,2002,359
Tricalysia pallens,2002,11
Tricalysia pallens,2002,13
Tricalysia pallens,2002,11
Tricalysia pallens,2002,354
Tricalysia pallens,2002,353
Tricalysia pallens,2001,7
Tricalysia pallens,2001,2
Tricalysia pallens,2001,7
Tricalysia pallens,2001,7
