"Year","Fitted_MeanShift"
"2015",0.205916985153617
"2016",0.459902395738596
"2017",0.717081900305297
"2018",0.977507395609933
"2019",1.24123077840872
"2020",1.50830394545786
"2021",1.77877879351358
"2022",2.05270721933209
"2023",2.33014111966959
"2024",2.61113239128231
"2025",2.89573293092645
"2026",3.18399880972523
"2027",3.47588773322011
"2028",3.77130404979468
"2029",4.07015210783256
"2030",4.37233625571734
"2031",4.67776084183262
"2032",4.98633021456199
"2033",5.29794872228906
"2034",5.61252071339743
"2035",5.92995053627069
"2036",6.25014253929245
"2037",6.57508376471251
"2038",6.90631092005467
"2039",7.24305285161355
"2040",7.58453840568374
"2041",7.92999642855986
"2042",8.27865576653649
"2043",8.62974526590826
"2044",8.98249377296975
"2045",9.33613013401559
"2046",9.68988319534036
"2047",10.0429818032387
"2048",10.3941559429209
"2049",10.7433828518849
"2050",11.0917622548562
"2051",11.4403938765604
"2052",11.7903774417232
"2053",12.1428126750701
"2054",12.4987993013267
"2055",12.8594370452187
"2056",13.2258256314716
"2057",13.5990647848111
"2058",13.9782775544185
"2059",14.3616453526828
"2060",14.7488554491411
"2061",15.1395951133305
"2062",15.5335516147883
"2063",15.9304122230515
"2064",16.3298642076574
"2065",16.731594838143
"2066",17.1352913840456
"2067",17.5406411149022
"2068",17.94733130025
"2069",18.3567317955825
"2070",18.7700959384389
"2071",19.1869362214255
"2072",19.6067651371483
"2073",20.0290951782134
"2074",20.4534388372269
"2075",20.8793086067949
"2076",21.3062169795234
"2077",21.7336764480186
"2078",22.1611995048866
"2079",22.5882986427335
"2080",23.0160997322611
"2081",23.4459768627289
"2082",23.8778148545794
"2083",24.3114985282553
"2084",24.746912704199
"2085",25.1839422028532
"2086",25.6224718446605
"2087",26.0623864500633
"2088",26.5035708395043
"2089",26.945909833426
"2090",27.3892882522711
"2091",27.8336870737066
"2092",28.2792013937701
"2093",28.7258872104594
"2094",29.1738005217725
"2095",29.6229973257072
"2096",30.0735336202615
"2097",30.5254654034332
"2098",30.9788486732203
"2099",31.4337394276206
"2100",31.8901936646321
