"Year","Fitted_MeanShift"
"2015",-0.648666949694268
"2016",-0.924327313812613
"2017",-1.20414891612366
"2018",-1.48798779862324
"2019",-1.77570000330715
"2020",-2.06714157217122
"2021",-2.36216854721125
"2022",-2.66063697042308
"2023",-2.96240288380251
"2024",-3.26732232934536
"2025",-3.57528839008255
"2026",-3.8864413057468
"2027",-4.20100785338663
"2028",-4.51921481005053
"2029",-4.84128895278704
"2030",-5.16745705864464
"2031",-5.49794590467187
"2032",-5.83298226791722
"2033",-6.17279292542921
"2034",-6.51760465425636
"2035",-6.86338929689077
"2036",-7.20713032448806
"2037",-7.55057195709194
"2038",-7.89545841474614
"2039",-8.2435339174944
"2040",-8.59654268538043
"2041",-8.95622893844797
"2042",-9.32433689674074
"2043",-9.70261078030247
"2044",-10.0927948091769
"2045",-10.4961749797376
"2046",-10.9117964179438
"2047",-11.3380420382177
"2048",-11.7732947549815
"2049",-12.2159374826574
"2050",-12.6643531356677
"2051",-13.1169246284344
"2052",-13.5720348753798
"2053",-14.0280667909262
"2054",-14.4834032894956
"2055",-14.9407677238284
"2056",-15.4038216077258
"2057",-15.8723550972019
"2058",-16.3461583482706
"2059",-16.8250215169457
"2060",-17.3087347592413
"2061",-17.7970882311713
"2062",-18.2898720887495
"2063",-18.78687648799
"2064",-19.2878915849066
"2065",-19.7980080395712
"2066",-20.3204187226757
"2067",-20.8520671061649
"2068",-21.3898966619833
"2069",-21.9308508620755
"2070",-22.471873178386
"2071",-23.0099070828596
"2072",-23.5418960474407
"2073",-24.0647835440739
"2074",-24.5755130447039
"2075",-25.0794969546568
"2076",-25.5839148790501
"2077",-26.0883610895152
"2078",-26.5924298576835
"2079",-27.0957154551865
"2080",-27.5978121536556
"2081",-28.0983142247223
"2082",-28.596815940018
"2083",-29.0929115711742
"2084",-29.5861953898224
"2085",-30.0764408388119
"2086",-30.563856782816
"2087",-31.0486906262014
"2088",-31.5311897733348
"2089",-32.0116016285829
"2090",-32.4901735963126
"2091",-32.9671530808906
"2092",-33.4427874866837
"2093",-33.9173242180586
