"Year","Fitted_MeanShift"
"2015",-2.69691870310566
"2016",-2.60445675069693
"2017",-2.5087113324696
"2018",-2.40971053182536
"2019",-2.30748243216587
"2020",-2.20205511689283
"2021",-2.09345666940791
"2022",-1.98171517311279
"2023",-1.86685871140916
"2024",-1.7489153676987
"2025",-1.62769007878779
"2026",-1.50297933106723
"2027",-1.37479853231536
"2028",-1.2431630903105
"2029",-1.10808841283098
"2030",-0.969589907655126
"2031",-0.827682982561261
"2032",-0.682383045327712
"2033",-0.533705503732807
"2034",-0.381665765554872
"2035",-0.227583826175995
"2036",-0.072384104904532
"2037",0.0845113545917919
"2038",0.243680508645252
"2039",0.405701313588122
"2040",0.571151725752679
"2041",0.740609701471195
"2042",0.914653197075948
"2043",1.09386016889921
"2044",1.27880857327326
"2045",1.46849562444481
"2046",1.66166536712018
"2047",1.85851600332106
"2048",2.05924573506914
"2049",2.2640527643861
"2050",2.47313529329364
"2051",2.68669152381343
"2052",2.90491965796717
"2053",3.12801789777654
"2054",3.35618444526324
"2055",3.59073203209335
"2056",3.83227079836031
"2057",4.07994505872682
"2058",4.33289912785555
"2059",4.5902773204092
"2060",4.85122395105045
"2061",5.114883334442
"2062",5.38039978524652
"2063",5.64691761812671
"2064",5.91358114774526
"2065",6.18375170275392
"2066",6.46040933133334
"2067",6.74212642743951
"2068",7.02747538502841
"2069",7.31502859805605
"2070",7.60335846047841
"2071",7.89103736625148
"2072",8.17663770933126
"2073",8.45873188367374
"2074",8.73589228323491
"2075",9.01106908043857
"2076",9.28794968841742
"2077",9.56621236219084
"2078",9.84553535677824
"2079",10.125596927199
"2080",10.4060753284725
"2081",10.6866488156181
"2082",10.9669956436552
"2083",11.2467940676031
"2084",11.5257223424814
"2085",11.8034862023658
"2086",12.0801474935555
"2087",12.3559186394047
"2088",12.6310120632676
"2089",12.9056401884985
"2090",13.1800154384516
"2091",13.4543502364813
"2092",13.7288570059416
"2093",14.0037481701869
