species,Year,JulianDay
Bougainvillea stipitata,2018,54
Bougainvillea stipitata,2018,55
Bougainvillea stipitata,2018,54
Bougainvillea stipitata,2018,54
Bougainvillea stipitata,2018,54
Bougainvillea stipitata,2014,35
Bougainvillea stipitata,2014,80
Bougainvillea stipitata,2013,32
Bougainvillea stipitata,2012,88
Bougainvillea stipitata,2012,88
Bougainvillea stipitata,2011,337
Bougainvillea stipitata,2011,3
Bougainvillea stipitata,2011,24
Bougainvillea stipitata,2011,342
Bougainvillea stipitata,2011,3
Bougainvillea stipitata,2011,21
Bougainvillea stipitata,2011,6
Bougainvillea stipitata,2011,3
Bougainvillea stipitata,2011,342
Bougainvillea stipitata,2011,337
Bougainvillea stipitata,2011,24
Bougainvillea stipitata,2010,344
Bougainvillea stipitata,2010,341
Bougainvillea stipitata,2010,71
Bougainvillea stipitata,2010,71
Bougainvillea stipitata,2009,363
Bougainvillea stipitata,2009,344
Bougainvillea stipitata,2009,40
Bougainvillea stipitata,2009,344
Bougainvillea stipitata,2008,29
Bougainvillea stipitata,2007,25
Bougainvillea stipitata,2007,46
Bougainvillea stipitata,2007,25
Bougainvillea stipitata,2007,81
Bougainvillea stipitata,2007,77
Bougainvillea stipitata,2007,77
Bougainvillea stipitata,2007,81
Bougainvillea stipitata,2007,81
Bougainvillea stipitata,2006,38
Bougainvillea stipitata,2006,40
Bougainvillea stipitata,2006,40
Bougainvillea stipitata,2006,57
Bougainvillea stipitata,2006,337
Bougainvillea stipitata,2006,34
Bougainvillea stipitata,2006,40
Bougainvillea stipitata,2006,38
Bougainvillea stipitata,2006,34
Bougainvillea stipitata,2006,57
Bougainvillea stipitata,2006,40
Bougainvillea stipitata,2006,57
Bougainvillea stipitata,2006,38
Bougainvillea stipitata,2006,40
Bougainvillea stipitata,2006,34
Bougainvillea stipitata,2006,57
Bougainvillea stipitata,2006,337
Bougainvillea stipitata,2005,73
Bougainvillea stipitata,2005,27
Bougainvillea stipitata,2005,73
Bougainvillea stipitata,2005,21
Bougainvillea stipitata,2003,63
Bougainvillea stipitata,2003,63
Bougainvillea stipitata,2000,65
Bougainvillea stipitata,1999,90
Bougainvillea stipitata,1999,45
Bougainvillea stipitata,1999,44
Bougainvillea stipitata,1999,342
Bougainvillea stipitata,1999,342
Bougainvillea stipitata,1999,45
Bougainvillea stipitata,1999,44
Bougainvillea stipitata,1999,90
Bougainvillea stipitata,1998,352
Bougainvillea stipitata,1998,53
Bougainvillea stipitata,1998,3
Bougainvillea stipitata,1998,67
Bougainvillea stipitata,1998,53
Bougainvillea stipitata,1998,352
Bougainvillea stipitata,1997,56
Bougainvillea stipitata,1997,57
Bougainvillea stipitata,1997,74
Bougainvillea stipitata,1995,63
Bougainvillea stipitata,1995,21
Bougainvillea stipitata,1995,21
Bougainvillea stipitata,1995,86
Bougainvillea stipitata,1994,2
Bougainvillea stipitata,1994,81
Bougainvillea stipitata,1994,2
Bougainvillea stipitata,1993,89
Bougainvillea stipitata,1992,82
Bougainvillea stipitata,1992,59
Bougainvillea stipitata,1992,90
Bougainvillea stipitata,1992,82
Bougainvillea stipitata,1992,66
Bougainvillea stipitata,1991,78
Bougainvillea stipitata,1991,78
Bougainvillea stipitata,1991,53
Bougainvillea stipitata,1989,39
Bougainvillea stipitata,1989,39
Bougainvillea stipitata,1988,39
Bougainvillea stipitata,1988,15
Bougainvillea stipitata,1988,15
Bougainvillea stipitata,1988,31
Bougainvillea stipitata,1988,31
Bougainvillea stipitata,1986,41
Bougainvillea stipitata,1986,41
Bougainvillea stipitata,1985,348
Bougainvillea stipitata,1985,74
Bougainvillea stipitata,1985,74
Bougainvillea stipitata,1985,348
Bougainvillea stipitata,1985,348
Bougainvillea stipitata,1984,337
Bougainvillea stipitata,1984,337
Bougainvillea stipitata,1981,340
Bougainvillea stipitata,1981,340
Bougainvillea stipitata,1979,49
Bougainvillea stipitata,1979,357
Bougainvillea stipitata,1978,10
Bougainvillea stipitata,1978,344
Bougainvillea stipitata,1978,68
Bougainvillea stipitata,1978,68
Bougainvillea stipitata,1978,10
Bougainvillea stipitata,1975,24
Bougainvillea stipitata,1975,24
Bougainvillea stipitata,1974,335
Bougainvillea stipitata,1973,35
Bougainvillea stipitata,1973,35
Bougainvillea stipitata,1972,345
Bougainvillea stipitata,1972,345
Bougainvillea stipitata,1972,345
Bougainvillea stipitata,1971,36
Bougainvillea stipitata,1971,341
Bougainvillea stipitata,1965,30
Bougainvillea stipitata,1965,30
Bougainvillea stipitata,1964,53
Bougainvillea stipitata,1964,53
Bougainvillea stipitata,1963,345
Bougainvillea stipitata,1963,345
Bougainvillea stipitata,1962,341
Bougainvillea stipitata,1962,341
Bougainvillea stipitata,1960,80
Bougainvillea stipitata,1960,80
Bougainvillea stipitata,1960,341
Bougainvillea stipitata,1960,83
Bougainvillea stipitata,1960,80
Bougainvillea stipitata,1960,80
Bougainvillea stipitata,1960,83
