"Year","Fitted_MeanShift"
"2015",-0.138693519033009
"2016",-0.120493711371081
"2017",-0.101665033838337
"2018",-0.0822205706668531
"2019",-0.0621734060887034
"2020",-0.0415366243359623
"2021",-0.0203233096407045
"2022",0.00145345376499563
"2023",0.0237805816490635
"2024",0.0466449897794246
"2025",0.0700121550537403
"2026",0.0938768541431269
"2027",0.118269952475693
"2028",0.143222315479545
"2029",0.168764808582794
"2030",0.194928297213545
"2031",0.221743646799909
"2032",0.249241722769992
"2033",0.277453390551902
"2034",0.306409515573749
"2035",0.335888287532833
"2036",0.365699452801998
"2037",0.395921211822664
"2038",0.426631765036254
"2039",0.457909312884189
"2040",0.489832055807891
"2041",0.522478194248781
"2042",0.555925928648281
"2043",0.590253459447812
"2044",0.625538987088796
"2045",0.662060354428007
"2046",0.699911761285429
"2047",0.738895943547302
"2048",0.778815637099867
"2049",0.819473577829364
"2050",0.860672501622032
"2051",0.902215144364112
"2052",0.943904241941843
"2053",0.985542530241465
"2054",1.02693274514922
"2055",1.06880122268963
"2056",1.11188096441391
"2057",1.15598470449832
"2058",1.2009251771191
"2059",1.24651511645251
"2060",1.29256725667482
"2061",1.33889433196227
"2062",1.38530907649112
"2063",1.43162422443763
"2064",1.47765250997805
"2065",1.52382694595637
"2066",1.57061452317549
"2067",1.61787894275005
"2068",1.66548390579468
"2069",1.71329311342401
"2070",1.76117026675269
"2071",1.80897906689535
"2072",1.85658321496662
"2073",1.90384641208114
"2074",1.95063235935355
"2075",1.99713922604821
"2076",2.04365306590941
"2077",2.09016940677164
"2078",2.13668377646943
"2079",2.18319170283728
"2080",2.22968871370968
"2081",2.27617033692116
"2082",2.32263210030622
"2083",2.36906953169937
"2084",2.41547815893511
"2085",2.46185875718837
"2086",2.5082175250177
"2087",2.55455812533301
"2088",2.60088422104422
"2089",2.64719947506126
"2090",2.69350755029404
"2091",2.73981210965247
"2092",2.78611681604649
"2093",2.83242533238601
