"Year","Fitted_MeanShift"
"2015",-0.523162915739473
"2016",-0.699183665714828
"2017",-0.876828674032863
"2018",-1.05605838165049
"2019",-1.23683322952462
"2020",-1.41911365861217
"2021",-1.60286010987005
"2022",-1.78803302425518
"2023",-1.97459284272447
"2024",-2.16250000623482
"2025",-2.35169486894003
"2026",-2.54218671413043
"2027",-2.73403937646774
"2028",-2.92731669061371
"2029",-3.12208249123006
"2030",-3.31840061297855
"2031",-3.51633489052089
"2032",-3.71594915851883
"2033",-3.91730725163411
"2034",-4.12047300452845
"2035",-4.32482889325065
"2036",-4.52991191990553
"2037",-4.7360177082389
"2038",-4.94344188199655
"2039",-5.15248006492427
"2040",-5.36342788076787
"2041",-5.57658095327314
"2042",-5.79223490618587
"2043",-6.01068536325187
"2044",-6.23222794821693
"2045",-6.45748359048493
"2046",-6.68650836168616
"2047",-6.91875059890604
"2048",-7.15365863923002
"2049",-7.3906808197435
"2050",-7.62926547753193
"2051",-7.86886094968072
"2052",-8.10891557327531
"2053",-8.34887768540112
"2054",-8.58819562314357
"2055",-8.82745871066377
"2056",-9.06771086021983
"2057",-9.30908229104273
"2058",-9.55170322236345
"2059",-9.79570387341297
"2060",-10.0412144634223
"2061",-10.2883652116223
"2062",-10.5372863372441
"2063",-10.7881080595186
"2064",-11.0409605976768
"2065",-11.2955674440457
"2066",-11.5515775274133
"2067",-11.8090092217019
"2068",-12.0678809008337
"2069",-12.3282109387312
"2070",-12.5900177093165
"2071",-12.853319586512
"2072",-13.11813494424
"2073",-13.3844821564228
"2074",-13.6523795969827
"2075",-13.921710740913
"2076",-14.1923850373656
"2077",-14.4644598215006
"2078",-14.7379924284779
"2079",-15.0130401934578
"2080",-15.2896604516003
"2081",-15.5679105380654
"2082",-15.8478477880133
"2083",-16.1295295366041
"2084",-16.4130131189977
"2085",-16.6983145459774
"2086",-16.9853886661776
"2087",-17.2742010715357
"2088",-17.5647173539889
"2089",-17.8569031054743
"2090",-18.1507239179292
"2091",-18.4461453832907
"2092",-18.7431330934963
"2093",-19.0416526404829
