"Year","Fitted_MeanShift"
"2015",-0.118481563857255
"2016",0.503292833302495
"2017",1.13536667447658
"2018",1.77750613427225
"2019",2.42947738729678
"2020",3.09104660815743
"2021",3.76197997146146
"2022",4.44204365181613
"2023",5.1310038238287
"2024",5.82862666210645
"2025",6.53440759586234
"2026",7.24831655942562
"2027",7.97083148507788
"2028",8.70243030510073
"2029",9.44359095177579
"2030",10.1947913573847
"2031",10.956509454209
"2032",11.7292231745303
"2033",12.5134104506302
"2034",13.3095492147905
"2035",14.1138093919987
"2036",14.9230710461792
"2037",15.7388773180182
"2038",16.5627713482017
"2039",17.3962962774161
"2040",18.2409952463474
"2041",19.098411395682
"2042",19.9700878661059
"2043",20.8575677983054
"2044",21.7623943329666
"2045",22.6887463320623
"2046",23.6375848601806
"2047",24.6056263619311
"2048",25.5895872819229
"2049",26.5861840647657
"2050",27.5921331550687
"2051",28.6041509974413
"2052",29.6189540364929
"2053",30.6332587168329
"2054",31.6437814830708
"2055",32.6592874243932
"2056",33.6896656882685
"2057",34.7333188067279
"2058",35.788649311803
"2059",36.8540597355252
"2060",37.927952609926
"2061",39.0087304670369
"2062",40.0947958388892
"2063",41.1845512575145
"2064",42.2763992549442
"2065",43.3741627687501
"2066",44.4817990092249
"2067",45.5979119174819
"2068",46.7211054346343
"2069",47.8499835017952
"2070",48.9831500600778
"2071",50.1192090505953
"2072",51.2567644144608
"2073",52.3944200927876
"2074",53.5307800266889
"2075",54.6676768287769
"2076",55.8079317167499
"2077",56.9516315393503
"2078",58.0988631453205
"2079",59.2497133834026
"2080",60.404269102339
"2081",61.5626171508721
"2082",62.724844377744
"2083",63.8910376316972
"2084",65.061283761474
"2085",66.2356260863246
"2086",67.4140216517874
"2087",68.5964278960363
"2088",69.7828022572455
"2089",70.973102173589
"2090",72.167285083241
"2091",73.3653084243754
"2092",74.5671296351664
"2093",75.7727061537881
