"Year","Fitted_MeanShift"
"2015",0.737510054339961
"2016",1.45017855937461
"2017",2.17179983822011
"2018",2.90250429477443
"2019",3.64242233293555
"2020",4.39168435660146
"2021",5.15042076967013
"2022",5.91876197603954
"2023",6.69683837960767
"2024",7.48478038427251
"2025",8.28271839393202
"2026",9.09078047525455
"2027",9.90884959474081
"2028",10.7366885060374
"2029",11.5740599627909
"2030",12.4207267186478
"2031",13.2764515272549
"2032",14.1409971422586
"2033",15.0141263173055
"2034",15.8956018060422
"2035",16.7851863621153
"2036",17.6826427391715
"2037",18.5931086116458
"2038",19.5205462305778
"2039",20.4629552145206
"2040",21.4183351820273
"2041",22.3846857516508
"2042",23.3600065419442
"2043",24.3422971714606
"2044",25.3295572587531
"2045",26.3197864223746
"2046",27.3109842808782
"2047",28.3011504528169
"2048",29.2871621952495
"2049",30.2690738615605
"2050",31.2496507147921
"2051",32.2316580179865
"2052",33.2178610341857
"2053",34.211025026432
"2054",35.2139152577674
"2055",36.2292969912342
"2056",37.2599354898744
"2057",38.3085960167301
"2058",39.373302891106
"2059",40.4496463763022
"2060",41.5367406513543
"2061",42.633699895298
"2062",43.7396382871691
"2063",44.8536700060032
"2064",45.974909230836
"2065",47.1024701407032
"2066",48.2354669146404
"2067",49.3730137316835
"2068",50.5142247708679
"2069",51.6633143878377
"2070",52.8240375809233
"2071",53.9948194931905
"2072",55.174085267705
"2073",56.3602600475326
"2074",57.5517689757389
"2075",58.7470371953898
"2076",59.9444898495509
"2077",61.142552081288
"2078",62.3396490336668
"2079",63.5342058497531
"2080",64.7297537814841
"2081",65.9306514444655
"2082",67.1365650272658
"2083",68.3471607184533
"2084",69.5621047065965
"2085",70.7810631802636
"2086",72.0037023280231
"2087",73.2296883384434
"2088",74.4586874000928
"2089",75.6903657015397
"2090",76.9243894313525
"2091",78.1607031297258
"2092",79.3995823018426
"2093",80.6411895837541
"2094",81.8856876115113
"2095",83.1332390211651
"2096",84.3840064487668
"2097",85.6381525303672
"2098",86.8958399020174
"2099",88.1572311997686
"2100",89.4224890596717
