"Year","Fitted_MeanShift"
"2015",0.497724047134485
"2016",0.755785312663011
"2017",1.01426266983473
"2018",1.27322654249886
"2019",1.53274735450464
"2020",1.79289552970129
"2021",2.05374149193805
"2022",2.31535566506413
"2023",2.57780847292876
"2024",2.84117033938118
"2025",3.10533978375713
"2026",3.37012041428087
"2027",3.63544028813436
"2028",3.90122746249954
"2029",4.1674099945584
"2030",4.43391594149288
"2031",4.70067336048496
"2032",4.96761030871658
"2033",5.23465484336972
"2034",5.50173502162633
"2035",5.77062185684336
"2036",6.04267473893822
"2037",6.3172042899335
"2038",6.59352113185184
"2039",6.87093588671586
"2040",7.14875917654818
"2041",7.42630162337141
"2042",7.70287384920817
"2043",7.97778647608109
"2044",8.25035012601279
"2045",8.51950358406934
"2046",8.78520274015884
"2047",9.04828387356691
"2048",9.30958326357922
"2049",9.56993718948139
"2050",9.83018193055907
"2051",10.0911537660979
"2052",10.3536889753835
"2053",10.6186238377016
"2054",10.8867946323377
"2055",11.1563002171996
"2056",11.4249555796679
"2057",11.6931711932373
"2058",11.9613575314028
"2059",12.2299250676592
"2060",12.4992842755013
"2061",12.7698456284242
"2062",13.0420195999225
"2063",13.3162166634913
"2064",13.5928472926252
"2065",13.8695231529872
"2066",14.1444256368287
"2067",14.4188198075275
"2068",14.6939707284615
"2069",14.9711434630086
"2070",15.2516030745468
"2071",15.5366146264539
"2072",15.8274431821078
"2073",16.1253538048865
"2074",16.4316115581677
"2075",16.7437250828899
"2076",17.0584696598405
"2077",17.3760103121713
"2078",17.696512063034
"2079",18.0201399355803
"2080",18.3470589529618
"2081",18.6774341383304
"2082",19.0114305148377
"2083",19.3492131056355
"2084",19.6909469338754
"2085",20.0368507869517
"2086",20.3869565405601
"2087",20.7411488503048
"2088",21.09931237179
"2089",21.46133176062
"2090",21.8270916723987
"2091",22.1964767627305
"2092",22.5693716872194
"2093",22.9456611014697
