species,Year,JulianDay
Dioscorea bulbifera,2020,256
Dioscorea bulbifera,2020,256
Dioscorea bulbifera,2019,276
Dioscorea bulbifera,2019,276
Dioscorea bulbifera,2019,276
Dioscorea bulbifera,2019,276
Dioscorea bulbifera,2019,255
Dioscorea bulbifera,2019,255
Dioscorea bulbifera,2019,285
Dioscorea bulbifera,2019,246
Dioscorea bulbifera,2019,246
Dioscorea bulbifera,2019,246
Dioscorea bulbifera,2019,345
Dioscorea bulbifera,2019,262
Dioscorea bulbifera,2019,245
Dioscorea bulbifera,2019,270
Dioscorea bulbifera,2018,272
Dioscorea bulbifera,2018,338
Dioscorea bulbifera,2018,342
Dioscorea bulbifera,2017,258
Dioscorea bulbifera,2017,285
Dioscorea bulbifera,2017,320
Dioscorea bulbifera,2017,247
Dioscorea bulbifera,2017,300
Dioscorea bulbifera,2017,314
Dioscorea bulbifera,2017,273
Dioscorea bulbifera,2016,326
Dioscorea bulbifera,2016,271
Dioscorea bulbifera,2015,263
Dioscorea bulbifera,2015,291
Dioscorea bulbifera,2015,246
Dioscorea bulbifera,2015,245
Dioscorea bulbifera,2015,249
Dioscorea bulbifera,2015,249
Dioscorea bulbifera,2015,316
Dioscorea bulbifera,2014,296
Dioscorea bulbifera,2014,349
Dioscorea bulbifera,2014,271
Dioscorea bulbifera,2014,272
Dioscorea bulbifera,2014,251
Dioscorea bulbifera,2014,260
Dioscorea bulbifera,2014,264
Dioscorea bulbifera,2014,264
Dioscorea bulbifera,2014,264
Dioscorea bulbifera,2014,259
Dioscorea bulbifera,2014,304
Dioscorea bulbifera,2014,275
Dioscorea bulbifera,2013,246
Dioscorea bulbifera,2013,244
Dioscorea bulbifera,2013,249
Dioscorea bulbifera,2013,307
Dioscorea bulbifera,2013,265
Dioscorea bulbifera,2013,265
Dioscorea bulbifera,2013,265
Dioscorea bulbifera,2013,300
Dioscorea bulbifera,2013,265
Dioscorea bulbifera,2013,288
Dioscorea bulbifera,2013,279
Dioscorea bulbifera,2013,275
Dioscorea bulbifera,2012,302
Dioscorea bulbifera,2012,289
Dioscorea bulbifera,2012,302
Dioscorea bulbifera,2012,281
Dioscorea bulbifera,2012,302
Dioscorea bulbifera,2012,281
Dioscorea bulbifera,2012,302
Dioscorea bulbifera,2012,301
Dioscorea bulbifera,2012,300
Dioscorea bulbifera,2012,308
Dioscorea bulbifera,2012,289
Dioscorea bulbifera,2012,281
Dioscorea bulbifera,2012,308
Dioscorea bulbifera,2012,302
Dioscorea bulbifera,2012,289
Dioscorea bulbifera,2012,277
Dioscorea bulbifera,2012,284
Dioscorea bulbifera,2012,345
Dioscorea bulbifera,2012,345
Dioscorea bulbifera,2012,296
Dioscorea bulbifera,2012,290
Dioscorea bulbifera,2012,252
Dioscorea bulbifera,2012,302
Dioscorea bulbifera,2012,281
Dioscorea bulbifera,2012,299
Dioscorea bulbifera,2011,319
Dioscorea bulbifera,2011,328
Dioscorea bulbifera,2011,249
Dioscorea bulbifera,2011,261
Dioscorea bulbifera,2011,335
Dioscorea bulbifera,2011,261
Dioscorea bulbifera,2011,268
Dioscorea bulbifera,2011,257
Dioscorea bulbifera,2011,257
Dioscorea bulbifera,2011,256
Dioscorea bulbifera,2011,286
Dioscorea bulbifera,2011,279
Dioscorea bulbifera,2011,261
Dioscorea bulbifera,2011,261
Dioscorea bulbifera,2011,261
Dioscorea bulbifera,2010,328
Dioscorea bulbifera,2010,257
Dioscorea bulbifera,2010,309
Dioscorea bulbifera,2010,309
Dioscorea bulbifera,2010,293
Dioscorea bulbifera,2010,308
Dioscorea bulbifera,2010,260
Dioscorea bulbifera,2010,260
Dioscorea bulbifera,2010,278
Dioscorea bulbifera,2010,278
Dioscorea bulbifera,2010,278
Dioscorea bulbifera,2009,245
Dioscorea bulbifera,2009,334
Dioscorea bulbifera,2009,334
Dioscorea bulbifera,2009,334
Dioscorea bulbifera,2009,293
Dioscorea bulbifera,2009,260
Dioscorea bulbifera,2009,334
Dioscorea bulbifera,2009,293
Dioscorea bulbifera,2009,293
Dioscorea bulbifera,2009,291
Dioscorea bulbifera,2008,291
Dioscorea bulbifera,2008,322
Dioscorea bulbifera,2008,274
Dioscorea bulbifera,2008,275
Dioscorea bulbifera,2008,275
Dioscorea bulbifera,2008,275
Dioscorea bulbifera,2008,258
Dioscorea bulbifera,2008,279
Dioscorea bulbifera,2008,281
Dioscorea bulbifera,2008,318
Dioscorea bulbifera,2007,291
Dioscorea bulbifera,2007,270
Dioscorea bulbifera,2007,280
Dioscorea bulbifera,2007,278
Dioscorea bulbifera,2007,304
Dioscorea bulbifera,2007,310
Dioscorea bulbifera,2007,310
Dioscorea bulbifera,2007,304
Dioscorea bulbifera,2006,268
Dioscorea bulbifera,2006,247
Dioscorea bulbifera,2006,336
Dioscorea bulbifera,2006,334
Dioscorea bulbifera,2006,271
Dioscorea bulbifera,2006,273
Dioscorea bulbifera,2006,247
Dioscorea bulbifera,2006,280
Dioscorea bulbifera,2006,247
Dioscorea bulbifera,2006,247
Dioscorea bulbifera,2006,247
Dioscorea bulbifera,2006,247
Dioscorea bulbifera,2006,247
Dioscorea bulbifera,2006,247
Dioscorea bulbifera,2006,247
Dioscorea bulbifera,2006,279
Dioscorea bulbifera,2006,284
Dioscorea bulbifera,2006,311
Dioscorea bulbifera,2006,319
Dioscorea bulbifera,2006,247
Dioscorea bulbifera,2006,247
Dioscorea bulbifera,2006,298
Dioscorea bulbifera,2006,298
Dioscorea bulbifera,2006,247
Dioscorea bulbifera,2005,244
Dioscorea bulbifera,2005,299
Dioscorea bulbifera,2005,331
Dioscorea bulbifera,2005,244
Dioscorea bulbifera,2005,287
Dioscorea bulbifera,2005,274
Dioscorea bulbifera,2005,274
Dioscorea bulbifera,2005,244
Dioscorea bulbifera,2005,244
Dioscorea bulbifera,2005,274
Dioscorea bulbifera,2005,274
Dioscorea bulbifera,2005,244
Dioscorea bulbifera,2005,244
Dioscorea bulbifera,2005,244
Dioscorea bulbifera,2005,244
Dioscorea bulbifera,2005,244
Dioscorea bulbifera,2005,244
Dioscorea bulbifera,2005,244
Dioscorea bulbifera,2005,311
Dioscorea bulbifera,2005,258
Dioscorea bulbifera,2005,258
Dioscorea bulbifera,2005,244
Dioscorea bulbifera,2005,332
Dioscorea bulbifera,2004,249
Dioscorea bulbifera,2004,266
Dioscorea bulbifera,2004,266
Dioscorea bulbifera,2004,264
Dioscorea bulbifera,2004,249
Dioscorea bulbifera,2004,283
Dioscorea bulbifera,2004,249
Dioscorea bulbifera,2004,289
Dioscorea bulbifera,2004,270
Dioscorea bulbifera,2004,300
Dioscorea bulbifera,2004,290
Dioscorea bulbifera,2004,283
Dioscorea bulbifera,2004,283
Dioscorea bulbifera,2004,322
Dioscorea bulbifera,2004,245
Dioscorea bulbifera,2004,342
Dioscorea bulbifera,2003,253
Dioscorea bulbifera,2003,253
Dioscorea bulbifera,2003,253
Dioscorea bulbifera,2003,314
Dioscorea bulbifera,2003,264
Dioscorea bulbifera,2003,258
Dioscorea bulbifera,2003,316
Dioscorea bulbifera,2003,316
Dioscorea bulbifera,2003,293
Dioscorea bulbifera,2003,258
Dioscorea bulbifera,2003,278
Dioscorea bulbifera,2003,304
Dioscorea bulbifera,2003,293
Dioscorea bulbifera,2003,253
Dioscorea bulbifera,2003,253
Dioscorea bulbifera,2003,253
Dioscorea bulbifera,2003,302
Dioscorea bulbifera,2003,314
Dioscorea bulbifera,2003,280
