"Year","Fitted_MeanShift"
"2015",0.0169320616189994
"2016",0.08735883084877
"2017",0.156521694803201
"2018",0.224367281662714
"2019",0.290842219607731
"2020",0.355893136818674
"2021",0.419466661475964
"2022",0.481509421760024
"2023",0.541968045851275
"2024",0.60078916193014
"2025",0.657902928998851
"2026",0.713339530649897
"2027",0.767195631949085
"2028",0.81956789796222
"2029",0.87055299375511
"2030",0.92024758439356
"2031",0.968748334943377
"2032",1.01615191047037
"2033",1.06255497604034
"2034",1.10805419671909
"2035",1.15174162526639
"2036",1.19288392219133
"2037",1.23183966418369
"2038",1.26896742793328
"2039",1.30462579012988
"2040",1.33917332746331
"2041",1.37296861662334
"2042",1.40637023429977
"2043",1.43973675718241
"2044",1.47342676196104
"2045",1.50652201613552
"2046",1.53805486502924
"2047",1.5683097520673
"2048",1.5975711206748
"2049",1.62612341427682
"2050",1.65425107629846
"2051",1.68223855016482
"2052",1.71037027930098
"2053",1.73893070713205
"2054",1.76820427708313
"2055",1.79854880472475
"2056",1.82989865137781
"2057",1.86190307909285
"2058",1.89421134992044
"2059",1.92647272591112
"2060",1.95833646911546
"2061",1.98945184158402
"2062",2.01946810536735
"2063",2.04803452251601
"2064",2.07480035508056
"2065",2.09919764870053
"2066",2.12131278701835
"2067",2.14177653908886
"2068",2.16121967396694
"2069",2.18027296070744
"2070",2.19956716836523
"2071",2.21973306599516
"2072",2.24140142265211
"2073",2.26520300739093
"2074",2.29176858926648
"2075",2.31992373159948
"2076",2.34813902246624
"2077",2.37651276805499
"2078",2.40514327455397
"2079",2.43412884815143
"2080",2.4635677950356
"2081",2.49355842139472
"2082",2.52419903341704
"2083",2.55558793729078
"2084",2.5878234392042
"2085",2.62096943964416
"2086",2.65498428304476
"2087",2.68980794151507
"2088",2.72538038716413
"2089",2.76164159210101
"2090",2.79853152843477
"2091",2.83599016827448
"2092",2.87395748372919
"2093",2.91237344690796
