"Year","Fitted_MeanShift"
"2015",0.240304264291966
"2016",0.883262672867462
"2017",1.53480268508779
"2018",2.19478115543111
"2019",2.86305493837561
"2020",3.53948088839945
"2021",4.2239158599808
"2022",4.91621670759782
"2023",5.61624028572871
"2024",6.32384344885161
"2025",7.03887227905169
"2026",7.7614244468756
"2027",8.49173418949376
"2028",9.23003574407658
"2029",9.97656334779447
"2030",10.7315512378178
"2031",11.4952336513171
"2032",12.2678448254627
"2033",13.049618997425
"2034",13.8407904043745
"2035",14.6374323469745
"2036",15.4366199493348
"2037",16.2400901837952
"2038",17.0495800226956
"2039",17.8668264383758
"2040",18.6935664031757
"2041",19.5315368894352
"2042",20.382474869494
"2043",21.248117315692
"2044",22.1302012003691
"2045",23.0296521770902
"2046",23.9452579591074
"2047",24.8755486082914
"2048",25.8190541865129
"2049",26.7743047556425
"2050",27.739830377551
"2051",28.7141611141091
"2052",29.6958270271875
"2053",30.6833581786569
"2054",31.6752846303879
"2055",32.6779716374717
"2056",33.6973219577473
"2057",34.7311719072075
"2058",35.7773578018451
"2059",36.8337159576528
"2060",37.8980826906233
"2061",38.9682943167494
"2062",40.0421871520238
"2063",41.1175975124393
"2064",42.1923617139887
"2065",43.2733730516004
"2066",44.3671570288211
"2067",45.470998274571
"2068",46.5821814177703
"2069",47.6979910873391
"2070",48.8157119121974
"2071",49.9326285212655
"2072",51.0460255434634
"2073",52.1531876077113
"2074",53.2513993429293
"2075",54.3458092393133
"2076",55.44306171138
"2077",56.5426852745306
"2078",57.6442084441664
"2079",58.7471597356886
"2080",59.8510676644986
"2081",60.9554607459975
"2082",62.0598674955867
"2083",63.1638164286673
"2084",64.2668360606407
"2085",65.3687388626361
"2086",66.4698292260194
"2087",67.5703735465471
"2088",68.6706382199756
"2089",69.7708896420614
"2090",70.871394208561
"2091",71.9724183152309
"2092",73.0742283578275
"2093",74.1770907321072
