"Year","Fitted_MeanShift"
"2015",-0.0627417893285469
"2016",-0.207106851686195
"2017",-0.353559867194494
"2018",-0.502049285742702
"2019",-0.652523557220079
"2020",-0.804931131515883
"2021",-0.959220458519374
"2022",-1.11533998811981
"2023",-1.27323817020646
"2024",-1.43286345466856
"2025",-1.59410905666088
"2026",-1.7569710236521
"2027",-1.92155205400238
"2028",-2.08795484607191
"2029",-2.25628209822084
"2030",-2.42663650880937
"2031",-2.59912077619764
"2032",-2.77383759874585
"2033",-2.95088967481416
"2034",-3.13037970276274
"2035",-3.31146885689687
"2036",-3.4934792715067
"2037",-3.67675508492973
"2038",-3.86164043550346
"2039",-4.04847946156536
"2040",-4.23761630145294
"2041",-4.42939509350369
"2042",-4.62415997605511
"2043",-4.82225508744467
"2044",-5.02402456600989
"2045",-5.23021717561306
"2046",-5.44092767612558
"2047",-5.6555191998985
"2048",-5.8733548792829
"2049",-6.09379784662984
"2050",-6.31621123429039
"2051",-6.53995817461563
"2052",-6.76440179995663
"2053",-6.98890524266445
"2054",-7.21283163509016
"2055",-7.43783935722089
"2056",-7.66582259475948
"2057",-7.89649818863062
"2058",-8.12958297975897
"2059",-8.3647938090692
"2060",-8.60184751748599
"2061",-8.84046094593401
"2062",-9.08035093533792
"2063",-9.3212343266224
"2064",-9.56282796071212
"2065",-9.80586051075336
"2066",-10.0510550228495
"2067",-10.2981198973607
"2068",-10.5467635346473
"2069",-10.7966943350696
"2070",-11.0476206989879
"2071",-11.2992510267624
"2072",-11.5512937187534
"2073",-11.8034571753212
"2074",-12.0554497968261
"2075",-12.3076613287122
"2076",-12.5606885948291
"2077",-12.8145506131452
"2078",-13.0692664016289
"2079",-13.3248549782485
"2080",-13.5813353609726
"2081",-13.8387265677694
"2082",-14.0970476166073
"2083",-14.3563175254549
"2084",-14.6165553122804
"2085",-14.8777687771647
"2086",-15.1399464274188
"2087",-15.403078341856
"2088",-15.6671545992895
"2089",-15.9321652785326
"2090",-16.1981004583988
"2091",-16.4649502177013
"2092",-16.7327046352535
"2093",-17.0013537898685
