"Year","Fitted_MeanShift"
"2015",0.542282563082901
"2016",1.0121021423036
"2017",1.48853968733751
"2018",1.97142693930343
"2019",2.46059563932014
"2020",2.95587752850642
"2021",3.45710434798105
"2022",3.96410783886283
"2023",4.47671974227053
"2024",4.99477179932294
"2025",5.51812123504189
"2026",6.04691661192144
"2027",6.58142667728869
"2028",7.12192017847076
"2029",7.66866586279476
"2030",8.22193247758781
"2031",8.78198877017701
"2032",9.34910348788948
"2033",9.92354537805232
"2034",10.5055831879927
"2035",11.0905179257659
"2036",11.6748357987386
"2037",12.2605833532049
"2038",12.8498071354588
"2039",13.4445536917943
"2040",14.0468695685054
"2041",14.6588013118861
"2042",15.2823954682305
"2043",15.9196985838326
"2044",16.5727572049864
"2045",17.2428818561248
"2046",17.9288161641811
"2047",18.6287563291998
"2048",19.3408985512256
"2049",20.063439030303
"2050",20.7945739664766
"2051",21.532499559791
"2052",22.2754120102908
"2053",23.0215075180205
"2054",23.7689822830247
"2055",24.522597359749
"2056",25.2875723923936
"2057",26.0627914656351
"2058",26.8471386641502
"2059",27.6394980726154
"2060",28.4387537757075
"2061",29.243789858103
"2062",30.0534904044786
"2063",30.8667394995109
"2064",31.6824212278765
"2065",32.5072871194939
"2066",33.3465572335866
"2067",34.1968184487887
"2068",35.0546576437344
"2069",35.9166616970578
"2070",36.7794174873931
"2071",37.6395118933745
"2072",38.4935317936361
"2073",39.3380640668121
"2074",40.1696955915366
"2075",40.9946204796417
"2076",41.8209724951591
"2077",42.6482479950219
"2078",43.4759433361636
"2079",44.3035548755175
"2080",45.1305789700168
"2081",45.9565119765949
"2082",46.7808502521852
"2083",47.6030901537208
"2084",48.4227280381352
"2085",49.2395181942287
"2086",50.0537489784454
"2087",50.865717849184
"2088",51.6757222648434
"2089",52.4840596838223
"2090",53.2910275645195
"2091",54.0969233653337
"2092",54.9020445446638
"2093",55.7066885609085
